"id","type_id","event_name","condition_id","subject_email","updated","update_url","create_from_url"
"1","Сервисное (регистрация, безопасность)","User registration","Hasn't logged in for 1 day","Welcome to site","27 янв. 2026 г., 09:37:36","https://confideline.com/ru/admin/email-template/update?id=1","https://confideline.com/ru/admin/email-template/create-from?id=1"
"2","Сервисное (регистрация, безопасность)","User registration","Hasn't logged in for 3 days","Welcome to site","20 янв. 2026 г., 13:37:00","https://confideline.com/ru/admin/email-template/update?id=2","https://confideline.com/ru/admin/email-template/create-from?id=2"
"3","Сервисное (регистрация, безопасность)","User registration","No conditions","Welcome to site","20 янв. 2026 г., 13:37:25","https://confideline.com/ru/admin/email-template/update?id=3","https://confideline.com/ru/admin/email-template/create-from?id=3"
"4","Сервисное (регистрация, безопасность)","Email confirmation","No conditions","Welcome to site","1 февр. 2026 г., 10:21:24","https://confideline.com/ru/admin/email-template/update?id=4","https://confideline.com/ru/admin/email-template/create-from?id=4"
"5","Сервисное (регистрация, безопасность)","Email reconfirmation","No conditions","Reconfirmation Email","20 янв. 2026 г., 13:36:00","https://confideline.com/ru/admin/email-template/update?id=5","https://confideline.com/ru/admin/email-template/create-from?id=5"
"6","Поведенческое","Profile view","No conditions","New profile view","21 янв. 2026 г., 15:22:47","https://confideline.com/ru/admin/email-template/update?id=6","https://confideline.com/ru/admin/email-template/create-from?id=6"
"7","Сервисное (регистрация, безопасность)","Like received","No conditions","Like received","21 янв. 2026 г., 14:15:36","https://confideline.com/ru/admin/email-template/update?id=7","https://confideline.com/ru/admin/email-template/create-from?id=7"
"8","Поведенческое","Gift received","No conditions","Gift received","21 янв. 2026 г., 15:30:53","https://confideline.com/ru/admin/email-template/update?id=8","https://confideline.com/ru/admin/email-template/create-from?id=8"
"9","Поведенческое","Request access to private photos","No conditions","Request access to private photos","1 февр. 2026 г., 11:03:52","https://confideline.com/ru/admin/email-template/update?id=9","https://confideline.com/ru/admin/email-template/create-from?id=9"
"10","Поведенческое","Decision on access to private photos","No conditions","Private photos access","22 янв. 2026 г., 16:35:01","https://confideline.com/ru/admin/email-template/update?id=10","https://confideline.com/ru/admin/email-template/create-from?id=10"
"11","Поведенческое","Request access to a private group","No conditions","Request access to private group","27 янв. 2026 г., 09:35:15","https://confideline.com/ru/admin/email-template/update?id=11","https://confideline.com/ru/admin/email-template/create-from?id=11"
