id,event,recipient,what_must_be_generated,where_visible,accepted_proof,current_status,if_missing
NS01,Источник клиента сохранен,PM/маркетинг,source campaign landing CTA service,Карточка заказа/журнал событий,Скрин заказа с source/CTA или event log,Красный,Нельзя считать CAC/LTV и качество источника
NS02,Заказ создан,Клиент/админ/support,preview order_created с order id услугой ценой следующим шагом,Заказ + журнал сообщений,Скрин preview и order id,Красный,Клиент и support не понимают что произошло
NS03,Оплата тестово успешна,Клиент/админ/support/PM,preview payment_test_success без реального списания,Payment/order log + preview,Скрин test status amount no-real-charge marker,Красный,Нельзя отличить тест от реальной оплаты
NS04,Оплата не прошла или отменена,Клиент/support,preview fallback услуга не началась что делать дальше,Журнал ошибок оплаты и preview,Скрин failed/canceled state без назначения эксперта,Красный,Можно ошибочно назначить неоплаченную консультацию
NS05,Клиент не написал вопрос,Клиент/support/админ,напоминание и очередь оплачен но вопрос не задан,Очередь заказов без вопроса,Скрин очереди и preview напоминания,Красный,Оплаченный заказ может зависнуть
NS06,Вопрос принят,Клиент/админ/экспертская очередь,preview вопрос получен срок ответа язык тема ссылка,Карточка консультации + журнал,Скрин вопроса order id и event,Красный,Вопрос может жить отдельно от заказа
NS07,Консультация назначена,Эксперт/агент/админ,уведомление исполнителю новая задача вопрос дедлайн ссылка,Рабочая вкладка эксперта/агента + админка,Скрин назначения и preview,Красный,Исполнитель может не увидеть работу
NS08,Скоро дедлайн,Эксперт/агент/админ,reminder до просрочки,Очередь SLA и журнал уведомлений,Скрин reminder с временем до дедлайна,Красный,Просрочки будут обнаружены поздно
NS09,Ответ просрочен,Админ/support/PM/исполнитель,status overdue задача support/admin переназначение,Очередь просрочек,Скрин overdue state и owner,Красный,Команда не видит проблему клиента
NS10,Ответ отправлен,Клиент/админ/PM,preview ответ готов ссылка на чат/результат оценка support,Чат клиента + журнал сообщений,Скрин ответа preview закрытия SLA,Красный,Клиент может не узнать что услуга оказана
NS11,Жалоба создана,Support/админ/модератор,уведомление support с заказом чатом экспертом причиной,Support queue,Скрин тикета с привязкой к заказу,Красный,Проблема клиента потеряется или будет ручной
NS12,Решение support/refund,Клиент/support/финансы/PM,preview решения доработка компенсация отказ возврат на рассмотрении,Support ticket + order log,Скрин решения без реального refund,Красный,Нельзя доказать обработку проблемного клиента
NS13,Начисление исполнителю,Эксперт/агент/админ/финансы,уведомление о начислении удержании hold,Баланс/начисления исполнителя,Скрин тестового начисления без выплаты,Желтый,Сложно считать себестоимость и мотивацию
NS14,Follow-up после ответа,Клиент/PM/маркетинг,preview оценки следующего вопроса возврата в чат,Журнал follow-up/маркетинг,Скрин preview и rules consent,Желтый,LTV останется гипотезой
