"id","work","priority","status","result","pm","boundary","proof"
"APM01","Поддерживать Blue Panel как источник фактов","постоянно","green","Каждый PM-результат оформлен как понятная страница, CSV и проверенная публичная ссылка.","Создавать/обновлять страницы, CSV, аудит ссылок, главный маршрут и светофор.","Не считать подготовленный документ внедренной функцией.","blue-panel-link-audit.html; pm-current-state-proof-ledger.html"
"APM02","Синхронизировать Trello и Blue Panel без переименований","после каждого результата","yellow","В Trello остается исходная постановка, а результат с proof-ссылкой живет в Blue Panel.","Готовить текст результата, ссылку, статус и короткую формулировку для карточки.","Не менять названия и не редактировать Trello без команды.","trello-june-fact-status.html; june-card-fact-readiness.html"
"APM03","Довести HTML-ready документы и checkout-тексты","июнь","yellow","Пакет Terms/Policy/Disclaimer/Refund/FAQ/checkout wording готов к ревизии и вставке на сайт.","Собрать тексты, места показа, переменные, дисклеймеры, refund boundary и FAQ.","Финальная публикация ждет legal seller/payment/refund/geography decisions.","co2p-legal-checkout-public-docs.html; legal-content-package.html"
"APM04","Собрать экранные контракты Oracle/Nebula","июнь","yellow","По ключевым сценариям понятно: экран есть/нужен, backend-функция, контент, состояния, QA-критерий.","Раскладывать Figma/верстку/карты по сценариям: offer, checkout, question, chat, result, support, profile.","Финальный зеленый статус требует proof макета/верстки и backend-связи.","screen-backend-content-control.html; oracle-nebula-mvp-screen-readiness-map.html"
"APM05","Подготовить школу экспертов v1 к ревизии","июнь","yellow","Программа, уроки, регламент, тест, пример ответа и задача Ксении собраны в один контур.","Перепроверять материалы, убирать дубли, формировать кейсы, критерии качества и инструкцию ревизии.","Ксения нужна как ревизор понятности; допуск экспертов требует реальных ответов.","expert-school-v1-operational-pack.html; expert-training-materials-register.html; ksenia-expert-school-review-task.html"
"APM06","Подготовить журнал допуска первых 5 экспертов","июнь","yellow","Есть единый формат решения по каждому эксперту: готов, доработка, не допущен.","Держать шаблон журнала, тестовый кейс, критерии оценки ответа, SLA и причины отказа.","Нельзя ставить зеленый без реальных результатов 5 экспертов.","first-five-expert-admission-journal.html"
"APM07","Довести пакет рабочего места эксперта/агента","до Игоря/QA","yellow","Игорь получает не абстрактную задачу, а минимальный состав workspace и acceptance criteria.","Фиксировать поля: задача, вопрос, срок, чат, статус, ответ, качество, начисления, видимость админа.","Runtime proof зависит от внедрения/показа в админке.","expert-agent-workspace-handoff.html; co2p-expert-agent-workspace-service-session.html"
"APM08","Довести no-send события и уведомления","до контрольного заказа","yellow","Список событий, получателей, preview и suppression готов для проверки без реальных писем.","Уточнить event map, тексты, переменные, ошибки, кто получает уведомление и когда.","Зеленый статус только после no-send event log на тестовом заказе.","events-notifications-launch-control.html; nosend-event-proof-matrix.html"
"APM09","Подготовить QA-сценарий контрольного заказа","до READY gate","green","Тестировщик понимает маршрут, proof-имена, expected result и формат PASS/WARN/STOP.","Держать brief, fixture sheet, expected states, screenshot naming и публичный report shell.","Фактический QA не стартует до снятия STOP gate.","qa-test-order-execution-brief.html; test-order-runtime-public-report-shell.html; test-order-fixture-readiness-sheet.html"
"APM10","Подготовить support/failure сценарий","до контрольного заказа","yellow","Один безопасный problem state выбран и готов к проверке: просрочка или недовольство клиента.","Описать вход, ожидаемый support-case, связь с заказом, решение, уведомление и критерии приемки.","Runtime proof зависит от test order и support/admin поведения.","support-refund-launch-control.html; support-problem-acceptance-matrix.html"
"APM11","Подготовить маркетинговый go/no-go без запуска рекламы","после QA подготовки","yellow","Есть условия первого трафика, stop-сигналы, поля CAC/LTV и ограничения по capacity 5 экспертов.","Собрать оффер-гипотезы, каналы, метрики, ограничения, допустимые риски и условия запуска.","Рекламу нельзя запускать до QA PASS/WARN, capacity proof и legal/payment решений.","co2p-marketing-first-traffic-gonogo.html; launch-before-traffic-action-plan.html"
"APM12","Собрать реестр внешних и внутренних источников proof","постоянно","yellow","Команда видит, какие источники уже сняты, какие требуют доступа, где есть только метаданные.","Индексировать QA reports, Trello, Google docs, Figma/Oracle, Confideline/admin maps, extracted training.","Закрытые Google/Figma/Trello материалы требуют доступа или ручной проверки.","pm-current-state-proof-ledger.html; blue-panel-link-audit.html"
