Источник,Статус покрытия,Уровень доказательства,Что уже есть,Что не закрыто,PM-действие,Когда спрашивать пользователя,Proof
Blue Panel как PM-реестр,Зеленый,PM-инфраструктура,"Мастер-план, готовность запуска, proof pages, GitHub Pages","Нужно поддерживать актуальность","Публиковать каждый новый результат","Не спрашивать, если можно обновить самому",pm-current-state-proof-ledger.html
Trello план июня,Желтый,Рабочий источник,"Карточки месяца и факт-статусы","Карточки могут меняться","Сверять метку обновить и комментарии","Спрашивать только при конфликте источников",trello-source-map.html
Trello вся доска архивы вложения,Желтый,Частично снятый источник,"Есть карты и intake","Не все вложения прочитаны","Приоритизировать P0-источники","Запрашивать доступ к закрытым вложениям",pm-trello-intake-readiness.html
Google источники стратегии,Зеленый,Извлеченный источник,"Стратегические Google Sheets/Docs извлечены","Не заменяют runtime proof","Использовать как стратегическую базу","Не спрашивать без закрытой ссылки",google-strategy-sources.html
Backend Confideline,Зеленый/желтый,Кодовый proof без lifecycle,"Кирпичи backend найдены","Paid consultation lifecycle не доказан","Передать test order Игорю","Не спрашивать до результата Игоря",backend-code-evidence-map.html
Confideline runtime QA,Желтый,QA-контур без Nebula proof,"QA-каталог есть","Нет Nebula test order report","Запустить QA после test order","Не спрашивать, если можно пройти safe QA",qa-evidence-runtime-gap-register.html
Frontend Oracle/Nebula,Желтый,Design/source proof,"Design contract и crosswalk есть","Нет полной screen-by-screen backend связи","Сверять ключевые экраны","Запрашивать Figma/экспорт только если source закрыт",nebula-design-function-content-crosswalk.html
Обучение экспертов,Желтый,Материалы частично извлечены,"Школа v1, регламент, журнал допуска","Не все уроки/вложения прочитаны","Добрать P0 уроки и ревизию Ксении","Запрашивать закрытые уроки/Drive",expert-training-materials-register.html
Первые 5 экспертов,Желтый,Операционный контур без допуска,"Журнал допуска есть","Нет статуса каждого эксперта","Заполнить после ревизии и теста","Спрашивать при отсутствии списка людей",first-five-expert-admission-journal.html
Платная консультация runtime,Красный,PM-пакет без runtime,"co2p и QA шаблон есть","Нет test order","Игорю + QA runtime proof","Спрашивать только при production/payment риске",test-order-runtime-cockpit.html
Email события уведомления,Желтый,PM-пакет без event log,"No-send подход есть","Нет timeline test order","Проверить no-send на заказе","Не спрашивать без production отправки",co2p-events-notifications-nosend-service-session.html
Support failure states,Красный,PM-пакет без runtime,"Support handoff есть","Нет problem path","Проверить на test order","Спрашивать при реальном refund/payment",support-refund-handoff.html
Legal checkout payment,Красный,Approval gate,"HTML-ready контур есть","Нет seller/payment/refund/geography","Готовить пакет без публикации","Спрашивать founder/legal/payment decision",co2p-legal-checkout-public-docs.html
Маркетинг трафик,Желтый/красный,Стратегия без права запуска,"Go/no-go и stop-сигналы есть","Нет QA PASS и gates","Готовить, но не запускать","Спрашивать перед реальной рекламой",co2p-marketing-first-traffic-gonogo.html
Runtime test order QA,Красный,Главный отсутствующий proof,"Fixtures и шаблон есть","Нет заполненного отчета","Выполнить после Игоря","Спрашивать только при доступе/production риске",test-order-runtime-qa-report-template.html
