страница,проверка,статус,ссылка
Главная Blue Panel,"Страница открывается, title найден",200,../index.html
Для Алексея,"Короткий мастер-план открывается",200,alexey-master-plan.html
План июня,"Страница месяца открывается",200,june-plan.html
Готовность запуска,"Сводка готовности открывается",200,mvp-readiness-control.html
Красные блокеры,"Карта владельцев блокеров открывается",200,red-blockers-owner-map.html
Проверка перед рекламой,"Пакет решения QA/PM открывается",200,pre-traffic-qa-decision-package.html
Допуск первых 5 экспертов,"Пакет допуска открывается",200,expert-admission-ksenia-pm-qa-package.html
Синхронизация метки обновить,"Страница синхронизации Trello открывается",200,trello-update-label-sync.html
Карта Trello,"Карта июньских карточек открывается",200,trello-source-map.html
Модель оплаты,"Страница оплаты экспертов и агентов открывается",200,expert-agent-compensation.html
Пакет начислений Игорю,"Пакет по начислениям открывается",200,expert-agent-compensation-handoff.html
Внутренние переходы верхнего слоя,"Проверены относительные ссылки 7 страниц",0_broken,local_relative_links
