Область,PM-пакет,Что уже есть,Что еще не доказано,Следующий accepted proof,Владелец,Статус,Ссылка
Стратегия,Strategy board,"Platform-first решение; Nebula как первая ниша","Подтверждение первыми метриками и рабочим заказом",QA PASS/WARN + первые показатели,PM,готово как PM,strategy-board.html
Мастер-план,Для Алексея + июнь,"Короткий план; 160 часов; направления; proof-ссылки",Фактическое исполнение задач команды,Еженедельные обновления и accepted proof,PM,вести,alexey-master-plan.html
Backend/admin,Safe order board,Пакет для Игоря,order_id/question_id/assignment/answer/events/support/analytics,R01 accepted,Игорь,нет runtime,backend-admin-safe-order-execution-board-2026-06-06.html
Путь клиента,Paid-flow proof,Контракт связки клиентского заказа,Ни один paid-flow не доказан одним ID,R01 + QA report,Игорь + QA,не доказано,paid-client-flow-proof-contract-2026-06-06.html
Админка,Admin proof,AOC01-AOC12,Единая карточка/маршрут заказа в runtime,Admin screenshots на order_id,Игорь + PM,не доказано,admin-operational-visibility-proof-contract-2026-06-06.html
Эксперты,School/admission,"Школа v1; регламент; критерии допуска",0/5 экспертов accepted,R02 accepted затем E01-E05 accepted,PM + Ксения,0/5,expert-training-to-admission-map-2026-06-06.html
Рабочее место,Expert workspace handoff,"Задача; вопрос; срок; ответ; начисления",Ответ внутри сайта на safe order не доказан,Workspace screenshot + answer_id,Игорь + E01,пакет есть,expert-agent-workspace-handoff.html
Уведомления/support/аналитика,CSA board,"No-send; support-case; analytics acceptance",Нет event_id/support_case_id/analytics row на одном order_id,No-send log + support + analytics row,Игорь + PM + QA,нет факта,communications-support-analytics-execution-board-2026-06-06.html
Документы/checkout,Trust/checkout proof,"Terms; privacy; refund; disclaimer; consent",Seller/provider/descriptor/refund/geography не утверждены,Founder/legal/payment approval,Founder + PM,gate,public-docs-checkout-trust-proof-contract-2026-06-06.html
QA,QA-contract,14 доменов проверки и формат отчета,QA нельзя стартовать без accepted R01/R02,Public QA report PASS/WARN/STOP,QA + PM,STOP,prelaunch-qa-proof-contract-2026-06-06.html
Маркетинг,Traffic preflight,"Stop-сигналы; LTV/CAC gate",Нет QA/capacity/docs/payment/analytics proof,Go/No-Go после QA и E01-E05,PM + Founder,трафик 0,first-traffic-marketing-preflight-package-2026-06-06.html
Источники,Source coverage,"Публичные Google sources; Trello/конкуренты как PM-выводы",Закрытые Drive/Figma и часть Trello-вложений,Content extraction или access-needed register,PM,частично,pm-source-coverage-current-2026-06-06.html
