"id","fact","pass","warn","stop","opens"
"R01-G01","Безопасный тестовый заказ","order_id, test_run_id, no-charge marker, сумма/валюта","order_id есть, но часть безопасных маркеров неполная","нет order_id или есть риск реального списания","старт дальнейшей приемки"
"R01-G02","Вопрос клиента","question_id связан с order_id и виден в админке","вопрос есть, но связь/видимость частичная","вопрос живет отдельно от заказа","проверка paid-flow"
"R01-G03","Сессия/карточка консультации","единый объект связывает order/question/expert/answer","объект есть, но timeline неполный","нет единой связки lifecycle","админский маршрут"
"R01-G04","Назначение исполнителя","performer/profile/deadline назначены внутри системы","назначение есть, но профиль/SLA неполные","исполнитель вне системы или без profile_id","проверка E01/workspace"
"R01-G05","Рабочее место эксперта","эксперт видит задачу, вопрос, срок и поле ответа","видит часть данных или нужен ручной fallback","эксперт отвечает вне сайта","ответ эксперта"
"R01-G06","Ответ эксперта","answer_id связан с заказом и виден клиенту/админу","ответ есть, но один из видов/логов неполный","ответ не связан с заказом","проверка оказания услуги"
"R01-G07","Admin timeline","created/question/assigned/answered/events/support видны по одному order_id","часть timeline видна вручную","админ собирает состояние из несвязанных мест","операционная приемка"
"R01-G08","No-send события","event_id/template/recipient/preview/external_send=false","часть non-core событий ручная","нет event log или ушла реальная отправка","CSA/QA"
"R01-G09","Support case","support_case_id связан с order/session и имеет owner/decision","case создается, но решение/закрытие частичное","жалоба без карточки или связи с заказом","problem-state QA"
"R01-G10","Analytics row","source/session/order/value/service/expert/support связаны","строка есть, но часть полей ручная","нет source→order→value","preflight первого трафика"
"R01-G11","QA handoff","даны URL/роли/ограничения/known issues","часть доступов требует ручной координации","QA не понимает, где и кем проверять","QA-ready"
"R01-G12","Вердикт Игоря","READY с перечислением proof-ссылок","PARTIAL с gap-list и сроком","BLOCKED с причиной и владельцем","решение PM accepted/returned/blocked"
