ID;Когда;Область;Светофор;Что проверить;Кто;Текущее решение;Ссылка
"M01";"Утро";"PM-аудит цели";"желтый";"Сверить красные/желтые требования и не потерять новый proof";"PM";"Нет новых accepted runtime proof";"pm-objective-live-requirements-audit.html"
"M02";"Утро";"Ближайшие действия";"желтый";"Проверить, что следующий шаг все еще контрольный заказ, а не новая побочная задача";"PM";"Маршрут: аудит -> блокеры -> test order -> команда";"current-next-action-board.html"
"M03";"Утро";"Proof-inbox";"красный";"Проверить, пришло ли что-то от Игоря, QA, Ксении, Антона, основателя";"PM";"Accepted runtime proof нет";"external-proof-inbox.html"
"M04";"Утро";"Игорь / AC01-AC09";"красный";"Ожидаем safe test order, admin route, workspace, no-send, support case";"Игорь + PM";"Без этого QA не стартует";"igor-test-order-acceptance-contract.html"
"M05";"День";"Ксения и 5 экспертов";"желтый";"Держать admission journal, ревизию школы, пробные ответы и capacity";"PM + Ксения";"Нет допуска всех 5 экспертов";"first-five-expert-admission-journal.html"
"M06";"День";"Антон / экраны";"желтый";"Сверять paid-flow экраны с backend и контентом";"PM + Антон";"Экран без сценария не принимается";"screen-backend-content-control.html"
"M07";"Вечер";"Контрольный заказ";"красный";"Проверить, появился ли сдвиг к READY/STOP по gate";"PM + Игорь + QA";"Если нет сдвига, нужен конкретный запрос владельцу";"test-order-readiness-gate.html"
"M08";"Вечер";"Светофор запуска";"красный";"Менять статусы только по accepted proof";"PM";"Запуск остается красным без QA verdict";"launch-readiness-master-control.html"
"M09";"Вечер";"Trello/Blue Panel sync";"желтый";"Если появился результат, Blue Panel обновить первой, Trello ссылкой после приемки";"PM";"Trello не редактировать без команды/факта";"trello-june-fact-status.html"
"M10";"Вечер";"Завтрашний next owner";"желтый";"Зафиксировать, кто следующий должен дать proof и какой именно";"PM";"Следующий владелец: Игорь по runtime proof";"co2p-team-handoff-control-board.html"
