id,decision,status,proven,missing,june_work,proof_link
S0,"Платформа сначала, Nebula как первая ниша",green,"мастер-план; план июня; proof-контур","полный контрольный заказ","PM-контур и safe order",alexey-master-plan.html
S1,"Оффер вокруг текстового ответа эксперта",yellow,"исследования; конкурентные выводы","CAC/LTV; retention; рекламный тест","контент; email; first traffic preflight",first-traffic-execution-board-2026-06-06.html
S2,"Честный paid answer вместо мутных подписок",yellow,"выводы по конкурентам","оффер не подтвержден runtime paid-flow","сверка экранов и backend",page-content-backend-readiness-map-2026-06-06.html
S3,"Минимальный продукт = оплаченный запрос и ответ",red,"test order и QA-пакеты","runtime proof одного заказа","R01 Игорю и QA-ready",current-next-action-board.html
S4,"Confideline как универсальное ядро",yellow,"backend/admin карты; handoff-пакеты","консультационный путь runtime","safe order и admin timeline",backend-admin-safe-order-execution-board-2026-06-06.html
S5,"Каждый экран должен иметь backend/content/error/QA связь",yellow,"screen/content/backend карты","не все paid-flow состояния связаны","screen contract сверка",page-content-backend-readiness-map-2026-06-06.html
S6,"Школа и ручной допуск первых экспертов",red,"материалы; структура школы","0/5 экспертов accepted","R02 Ксении/E01; журнал допуска",first-five-expert-admission-execution-board-2026-06-06.html
S7,"Рабочее место эксперта внутри платформы",red,"ТЗ/пакет собран","нет назначения и ответа в test order","runtime проверка рабочего места",expert-agent-workspace-handoff.html
S8,"Support и уведомления входят в MVP",red,"no-send/support пакеты","нет proof на safe order","включить в контрольный заказ",communications-support-analytics-execution-board-2026-06-06.html
S9,"Документы и checkout через founder/legal/payment gate",red,"структура public docs/checkout","seller/provider/descriptor/refund/geography","HTML-ready пакет без публикации",public-docs-checkout-execution-board-2026-06-06.html
S10,"Трафик только после QA и capacity",red,"go/no-go логика","QA PASS/WARN; 5 experts; legal/payment","preflight без рекламы",first-traffic-execution-board-2026-06-06.html
S11,"AI/SEO/app/influencers после core proof",yellow,"future backlog","продажи; качество; repeat; загрузка","не смешивать с MVP",mvp-launch-readiness-backlog-2026-06-06.html
