"Id","Layer","Status","Fact","Need","ProofRequired","Owner","Next","Proof"
"TR01","Источники обучения AskNebula/PbExpert","Зеленый","Уроки 1-7, формы и вложения найдены/извлечены; старый 401/access gap по этим урокам больше не текущий статус","Использовать как сырье, а не как готовую школу Nebula","Реестр источников и extracted lessons","PM/Codex","Поддерживать source register и ссылаться на конкретные уроки","expert-training-materials-register.html"
"TR02","Школа экспертов v1","Желтый","Контур школы v1 и операционный пакет подготовлены","Модули с целью, правилами, примерами, ошибками, практикой, тестом и pass criteria","Страница школы v1 + понятный маршрут выдачи экспертам","PM","Свести уроки в нашу школу, убрать чужую терминологию","expert-school-v1-operational-pack.html"
"TR03","Регламент работы эксперта","Желтый","Регламент v1 существует как рабочая страница","SLA, стиль, запреты, эскалации, опасные запросы, support, качество, санкции","Подтверждение экспертом + проверка в пробном ответе","PM + Ksenia reviewer","Связать регламент с тестом и quality scorecard","expert-work-regulation-v1.html"
"TR04","Safety и ограничения обещаний","Желтый","В gate указано, что урок 7 требует safety-фильтр","Запрет диагнозов, гарантий, юридических/финансовых/медицинских обещаний, манипуляций и давления","Safety checklist применен к регламенту и пробным ответам","PM / Answer Quality","Сделать mandatory checklist для допуска","expert-trial-answer-quality-scorecard.html"
"TR05","Тест допуска","Желтый","Формы и тестовая база найдены, но наш финальный test gate требует адаптации","Тест на правила сервиса, SLA, safety, качество ответа, support/failure states","Результат теста по каждому эксперту","PM + Ксения как ревизор","Создать или адаптировать форму теста под Nebula","first-five-expert-admission-proof-contract.html"
"TR06","Пробный ответ эксперта","Красный","Scorecard есть, но реальные ответы первых 5 экспертов не приложены","Один тестовый клиентский вопрос и ответ каждого эксперта","Текст ответа + оценка empathy/personalization/structure/safety/next step","PM / Answer Quality","Выдать тестовый кейс и оценить ответы","expert-trial-answer-quality-scorecard.html"
"TR07","Журнал допуска первых 5 экспертов","Красный","Шаблон журнала есть, реальные 5 строк пустые","expert_id/name/code, role, language, timezone, profile/anketa, training, test, trial answer, SLA, PM verdict","Заполненный CSV/страница: минимум один qa_admitted для QA, все 5 admitted/limited для трафика","PM","Внести данные пяти экспертов, статусы EP01-EP10 и признак допуска к QA","first-five-expert-admission-journal.html"
"TR08","Роль Ксении","Желтый","Контур определяет Ксению как ревизора понятности, а не автора методологии","Задачи как ребенку: ссылка, шаги, чеклист, скрин, verdict ready/minor fixes/blocked","Комментарии Ксении к готовому PM-материалу","PM + Ксения","Выдать ревизию после подготовки очередного материала","ksenia-review-ready-package.html"
"TR09","Доступ эксперта и назначение анкеты","Красный","Gate требует назначенную анкету/роль, но runtime proof отсутствует","Роль, вкладки, profile_id/anketa_id, назначение, ограничения bootstrap-модели","Скрин/лог, что эксперт видит тестовую задачу под нужной ролью/анкетой","Игорь + QA + PM","Связать с expert workspace и AC04-AC05","expert-runtime-proof-register.html"
"TR10","SLA и доступность первых 5","Красный","В журнале SLA по экспертам пустой","Окно доступности, максимальный срок ответа, escalation при просрочке","Подтверждение SLA по каждому эксперту и проверка в test order","PM + Ops","Заполнить SLA по каждому эксперту до трафика","first-five-expert-admission-gate.html"
"TR11","Runtime участие эксперта","Красный","PF05-PF07 пока красные: назначение, workspace, ответ клиенту не доказаны","Минимум один допущенный или условно допущенный эксперт закрывает тестовый заказ","assignment + workspace screenshot + answer delivery + QA verdict","Игорь + QA + эксперт","После допуска одного эксперта и READY Игоря провести контрольный заказ","runtime-evidence-capture-kit.html"
"TR12","Емкость и первый трафик","Красный","5 экспертов готовы включаться как управленческое ожидание, но admission/capacity proof нет","Сколько заказов в день выдерживают 5 экспертов при SLA и quality review","Capacity guardrails + фактический результат первого теста/первых заказов","PM","Не включать трафик до допуска всех 5 и выше доказанной емкости","first-traffic-capacity-economy-gate.html"
