"Id","Screen","Status","Design","Backend","Content","Missing","Next","Proof"
"UI01","Коммерческая главная и оффер","Желтый","Есть визуальные proof-скрины: home-full-2026-06-04.png, nebula-home-design-1200-2026-06-04.png, nebula-figma-selected-frame-2026-03-23.png","CTA должен вести в регистрацию/выбор услуги/создание заказа; runtime-связь не доказана","Оффер, FAQ, trust, цена/формат/срок, дисклеймер","Нет proof клика от оффера до test order","Сверить CTA и текст с экранным контрактом заказа","frontend-screen-backend-content-gate.html"
"UI02","Документы, Terms, Privacy, Refund, Disclaimer","Желтый","Есть terms-2026-06-04.png и terms-full-2026-06-04.png; legal pack подготовлен","Нужна публикация/route и связь с checkout consent; final legal/payment решения позже","HTML-ready тексты с переменными, дисклеймеры, refund wording","Нет финальной legal/payment ревизии и runtime checkout disclosure proof","Держать пакет готовым, но не публиковать как final legal без решений","legal-public-docs-checkout-pack.html"
"UI03","Регистрация, вход, восстановление доступа","Желтый","В существующей карте указаны login/signup/forgot экраны","User/auth база Confideline есть как foundation","Service emails, privacy note, ошибки, язык","Нет proof возврата клиента к покупке после auth","Включить guest/auth в контрольный заказ или отдельный QA сценарий","screen-backend-content-control.html"
"UI04","Онбординг и сбор intent","Желтый","Есть упоминание post-signup onboarding prototype; production Figma frame не подтвержден текущим proof","Нужно сохранять тему, intent, birth data, вопрос и связывать с заказом","Подсказки, примеры вопросов, privacy note","Нет proof, что intent переносится в заказ/кабинет/эксперта","Сделать экранный контракт для intent -> order","nebula-design-function-content-crosswalk.html"
"UI05","Каталог и профиль эксперта","Желтый","В карте есть psychics dashboard, all-psychic, advisor cards, expert profile","Нужны availability, ranking, language, price/package, moderation fields","Описание, опыт, специализации, отзывы, цена, доступность","Нет proof, что профиль ведет к конкретному checkout/session","Связать карточку эксперта с package/order/assignment","expert-contour-readiness-map.html"
"UI06","Выбор пакета и checkout","Красный","Есть generic payment modal/terms/refund, но не доказан starter package внутри клиентского пути","Нужен safe test order без реального списания, payment status/test marker","Цена, что входит, срок ответа, refund note, consent","Нет order_id и test payment proof","Закрыть safe checkout gate до QA","test-order-readiness-gate.html"
"UI07","Форма вопроса клиента","Красный","Частично есть onboarding/question intake идеи; production question intake не доказан","Нужна связка order_id/question_id/session_id/client_id/expert_id","Topic chips, примеры, ограничения, privacy","Нет proof, что вопрос виден админу и эксперту как часть заказа","Включить question binding в runtime evidence","runtime-evidence-capture-kit.html"
"UI08","Спасибо, статус заказа, ожидание ответа","Красный","Success/status screen не доказан текущим proof","Order status, deadline/SLA, assignment status","Что будет дальше, когда ответ, куда писать при проблеме","Нет after-checkout proof с order_id","Добавить success/status в контрольный заказ","test-order-runtime-cockpit.html"
"UI09","Кабинет клиента, чат, результат, transcript, follow-up","Красный","Есть chatroom screens, но async result/transcript/follow-up design missing/weak","Answer id, delivery, transcript/history, repeat/follow-up","Ответ, оценка, продолжить, дисклеймер, повторная продажа","Нет proof delivery client/admin и нет repeat path","Сделать result/transcript/follow-up states как дочерний контракт","qa-test-order-execution-brief.html"
"UI10","Рабочее место эксперта/агента","Красный","Можно стартовать через вкладки админки; отдельный ЛК не обязателен для P0","Assignment, task, order/question context, SLA, answer submit, начисления","Инструкции, подсказки, quality reminder, регламент","Нет runtime proof, что исполнитель видит и закрывает задачу","Проверить PF05-PF07 на контрольном заказе","expert-runtime-proof-register.html"
"UI11","Админская карточка заказа и операционная видимость","Красный","Admin card/list должна показывать order/question/session/assignee/events/support","Order, question, assignment, events, support, status, audit log","Понятные статусы и причины действий","Нет скринов admin route по одному test order","Показать admin route в runtime QA","admin-control-order-gate.html"
"UI12","Support, жалоба, возврат, проблемный сценарий","Красный","Public legal/FAQ есть; in-cabinet support/refund states не доказаны","support_case_id linked to order/session/chat/expert; refund review later","Причины обращения, SLA support, шаблоны решений","Нет support-case runtime proof","Включить problem state в контрольный заказ","support-failure-state-gate.html"
"UI13","Email/no-send preview и уведомления","Красный","Нужны admin preview/log и клиентские статусы уведомлений","Event log/queue/no-send marker/order/question/assignment/answer/support","Subjects, bodies, variables, language","Нет no-send event log на test order","Снять event log без реальной отправки","notification-event-nosend-gate.html"
"UI14","Аналитика, качество, экономика, отчеты","Красный","Dashboard должен показывать SLA, качество, refunds, repeat, LTV/CAC","Metrics source из order/payment/session/support/traffic source","Названия метрик, объяснения статусов, daily report","Нет live-данных по test order и first traffic","После контрольного заказа собрать daily report proof","first-traffic-capacity-economy-gate.html"
"UI15","Ошибки, пустые состояния, ограничения","Красный","Error/empty/loading/offline/blocked/low credits states не доказаны","Error codes, fallback routes, support links, retry handling","Понятные тексты: что произошло и что делать дальше","Нет набора failure-state screenshots","Добавить минимум 3 failure states в QA сценарий","support-failure-state-gate.html"
