area,status,local_evidence,what_it_proves,what_it_does_not_prove,next_step
"Кодовая база Confideline","yellow","H:\GPT-Codex\Confideline exists","Есть локальная платформа для анализа и передачи задач","Не доказывает готовность Nebula paid consultation","Проверять через контрольный заказ"
"Чат и рабочее место","yellow","Confideline/Chat; admin-chat-workspace-v2","Есть наработки чата и рабочего пространства","Не доказана связь с оплаченной консультацией","Связать order/question/session/assignment/chat"
"Web/admin макеты и панели","yellow","Confideline/web admin panels, roles, application mockups","Есть контуры админки и постановок","Не доказана runtime-видимость полного заказа","Показать admin route по одному test order"
"Email и уведомления","yellow","email_templates; notification-preview-pack","Есть шаблоны, переменные и preview-контуры","Нет no-send event log по test order","Проверить no-send события"
"Payment sandbox","yellow","payment_sandbox/confideline-stripe-sandbox","Есть sandbox-наработка","Нет safe test order proof для Nebula","Подтвердить no-charge/test marker"
"QA инфраструктура","green-source","qa-ba-autonomous-tester; web/qa-reports","Есть тестировщик и публичный каталог отчетов","Не заменяет новый QA по Nebula","Пройти контрольный заказ"
"Order/question/session","red","Blue Panel backend code evidence maps","Есть order/chat кирпичи, но session layer не доказан","Нет единой консультации с вопросом и исполнителем","AC01-AC04 для Игоря"
"Support/problem state","red","support/refund gates and report foundation","Сценарии описаны","Нет support-case, связанного с order/session/chat","Создать problem state в QA"
"Admin timeline","red","admin-control-order-gate","Требования к видимости сформированы","Нет скрина единого timeline","Показать timeline created-question-assigned-answered-support-closed"
"Analytics/readiness","red","first traffic/economy gates","Метрики определены","Нет фактического report по test order","После QA пересчитать светофор"
