Блок;Что требуется;Приемка;Статус PM
service_session;Создать универсальную сущность платной услуги;После fake success есть order + service_session;Красный до внедрения
Вопрос клиента;Связать question_text/question_language с order/session;Вопрос открывается из карточки услуги;Красный до внедрения
Админская очередь;Показать новые/в работе/просроченные/спорные/закрытые услуги;Админ видит test order/session без ручного поиска;Красный до внедрения
Назначение исполнителя;Связать expert_profile/agent с услугой и SLA;Эксперт видит задачу, вопрос, срок и чат;Красный до внедрения
Чат;Связать conversation_id с услугой;Один чат виден клиенту, админу и исполнителю;Красный до внедрения
No-send события;Фиксировать события без реальных писем;Есть event log по тестовой услуге;Желтый после event log
Support/refund;Связать ticket/refund с order/session;Жалоба и возврат открываются из карточки услуги;Красный до внедрения
Test mode;Отделить тестовые данные от реальных;Фильтр test mode работает в очередях;Красный до внедрения
Cancel/fail;Не создавать оплаченную услугу при отмене/ошибке;Cancel/fail сценарии не дают ложную продажу;Красный до проверки
Runtime source;Подтвердить актуальный backend source;Игорь подтверждает путь внедрения;Желтый до подтверждения
