"Zone","Status","Meaning","Evidence","Missing","Decision","Owner","Proof"
"Terms of Service","yellow","Основной договор с клиентом: что покупает клиент, ограничения, правила аккаунта, dispute/support path.","Есть PM-пакет public docs и checkout; нужен финальный seller/entity.","Юрлицо, jurisdiction, legal review, точные реквизиты и фактическая модель платежа.","Готовить HTML-ready текст сейчас; не публиковать как финал.","PM + Founder + legal","legal-public-docs-checkout-pack.html"
"Privacy Policy","yellow","Объясняет сбор данных: аккаунт, чат, платежный статус, аналитика, support, email-события.","Есть черновой контур и переменные; Privacy нужен в footer/registration/checkout.","Фактический список trackers, email provider, analytics, payment provider, data controller.","Подготовить шаблон и сверить перед публикацией с реальным стеком.","PM + Игорь + legal","legal-public-docs-checkout-pack.html"
"Cookie / tracking notice","yellow","Показывает пользователю, что используется для входа, аналитики и рекламы.","Маркетинг и first traffic выделены отдельным gate.","Финальный список рекламных/аналитических инструментов и consent-логика.","Не считать готовым до выбора tracking stack.","PM + Игорь","marketing-launch-evidence-inventory.html"
"Entertainment / advice disclaimer","yellow","Снижает риск неправильного ожидания: это текстовая консультация/саморефлексия, не медицина/право/финансы/психотерапия.","Дисклеймер заложен в public docs и checkout PM-пакет.","Короткие версии для LP, профиля, checkout, FAQ и ответа эксперта.","Вставлять как обязательный trust-layer на ключевых шагах.","PM + Антон + Игорь","legal-public-docs-checkout-pack.html"
"Checkout consent","red","Перед оплатой клиент должен понять цену, формат, срок ответа, отсутствие скрытой подписки, Terms/Privacy/refund review.","Есть PM-формулировки и no-hidden-subscription правило.","Связка с реальным checkout UI, provider, test order и скрин согласия.","Нельзя запускать оплату без checkout proof.","Игорь + QA + PM","runtime-evidence-capture-kit.html"
"One-time payment / subscription notice","yellow","Если Phase 1 разовая покупка, это надо явно показать. Если подписка - нужен отдельный consent/cancel path.","PM-рекомендация: честная разовая оплата для старта, без скрытой подписки.","Финально утвержденная модель оплаты на checkout.","В Phase 1 фиксировать one-time payment, если не принято другое решение.","Founder + PM","first-traffic-capacity-economy-gate.html"
"Refund / satisfaction review","red","Что происходит, если эксперт не ответил, ответ плохой, клиент недоволен или заказ завис.","Support/failure gate уже описывает сценарии и proof.","Refund window, review SLA, владелец решения, retry/credit/refund варианты.","PM может подготовить сценарии; финальные правила утверждает Founder/legal/payment.","Founder + Support + PM","support-failure-state-gate.html"
"Support contact / complaint path","red","Клиент должен видеть, куда обращаться, а support должен видеть order id, статус, владельца и итог.","Support gate и runtime proof требуют support-case по тестовому заказу.","Runtime screen/log: case создан, связан с заказом, закрыт и попал в отчет.","До proof трафик запрещен.","Support + QA + PM","support-failure-state-gate.html"
"Expert rules / advisor terms","yellow","Правила для эксперта: SLA, качество, запреты, privacy, стиль ответа, работа с жалобами.","Есть обучение, допуск 5 экспертов, expert gate и материалы AskNebula/PbExpert.","Финальный регламент, тест, пробные ответы, admission journal по каждому из 5 экспертов.","Вести как отдельный контур школы и допуска.","PM + Ксения","expert-training-admission-evidence-inventory.html"
"Expert public profile claims","yellow","Что можно писать в профиле эксперта: опыт, специализация, рейтинги, отзывы, видимость.","Реестр frontend/design/backend требует связь profile UI с backend/content.","Правила proof для рейтингов/отзывов/видимости и запрет fake claims.","Не публиковать неподтвержденные claims как факт.","PM + Антон + Игорь","frontend-design-backend-evidence-inventory.html"
"Email consent and unsubscribe","yellow","Разделение сервисных уведомлений и маркетинговых рассылок, понятная отписка, no-send QA.","Email/no-send gate уже выделен.","Runtime no-send log, template variables, unsubscribe/cancel path для marketing emails.","Сначала proof событий, потом отправки.","Игорь + QA + PM","notification-event-nosend-gate.html"
"Order receipt / payment confirmation","red","Клиент получает подтверждение заказа и платежа с понятным названием сервиса.","Notification gate включает событие order created.","Payment provider, descriptor, receipt text, no-send/order-created proof.","Не тестировать реальные платежи; готовить test-mode proof.","Игорь + QA + Founder","notification-event-nosend-gate.html"
"FAQ and help center","yellow","Снимает вопросы до оплаты: как работает текстовая консультация, сроки, эксперт, refund review, support.","В дизайн/content контуре нужен FAQ для страниц и checkout trust.","Финальные тексты под Nebula/Oracle и связка с LP/checkout/support.","Собрать на основе оффера, документов, support scenarios и обучения.","PM + Антон","frontend-design-backend-evidence-inventory.html"
"Marketing claims and reviews","yellow","Реклама, отзывы, influencer/organic размещения не должны обещать гарантированный результат или скрывать связь.","Маркетинг вынесен в отдельный evidence inventory.","Правила отзывов, UGC, affiliate/influencer disclosure, список запрещенных claims.","Готовить до трафика; paid traffic запрещен до runtime proof.","PM + marketing","marketing-launch-evidence-inventory.html"
"Language / translation notices","yellow","Если клиент и эксперт говорят на разных языках, нужно объяснить перевод, качество и ответственность.","Языки/переводы отмечены в PM coverage как отдельный слой.","Правила перевода в заказе, профиле, ответе, support и expert workspace.","Включить в FAQ/Terms/экспертский регламент до многоязычного запуска.","PM + Игорь","language-translation-ops-control.html"
"Launch geography wording","red","Формулировки документов, refund/consumer rights и checkout зависят от страны запуска.","Founder/legal decisions вынесены как gate.","US-only или US+UK/ЕС; финальная юрисдикция; legal review.","PM готовит универсальный пакет, но финальная публикация ждет географию.","Founder + legal","founder-payment-legal-decisions.html"
"Legal seller / payment provider / descriptor","red","Кто продает услугу, кто принимает оплату и что клиент видит в выписке.","Legal docs pack прямо указывает это как блокер.","Юрлицо, provider, descriptor, payout/refund path.","Не мешать сейчас разработке, но не запускать оплату до решения.","Founder","founder-payment-legal-decisions.html"
"Publication placement map","yellow","Где именно на сайте показываются документы: footer, registration, checkout, profile, FAQ, support, expert onboarding.","Frontend/design/backend inventory требует screen→content→backend→QA.","Route map по сверстанным Nebula/Oracle страницам и Confideline backend routes.","Связать с экранным реестром и runtime proof.","PM + Антон + Игорь","frontend-screen-backend-content-gate.html"
