Экран/участок;Что должно быть;Что уже есть как база;Что не доказано;Статус;Следующий шаг
Лендинг / вход с рекламы;Оффер, CTA, FAQ, trust, disclaimer, source tracking;Посадочные страницы/макеты есть частично;Клик до checkout/order и tracking не доказаны;частично;Сверить CTA с backend-действием и analytics source
Регистрация / вход;Гость может войти/создать аккаунт и продолжить покупку;Auth база Confideline есть;Guest-signup-продолжить заказ не доказан;частично;Включить auth в safe test order
Выбор услуги / эксперта;Карточки, специализация, язык, рейтинг/качество, доступность, цена;Dating/profile foundation есть;Nebula visibility, availability и заказ от карточки не доказаны;нет proof;Собрать контракт карточки эксперта и ranking/visibility
Checkout / первая консультация;Клиент понимает цену, состав услуги, срок ответа и условия;Order/payment/admin база есть;Safe checkout/order proof отсутствует;нет proof;Игорь показывает safe test order без реального платежа
Форма вопроса;Вопрос клиента становится частью заказа/сессии/задачи эксперта;Чат/message база есть;Question-order-session binding не доказан;нет proof;Снять proof связки вопроса и заказа
Кабинет клиента / статус;Клиент видит created/assigned/answered/problem/closed;ЛК/чат макеты есть частично;Статус paid consultation после заказа не доказан;нет proof;Собрать status lifecycle screen contract
Чат и ответ эксперта;Ответ связан с заказом, экспертом, SLA и результатом клиента;Messenger/chat foundation есть, admin chat контур есть;Client/expert/admin в одном paid order не доказаны;нет proof;Связать чат с order, expert, SLA и no-send
Support / жалоба;Клиент создает проблему, support видит заказ/чат/эксперта/решение;Support/report база есть;Problem-state screen flow не доказан;нет proof;Пройти один problem-state сценарий
Email / уведомления;Service events и preview/no-send по заказу, вопросу, ответу, support;Email templates/events описаны;No-send event log отсутствует;нет proof;Снять no-send log на safe order
Админка / workspace эксперта;Исполнитель видит задачу, срок, чат, подсказки, статус, начисления;Админка по ролям и chat workspace контур есть;Runtime под ролью эксперта/агента не доказан;нет proof;Показать роль исполнителя на test order
Документы / FAQ / дисклеймеры;Terms, Privacy, Disclaimer, Refund review, FAQ, checkout consent;Страницы/контент готовятся;Финальные public docs не утверждены legal/payment gate;частично;Готовить HTML-ready пакет, не публиковать финально
Аналитика / отчет;Source/order/value/expert/support/repeat попадают в daily report;Analytics proof matrix есть;Purchase analytics proof отсутствует;нет proof;Снять purchase event на safe order
