"sort","key","language","type_id","is_active","count_user_settings","event_name","condition_id","delay","subject_email","preheader","folder","needs_new_backend_event","source_trigger"
"1","email_confirmation","en","1","1","0","user.email_confirmation","0","0","Confirm your email for {{siteName}}","This link expires at {{confirmationExpiresAt}}.","templates/01_email_confirmation/en","False","email_confirmation_required"
"1","email_confirmation","ru","1","1","0","user.email_confirmation","0","0","Подтвердите email для {{siteName}}","Ссылка действует до {{confirmationExpiresAt}}.","templates/01_email_confirmation/ru","False","email_confirmation_required"
"2","password_reset","en","1","1","0","user.password_recovery","0","0","Reset your {{siteName}} password","This link expires at {{resetExpiresAt}}.","templates/02_password_reset/en","True","password_reset_requested"
"2","password_reset","ru","1","1","0","user.password_recovery","0","0","Сброс пароля для {{siteName}}","Ссылка действует до {{resetExpiresAt}}.","templates/02_password_reset/ru","True","password_reset_requested"
"3","security_change_alert","en","1","1","0","security.security_change","0","0","Security change in your {{siteName}} account","If this was not you, review your account.","templates/03_security_change_alert/en","True","security_setting_changed"
"3","security_change_alert","ru","1","1","0","security.security_change","0","0","Изменение безопасности в аккаунте {{siteName}}","Если это были не вы, проверьте аккаунт.","templates/03_security_change_alert/ru","True","security_setting_changed"
"4","payment_success_receipt","en","1","1","0","payment.success","0","0","Payment confirmed: your {{siteName}} chat consultation is ready","This is a one-time online chat consultation. No subscription was created.","templates/04_payment_success_receipt/en","False","payment_success"
"4","payment_success_receipt","ru","1","1","0","payment.success","0","0","Оплата подтверждена: чат-консультация {{siteName}} готова","Это разовая онлайн-консультация в чате. Подписка не оформлена.","templates/04_payment_success_receipt/ru","False","payment_success"
"5","payment_failed","en","1","1","0","payment.error","0","0","Your payment did not go through","Check your payment method or try again.","templates/05_payment_failed/en","False","payment_failed"
"5","payment_failed","ru","1","1","0","payment.error","0","0","Оплата не прошла","Проверьте способ оплаты или попробуйте ещё раз.","templates/05_payment_failed/ru","False","payment_failed"
"6","payment_started","en","3","1","1","payment.init","0","1","You can finish paying for your chat consultation","Your order is saved if you want to return to checkout.","templates/06_payment_started/en","False","payment_started_not_completed"
"6","payment_started","ru","3","1","1","payment.init","0","1","Вы можете завершить оплату чат-консультации","Заказ сохранён, если вы хотите вернуться к оплате.","templates/06_payment_started/ru","False","payment_started_not_completed"
"7","paid_chat_no_message_reminder","en","2","1","0","message.no_first_chat_message","5","2","Your advisor chat is ready - send your first message","The consultation starts after your message in chat.","templates/07_paid_chat_no_message_reminder/en","True","paid_chat_no_message_after_delay"
"7","paid_chat_no_message_reminder","ru","2","1","0","message.no_first_chat_message","5","2","Чат с экспертом доступен - осталось написать сообщение","Консультация начнётся после вашего сообщения в чате.","templates/07_paid_chat_no_message_reminder/ru","True","paid_chat_no_message_after_delay"
"8","chat_message_received","en","2","1","0","message.received","0","0","Message received: your advisor got the chat","We received your message and started the response timer.","templates/08_chat_message_received/en","False","customer_chat_message_submitted"
"8","chat_message_received","ru","2","1","0","message.received","0","0","Сообщение принято: эксперт получил ваш чат","Мы получили сообщение и запустили время ответа.","templates/08_chat_message_received/ru","False","customer_chat_message_submitted"
"9","chat_sla_delay","en","2","1","0","message.answer_delayed","0","0","Chat status: the reply is delayed","We see the delay and are checking the status.","templates/09_chat_sla_delay/en","True","chat_answer_sla_delay_detected"
"9","chat_sla_delay","ru","2","1","0","message.answer_delayed","0","0","Статус чата: ответ задерживается","Мы видим задержку и уже проверяем статус.","templates/09_chat_sla_delay/ru","True","chat_answer_sla_delay_detected"
"10","advisor_chat_reply_ready","en","2","1","0","message.received","0","0","Your advisor replied in chat","Open your account to read the answer.","templates/10_advisor_chat_reply_ready/en","False","advisor_chat_reply_created"
"10","advisor_chat_reply_ready","ru","2","1","0","message.received","0","0","Эксперт ответил в чате","Откройте личный кабинет, чтобы прочитать ответ.","templates/10_advisor_chat_reply_ready/ru","False","advisor_chat_reply_created"
"11","support_ticket_opened","en","2","1","0","support.ticket.opened","0","0","Your support request was created","We received the request and will reply in your account.","templates/11_support_ticket_opened/en","True","support_ticket_opened"
"11","support_ticket_opened","ru","2","1","0","support.ticket.opened","0","0","Обращение в поддержку создано","Мы получили обращение и ответим в кабинете.","templates/11_support_ticket_opened/ru","True","support_ticket_opened"
"12","support_reply","en","2","1","0","support.message.received","0","0","Support replied to case #{{supportCaseId}}","Open the case to read the reply.","templates/12_support_reply/en","False","support_reply_created"
"12","support_reply","ru","2","1","0","support.message.received","0","0","Поддержка ответила по обращению #{{supportCaseId}}","Откройте обращение, чтобы прочитать ответ.","templates/12_support_reply/ru","False","support_reply_created"
"13","refund_confirmed","en","2","1","0","payment.refund","0","0","Refund for order #{{orderId}} is confirmed","We sent the refund to the original payment method.","templates/13_refund_confirmed/en","False","refund_confirmed"
"13","refund_confirmed","ru","2","1","0","payment.refund","0","0","Возврат по заказу #{{orderId}} подтверждён","Мы отправили возврат на исходный способ оплаты.","templates/13_refund_confirmed/ru","False","refund_confirmed"
"14","refund_case_update","en","2","1","0","payment.refund","0","0","Refund status updated","Open the case to see the details.","templates/14_refund_case_update/en","False","refund_case_updated"
"14","refund_case_update","ru","2","1","0","payment.refund","0","0","Статус возврата обновлён","Откройте обращение, чтобы посмотреть детали.","templates/14_refund_case_update/ru","False","refund_case_updated"
"15","same_advisor_followup_offer","en","3","1","1","advisor.followup.offer","0","24","You can continue the chat with {{advisorName}}","The continuation is a separate purchase with no automatic renewal.","templates/15_same_advisor_followup_offer/en","True","same_advisor_followup_allowed"
"15","same_advisor_followup_offer","ru","3","1","1","advisor.followup.offer","0","24","Можно продолжить чат с {{advisorName}}","Продолжение - отдельная покупка без автопродления.","templates/15_same_advisor_followup_offer/ru","True","same_advisor_followup_allowed"
"16","review_request","en","3","1","1","review.left","0","24","Rate your chat consultation experience","Your feedback helps improve the service.","templates/16_review_request/en","False","review_request_allowed"
"16","review_request","ru","3","1","1","review.left","0","24","Оцените опыт консультации в чате","Ваш отзыв поможет улучшить сервис.","templates/16_review_request/ru","False","review_request_allowed"
"17","d2_chat_reflection","en","3","1","1","message.chat_saved","0","48","Your advisor chat has been saved","You can return to the conversation in your account.","templates/17_d2_chat_reflection/en","True","d2_chat_reflection_allowed"
"17","d2_chat_reflection","ru","3","1","1","message.chat_saved","0","48","Ваш чат с экспертом сохранён","Можно вернуться к переписке в кабинете.","templates/17_d2_chat_reflection/ru","True","d2_chat_reflection_allowed"
"18","safety_notice","en","1","1","0","support.safety_notice","0","0","Important support information","Open your account or contact support.","templates/18_safety_notice/en","True","safety_flow_notice"
"18","safety_notice","ru","1","1","0","support.safety_notice","0","0","Важная информация о поддержке","Откройте кабинет или обратитесь в поддержку.","templates/18_safety_notice/ru","True","safety_flow_notice"
"19","minor_or_age_restriction_notice","en","1","1","0","user.age_restricted","0","0","Access to the service is restricted","Open support if you need help.","templates/19_minor_or_age_restriction_notice/en","True","minor_or_age_restricted"
"19","minor_or_age_restriction_notice","ru","1","1","0","user.age_restricted","0","0","Доступ к сервису ограничен","Откройте поддержку, если нужна помощь.","templates/19_minor_or_age_restriction_notice/ru","True","minor_or_age_restricted"
