"type","id","name","status","rule","proof"
"factor","VIS-01","Качество ответа","yellow","Поднимает ready scorecard; опускает critical stop","Scorecard, quality history"
"factor","VIS-02","SLA и скорость","yellow","Поднимает ответы в срок; опускает просрочки","SLA timer, overdue queue"
"factor","VIS-03","Жалобы и refund-risk","yellow","Поднимает мало жалоб; опускает repeated complaints","Support/refund log"
"factor","VIS-04","Доступность и capacity","yellow","Поднимает доступность; опускает overload/offline","Capacity template"
"factor","VIS-05","Коммерческий результат","yellow","Позже учитывает repeat/follow-up без жалоб","Order/repeat metrics"
"factor","VIS-06","Ручное PM-решение","yellow","Boost/freeze только с причиной и сроком","Audit log"
"action","ACT-01","Boost","yellow","Временное поднятие с причиной и сроком","Audit log"
"action","ACT-02","Freeze","red","Пауза новых назначений при риске","Audit log + assignment behavior"
"action","ACT-03","Hide","red","Скрытие из публичной витрины","Visibility before/after + audit log"
"action","ACT-04","Shadow restriction","red","Короткое внутреннее ограничение только с review owner","Restriction log + expiry"
"ac","AC01","Freeze proof","red","Эксперт не получает новые назначения, текущие остаются","Before/after screenshot + audit log"
"ac","AC05","Reason required","red","Изменение без причины не принимается","Validation screenshot"
