"domain","accessClass","status","firstList","firstCard","url"
"confideline.com","not_found","404","Архив (Выполнено)","Политики на сайт Юдейт","https://confideline.com/admin/page/index?currentPage=1.php"
"confideline.com","not_found","404","Архив (Выполнено)","Перепроверить политики и тд","https://confideline.com/page/AntiScam"
"confideline.com","not_found","404","Архив (Выполнено)","Политики на сайт Юдейт","https://confideline.com/page/Cancellation-and-Refund"
"confideline.com","not_found","404","Архив (Выполнено)","Перепроверить политики и тд","https://confideline.com/page/cancellation-refund"
"confideline.com","not_found","404","Архив (Выполнено)","Перепроверить политики и тд","https://confideline.com/page/legal-safety-center"
"confideline.com","not_found","404","Архив (Выполнено)","Перепроверить политики и тд","https://confideline.com/page/policy-content"
"confideline.com","not_found","404","Архив (Выполнено)","Перепроверить политики и тд","https://confideline.com/page/Safety"
"confideline.com","not_found","404","Фоновые задачи","Переделать диалоговые окна","https://confideline.com/ru/admin/chief-under/index?userId=2"
"confideline.com","not_found","404","Фоновые задачи","Переделать диалоговые окна","https://confideline.com/ru/admin/group/"
"confideline.com","not_found","404","На проверке","ТЗ Ограничение отправки контактов в чате","https://confideline.com/ru/admin/message/index"
"confideline.com","not_found","404","На проверке","ТЗ Авторизация через соцсети","https://confideline.com/ru/admin/settings/social"
"confideline.com","not_found","404","На проверке","ТЗ по тех поддержке на сайте (суппорт)","https://confideline.com/ru/admin/support/index"
"confideline.com","not_found","404","План на январь","отчет за январь","https://confideline.com/ru/admin/user"
"confideline.com","not_found","404","На проверке","ТЗ по управлению email-рассылки из админки","https://confideline.com/ru/admin/user/index"
"confideline.com","not_found","404","Фоновые задачи","Переделать диалоговые окна","https://confideline.com/ru/admin/user/info?id=82"
"cutthreat.github.io","error_or_timeout","","На проверке","Переводчик в чате (пользователь/агент)","https://cutthreat.github.io/confideline/translator-spec.html"
"cutthreat.github.io","error_or_timeout","","План на май","Список доработок для Chat Advance","https://cutthreat.github.io/confideline/web/admin-chat-workspace-v2/CHAT\_WORKSPACE\_V2\_MIGRATION\_GUIDE.md"
"cutthreat.github.io","error_or_timeout","","План на март","Пробная верстка дизайна страниц Nebula","https://cutthreat.github.io/nebula-pages-public/site-map.html"
"docs.google.com","access_blocked","401","Архив (Выполнено)","ТЗ по управлению платными функциями (из реестра)","https://docs.google.com/document/d/1cxfteHUjdkjlbVSsEvBtYENXC7rKPZF6yF8zUjnNfG8/edit?tab=t.0"
"docs.google.com","not_found","404","На проверке","Составить 10 ТЗ для прогера","https://docs.google.com/document/d/1SWn6BPcX22qbowfSny295YPza4U0\_d3ke\_xnhtL2F3A/edit?usp=sharing"
"docs.google.com","access_blocked","401","Архив (Выполнено)","Таблица сравнения сайтов","https://docs.google.com/spreadsheets/d/1ZFIPIBptCEvh1TQdk4iqHWT_x1scM501TF89ZFRu0AE/edit?gid=0#gid=0"
"drive.google.com","access_blocked","401","Архив (Выполнено)","Тестовая среда для программиста","https://drive.google.com/file/d/1ABoL4rnVexKrM21LS8OSbywIIfNYatJA/view?usp=drive_link"
"github.com","error_or_timeout","","Полка (Когда-нибудь)","Развернуть чат боты","https://github.com/DavidRomanovizc/DatingBot"
"www.figma.com","error_or_timeout","","Архив (Выполнено)","Отрисовать недостающие страницы для H","https://www.figma.com/design/0bHuDBrirrsNg6ryxSPOgy/OLLYA?node-id=0-1&p=f&t=LTwNaxt2sqMvNe0R-0"
"www.figma.com","access_blocked","403","План на октябрь","Найти Дизайнера для ХАГС и запустить процесс редизайна.","https://www.figma.com/proto/NKQz7WdwHOWpRD9l2sYCkv/Russian-Hugs?page-id=0%3A1&node-id=2-2&node-type=frame&viewport=440%2C340%2C0.25&t=pAx3ggXxAgsrRt3u-1&scaling=scale-down&content-scaling=fixed"
