Область;Статус;Что понятно;Доказательство;Следующее действие
Blue panel и PM-контур;зеленый;Панель опубликована и структура понятна;index.html, project-management-model, result-publication-standard;Продолжать наполнять доказательствами
Trello-правило обновить;зеленый;Метка обновить является источником правок;trello-update-label-rule, trello-source-map;Регулярно просматривать карточки с меткой
Пакеты передачи команде;зеленый;Есть повторяемый формат пакетов для Игоря и тестировщика;handoff pages;Следующие задачи оформлять в том же стандарте
План рекламного теста;зеленый;Есть go/no-go контур до трафика;marketing-traffic-test-handoff;Не запускать рекламу до красных условий
План задач на июнь;желтый;План собран на 160 часов, часть Trello обновлена;june-plan, trello-june-customer-brief;Досогласовать добор задач
Стратегия платформы;желтый;Логика platform-first зафиксирована;strategy-board, google-strategy-sources;Добрать закрытые источники
Backend Confideline;желтый;База сильная, путь консультации не доказан;backend-frontend-proof-map, qa-reports;Проверить end-to-end путь
Дизайн Oracle/Nebula;желтый;Экранный контракт есть, полная сверка не закрыта;nebula-screen-contract, design-source-contract;Закрыть экран->функция->контент->проверка
Оффер и публичные страницы;желтый;Оффер понятен, live Confideline не финальный фронт;jun-08-page-screen-registry;Сопоставить страницы, макеты, тексты и CTA
Обучение первых 5 экспертов;желтый;Материалы найдены, часть доступа ограничена;expert-school-first-five-launch-package, training-materials-register;Получить доступ и собрать финальный допуск
Регламент экспертов и агентов;желтый;Структура понятна, финальный документ не готов;expert-quality-moderation, june-plan#jun-04;Собрать регламент
Email и уведомления;желтый;PM-пакет готов, внедрение не доказано;email-notifications-handoff, events;Передать Игорю связку с заказом и чатом
Начисления экспертам и агентам;желтый;Модель готова, ставки и решения не утверждены;expert-agent-compensation-handoff;Утвердить founder decisions
Проверка перед рекламой;желтый;Методика готова, запусковой тест не пройден;launch-test-scenario, marketing-traffic-test-handoff;Провести тест после внедрения
Платная покупка услуги;красный;Тестовый путь описан, работа не доказана;paid-consultation-test-flow, igor-test-order-consultation-handoff;Реализовать/подтвердить тестовый заказ
Полный путь клиента после оплаты;красный;Сценарий описан, рабочий end-to-end не доказан;paid-consultation-test-flow, launch-test-scenario;Пройти весь сценарий и опубликовать отчет
Рабочее место эксперта и агента;красный;PM-пакет готов, админский контур не доказан;expert-agent-workspace-handoff;Реализовать/подтвердить роли и статусы
Поддержка, жалобы и возвраты;красный;PM-пакет готов, единая карточка обращения не доказана;support-refund-handoff;Доказать тикет с заказом, чатом и решением
Юридические страницы и дисклеймеры;красный;Заготовки есть, финал зависит от legal/payment/founder decisions;legal-docs-readiness, legal-content-package;Подготовить к согласованию, не публиковать финально
Аналитика и события;красный;Карта событий есть, сквозная фиксация не доказана;events, marketing-traffic-test-handoff;Связать события с отчетом трафика
Реальная готовность к рекламе;красный;Go/no-go пакет готов, красные условия открыты;marketing-traffic-test-handoff, marketing-traffic-readiness;Запускать только подготовку каналов
