layer,status,green_evidence,current_evidence,missing,proof_page,next_step,owner
PM-контур и Blue Panel,Зеленый,Публичная панель открывается и связана proof-ссылками,Главная и ключевые страницы опубликованы,Постоянная синхронизация,blue-panel-link-audit.html,Обновлять после каждого результата,PM
Стратегия и план,Зеленый,Есть логика platform-first и июнь связан с proof,Стратегия и мастер-план собраны,Runtime-проверка сайта,strategy-board.html,Не расширять функции до контрольного заказа,PM + основатель
Trello и месячные задачи,Желтый,Карточки имеют постановку результат часы статус и Blue Panel proof,План июня и факт-страницы есть,Не все карточки подтверждены внедрением,june-plan.html,Не менять заголовки без команды,PM
Backend Confideline / админка,Желтый,QA видит заказ от клиента до ответа и support,Карты readiness и пакет Игорю есть,Нет рабочего пути по заказу,igor-test-order-acceptance-contract.html,Игорь показывает рабочий путь,Игорь + PM + QA
Frontend Oracle/Nebula,Желтый,Дизайн верстка backend контент failure states QA proof связаны,Карта экранов и контракт заказа есть,0 зеленых paid-flow,screen-backend-content-control.html,Закрыть paid-flow контрольного заказа,PM + Антон + Игорь
Первая платная консультация,Красный,Контрольный заказ пройден без real charge и real mail с QA PASS/WARN,Gate фикстуры QA brief shell готовы,Нет фактического прохода,test-order-runtime-public-report-shell.html,Закрыть входные данные и передать Игорю,Игорь + QA + PM
Видимость экспертов и модерация,Желтый,Есть правила ранжирования санкций audit log и админская видимость,PM-решение есть,Нет proof на реальном списке,expert-visibility-moderation-control.html,Связать ранжирование с quality SLA,PM + Игорь
Языки и переводы,Желтый,На заказе видны язык клиента эксперт перевод review marker support,English-first решение есть,Нет runtime proof,language-translation-ops-control.html,Добавить language checks в контрольный заказ,PM + Игорь + QA
Рабочее место эксперта / агента,Красный,Эксперт получает задачу видит вопрос срок чат статус начисление и отвечает,Пакет рабочего места есть,Нет runtime proof,expert-agent-workspace-handoff.html,Проверить PF05-PF08,Игорь + QA
Емкость 5 экспертов,Желтый,По каждому эксперту есть допуск пробный ответ SLA дневной лимит,Guardrails и журнал допуска есть,Нет данных по 5 реальным экспертам,first-five-expert-admission-journal.html,Заполнить EP01-EP10,PM + Ксения
Школа и регламент экспертов,Желтый,Материалы тест регламент пробный ответ ручной допуск применены,Уроки и регламент v1 собраны,Нет ревизии и результатов,expert-school-v1-operational-pack.html,Ксения как ревизор,PM + Ксения
Email события уведомления,Красный,No-send журнал показывает события заказа вопроса назначения дедлайна ответа support follow-up,Пакет событий собран,Нет журнала на контрольном заказе,events-notifications-launch-control.html,Проверить без реальных писем,Игорь + QA
Support и проблемные ситуации,Красный,Проблема связана с заказом чатом экспертом решением уведомлением ответственным,Сценарии описаны,Нет problem state proof,support-refund-launch-control.html,Смоделировать просрочку или недовольство,Игорь + QA + PM
Документы и checkout,Красный,Утверждены public docs checkout disclosure refund path места показа,Структура HTML-ready пакета есть,Зависит от legal seller provider descriptor geography,co2p-legal-checkout-public-docs.html,Не публиковать финал до legal decision,PM + основатель/legal
QA перед рекламой,Красный,Публичный QA-отчет PF01-PF12 с PASS/WARN/STOP,Brief и shell есть,Нет фактического прохода,qa-test-order-execution-brief.html,Запускать QA после READY,QA + PM
Маркетинг и первый трафик,Красный,Есть QA PASS/WARN capacity support notifications legal/payment CAC/LTV preflight,Go/no-go и trust/organic контур есть,Нет runtime proof и экономического допуска,co2p-marketing-first-traffic-gonogo.html,Готовить материалы но не покупать трафик,PM + основатель
