Gate,Владелец,Статус,READY условие,Что сейчас не доказано,Ссылка
Безопасный режим,PM + Игорь,Красный,"Есть test/sandbox/mock режим, реальное списание невозможно, test marker виден в заказе.",Нет доказанного safe order без real charge.,test-order-readiness-gate.html
No-send режим,Игорь + QA,Красный,"События создаются, preview доступен, реальные email/SMS/push не уходят.",Нет timeline no-send на контрольном заказе.,notification-event-nosend-gate.html
Тестовый клиент,PM + QA,Желтый,"Есть тестовый клиент/логин/роль/URL, не production-клиент.","Часть фикстур PM может заполнить, но нужен финальный доступ/URL.",test-order-fixture-readiness-sheet.html
Тестовая услуга и вопрос,PM,Желтый,"Есть понятный вопрос клиента, услуга, ожидаемый срок ответа, язык и ограничения.",Нужно связать с фактическим order/question/session.,test-order-pm-filled-fixtures.html
Допущенный исполнитель,PM + Ксения + Игорь,Красный,"Минимум один эксперт имеет журнал допуска, пробный ответ, SLA, доступ и назначенную анкету.",0 из 5 экспертов допущено proof-фактами.,first-five-expert-admission-gate.html
Order id и marker,Игорь,Красный,"Создан test order с order_id, суммой/валютой, test marker и no real charge proof.",Нет runtime order_id.,igor-test-order-acceptance-contract.html
Связка заказа и вопроса,Игорь,Красный,"Вопрос клиента связан с order_id и session/task, виден клиенту, админу и исполнителю.",Не доказан order/question/session binding.,test-order-client-order-proof-register.html
Админский маршрут,Игорь + QA,Красный,"Админ без ручного поиска видит заказ, вопрос, статус, исполнителя, события и support.",Не сняты скрины admin timeline.,admin-control-order-gate.html
Рабочее место исполнителя,Игорь + эксперт/агент + QA,Красный,"Исполнитель под своей ролью видит вопрос, срок, контекст, поле ответа и статус.",Не доказан вход и работа под ролью исполнителя.,expert-runtime-proof-register.html
Support case,Игорь + QA,Красный,"Можно создать problem state/support case, связанный с заказом и владельцем решения.",Проблемный сценарий не доказан.,support-failure-state-gate.html
Proof capture sheet,QA + PM,Желтый,"Есть место, куда QA заносит ID, скрины, логи, owner, verdict и остаточные риски.","Шаблон есть, но фактических runtime данных еще нет.",test-order-proof-capture-sheet.html
Публичный отчет QA,QA + PM,Красный,После прохода публикуется PASS/WARN/STOP отчет и пересчитывается светофор запуска.,QA еще не может стартовать до READY.,test-order-runtime-public-report-shell.html
