Событие;Получатель;Смысл сообщения;Ключевые переменные;Где видно;Статус;Проверка
Регистрация клиента;Клиент;Подтвердить вход и следующий шаг;имя, язык, ссылка входа, поддержка;профиль клиента, журнал писем;частично стандартно;сформировать письмо в тестовом режиме
Заказ создан;Клиент, админ;Показать, что покупка начата;номер заказа, услуга, цена, язык, источник;заказ, админка, журнал событий;нужно связать;создать тестовый заказ
Оплата успешна или тестово успешна;Клиент, админ, поддержка;Подтвердить статус и перевести к вопросу;заказ, сумма, валюта, услуга, ссылка на вопрос;заказ, платежи, support, журнал писем;обязательно;проверить письмо и статус заказа
Оплата не прошла;Клиент, поддержка;Объяснить, что услуга не началась;заказ, причина, ссылка повтора, поддержка;заказ, support, журнал ошибок;обязательно;смоделировать отказ оплаты
Клиент не написал вопрос после оплаты;Клиент, поддержка;Напомнить о необходимости вопроса;заказ, услуга, срок ожидания, ссылка на форму;очередь оплачен без вопроса;обязательно;создать заказ без вопроса
Вопрос принят;Клиент, админ;Подтвердить получение запроса;заказ, тема, срок ответа, язык, ссылка на чат;карточка консультации, журнал событий;обязательно;создать вопрос к заказу
Консультация назначена;Эксперт/агент, админ;Передать исполнителю новую работу;консультация, клиент, тема, срок, ссылка на чат, роль;рабочее место эксперта, очередь админа;обязательно;назначить исполнителя
Скоро истекает срок ответа;Эксперт/агент, админ;Предупредить о риске просрочки;консультация, дедлайн, оставшееся время, ссылка на чат;очередь сроков, журнал уведомлений;обязательно;задать короткий срок
Ответ отправлен;Клиент, админ, аналитика;Сообщить, что консультация готова;консультация, эксперт, ссылка на чат, оценка, поддержка;чат, письмо клиенту, отчет ответа;обязательно;отправить тестовый ответ
Жалоба или обращение;Поддержка, админ, модератор;Связать проблему с заказом;заказ, клиент, чат, исполнитель, причина, срок реакции;support queue, карточка заказа;обязательно;создать тикет
Решение по проблеме;Клиент, поддержка, админ;Сообщить итог решения;тикет, заказ, решение, срок, ссылка поддержки;тикет, журнал решений;обязательно;закрыть тикет решением
Начисление исполнителю;Эксперт/агент, админ;Показать начисление или удержание;консультация, сумма, статус, причина, период;рабочее место эксперта, финансы;после основного пути;закрыть консультацию
Повторная покупка;Клиент, PM/маркетинг;Вернуть клиента после ответа;прошлая консультация, тема, новый повод, ссылка;маркетинговые рассылки, аналитика;после первого запуска;только после согласия и правил
