ID;Что доказываем;Что принимается;Что не принимается;Кто дает;Кто принимает;Если принято;Если не принято;Статус сейчас
SR01;Support case создан из проблемного заказа;case_id, order_id, service_session_id, client_id, created_at, problem type;Комментарий в Trello, чат вне сайта, жалоба без order id;Игорь / QA;PM;Можно проверять обработку обращения;Support остается STOP;красный
SR02;Кейс связан с заказом, сессией, вопросом и чатом;На одном экране или в понятных переходах видны order, session, question, chat messages;Ручной поиск по разным разделам без связи;Игорь / QA;PM;Support видит контекст;Клиентский путь нельзя поддерживать;красный
SR03;Причина проблемы классифицирована;reason/category: плохой ответ, просрочка, нет вопроса, платежный сбой, язык, чат, refund review;Свободный текст без категории и отчета;Support / QA;PM;Можно считать причины проблем;Daily report и улучшения слепые;красный
SR04;У обращения есть владелец и статус;owner, status, priority, SLA/next action, updated_at;“Кто-нибудь посмотрит”, просмотрено/не просмотрено без решения;Support / Игорь;PM;Проблема управляется;Риск зависших обращений;красный
SR05;История действий сохраняется;Timeline: кто создал, кто взял, что решил, когда закрыл, какие события сработали;Скрин финального статуса без истории;Игорь / QA;PM;Можно разбирать спорные кейсы;Нельзя доказать качество support;красный
SR06;Клиентское сообщение подготовлено без отправки;No-send preview/log с template key, recipient, variables, status, suppression marker;Реальная отправка, текст в документе без event log;Игорь / QA;PM;Можно безопасно тестировать коммуникации;Реальные рассылки запрещены;красный
SR07;Эксперт/агент видит проблему или ее последствие;Связь с expert_id/agent_id/profile_id, quality note, warning/retry/training action или hold marker;Жалоба клиента никак не влияет на исполнителя;Игорь / PM / Ксения;PM;Quality contour получает факт;Нельзя управлять качеством экспертов;красный
SR08;Refund/retry/credit review имеет статус без реального refund;review_status, proposed outcome, no_real_refund flag, owner, decision reason;Устное “вернем деньги”, реальный refund в QA, отсутствие запрета;Support / Игорь;PM + founder/legal later;Операционный путь готов к юридическому утверждению;Refund path остается founder/legal blocker;красный
SR09;Решение имеет причину и согласующего;approved/declined/retry/credit/manual_review, reason, approver/owner, timestamp;Закрыто без объяснения;Support / PM;PM;Кейс можно закрывать прозрачно;Support decision неприемлем;красный
SR10;Влияние на начисления/компенсацию видно как test-only;hold/adjustment/credit marker без реальных денег, связь с order/expert;Реальная выплата/удержание в QA или отсутствие связи с экспертом;Игорь / PM;PM;Финансовый риск видим;Можно WARN, если вручную контролируется;желтый
SR11;Кейс закрыт с итогом и SLA;resolved/closed, outcome, response time, resolution time, final note;Открытый кейс без следующего действия;Support / QA;PM;Problem state завершен;Нельзя считать support готовым;красный
SR12;Support impact попал в аналитику покупки;support_case_id, reason, refund_risk, outcome, retry/credit/review status связаны с order/session/source;Жалоба есть, но не влияет на purchase analytics и daily report;Игорь / QA;PM;CAC/LTV можно считать с учетом проблем;Экономика завышена и невалидна;красный
