gate,status,why_it_matters,required_proof,next_owner,next_action,blue_panel_link
Safe order R01,red,"Без безопасного заказа нельзя доказать клиентский путь, админку, уведомления, support и аналитику","order_id, client_id, expert/profile_id, message_id, timeline screenshots, no-charge/no-send proof",Igor,"Вернуть accepted R01",../backend-admin-safe-order-execution-board-2026-06-06.html
Expert admission R02,red,"QA не может проверять услугу без допущенного эксперта","E01 application/profile/access/SLA/test answer/scorecard/verdict",PM+Ksenia+E01,"Вернуть accepted R02",../first-five-expert-admission-execution-board-2026-06-06.html
QA ready,red,"Тестировщик стартует только после входных фактов","accepted R01 + accepted R02 + no-send/admin/support route",PM+QA,"Не запускать QA до READY",../prelaunch-qa-runbook-2026-06-06.html
Capacity for first traffic,red,"Внешний трафик нельзя покупать, если 5 экспертов не выдерживают поток","E01-E05 accepted or founder-approved hard cap",PM+Founder,"Бюджет рекламы = 0",../first-traffic-execution-board-2026-06-06.html
CAC validity,red,"CAC нельзя считать без связки источник-сессия-заказ-деньги","purchase analytics row with source/session/order/value/currency/service/support",Igor+PM,"Не принимать решения по CAC до analytics proof",../purchase-analytics-proof-acceptance-board.html
LTV validity,red,"LTV нельзя использовать для бюджета без повторных заказов","repeat-order proof D7/D14/D30 or explicit learning budget",PM+Founder,"Использовать first-order economics до repeat proof",../first-traffic-economy-launch-gate-2026-06-06.html
Expert/agent compensation,yellow,"Модель можно проектировать, но реальные выплаты требуют решения владельца и test proof","test compensation row on safe order + founder/legal/payment approval for real payouts",PM+Igor+Founder,"Проверить test row; реальные ставки не запускать",../expert-agent-compensation-handoff.html
Source/access gaps,yellow,"Закрытые документы и нестабильные ссылки нельзя считать подтвержденной истиной","captured/extracted/restored access or marked blocked",PM+Alexey if access needed,"Добрать доступы только там, где PM не может сам",../pm-source-access-gap-register-2026-06-06.html
PM escalation rules,green,"PM должен работать автономно и спрашивать только по настоящим блокерам","escalation register and waiting rules",PM,"Использовать как рабочее правило",../pm-escalation-waiting-register-2026-06-06.html
Legal/payment/founder decisions,red,"PM не может утверждать публичного продавца, provider, descriptor, refund и geography","founder/legal/payment approval",Founder+PM,"Готовить пакет, но не публиковать checkout",../public-docs-checkout-execution-board-2026-06-06.html
