ID,Область,Статус,Что доказано сейчас,Что не доказано,Следующий шаг,Владелец,Proof
REQ01,Доказательная база текущего состояния,желтый,"proof ledger; светофор; live-аудит; R01/R02 capture; daily/weekly/monthly PM cycle","Нет runtime доказательств сайта","Добавлять accepted proof из R01/R02/QA",PM+команда,launch-layer-readiness-map-2026-06-06.html
REQ02,Backend Confideline,желтый,"BA01-BA12 и запрос Игорю","Нет order/question/session/performer/answer/admin/support/events proof","Получить R01",Игорь+PM,first-two-proof-response-capture-sheet-2026-06-06.html
REQ03,Frontend/design Oracle/Nebula,желтый,"Карта экранов контента backend-связей","Нет полного runtime proof paid-flow","Сверить после R01/QA",PM+Антон+Игорь,page-content-backend-readiness-map-2026-06-06.html
REQ04,Trello и план июня,желтый,"План июня; weekly update template; названия не меняем","Не все карточки имеют внедренный результат и proof-ссылку","Вести weekly updates и result links",PM,weekly-trello-update-template-2026-06-06.html
REQ05,Blue Panel как инфраструктура контроля,зеленый,"Главный cockpit; Для Алексея; readiness; proof-пакеты; cycles","Нужно регулярное обновление","Поддерживать stakeholder cockpit",PM,../index.html
REQ06,Документы policies checkout,желтый,"PM-пакет public docs/checkout","Нет seller/provider/descriptor/refund/geography approval","Готовить HTML-ready без публикации",PM+founder,public-docs-checkout-execution-board-2026-06-06.html
REQ07,Обучение и школа экспертов,желтый,"Школа v1; регламент; scorecard; admission board","Нет accepted прохождения и пробного ответа E01-E05","Получить R02",PM+Ксения,first-two-proof-response-capture-sheet-2026-06-06.html
REQ08,Первые 5 экспертов,красный,"Пакет допуска создан","0/5 accepted","Принять E01 затем E01-E05",PM+Ксения+эксперты,first-five-expert-admission-execution-board-2026-06-06.html
REQ09,Экспертский/агентский контур,красный,"Workspace handoff","Нет назначения и ответа внутри системы","Проверить на safe order и QA",Игорь+эксперт+QA,expert-agent-workspace-handoff.html
REQ10,Клиентский путь,красный,"Путь описан и capture sheets есть","Нет фактического прохода","Провести контрольный заказ после READY",Игорь+QA+PM,prelaunch-qa-runbook-2026-06-06.html
REQ11,Админка и операционная видимость,красный,"BA/AOC acceptance logic","Нет admin route proof","Получить admin timeline в R01",Игорь,backend-admin-safe-order-execution-board-2026-06-06.html
REQ12,Support тикеты возвраты,красный,"Support capture sheet и failure gate","Нет support_case_id по order_id","Включить support proof в R01/QA",Игорь+QA,support-problem-control-order-capture-sheet-2026-06-06.html
REQ13,Email события no-send,красный,"CSA board и no-send acceptance","Нет event_id/preview/external_send=false","Принять no-send proof в R01/QA",Игорь+QA,communications-support-analytics-execution-board-2026-06-06.html
REQ14,QA перед трафиком,красный,"QA-runbook готов","QA нельзя стартовать без R01/R02","После READY получить PASS/WARN/STOP",QA+PM,prelaunch-qa-runbook-2026-06-06.html
REQ15,Маркетинг экономика трафик,красный,"FTX board; preflight; UTM/daily/budget logic","Нет QA/capacity/docs/payment/analytics proof","Готовить материалы бюджет 0",PM+founder,first-traffic-execution-board-2026-06-06.html
REQ16,Классификация R/Y/G,зеленый,"Светофор и правило document != runtime proof","Нужно пересчитывать после фактов","Менять только accepted gate",PM,launch-layer-readiness-map-2026-06-06.html
REQ17,Пробелы блокеры владельцы,зеленый,"Эскалации; daily cycle; R01/R02; capture; MVP backlog","Красные блокеры до внешнего proof","R01/R02 → QA-ready → QA report",PM+команда,pm-escalation-waiting-register-2026-06-06.html
REQ18,Понятный мастер-план,зеленый,"Для Алексея; план июня; отчет месяца; proof-links","После QA обновить go/no-go и Trello links","Использовать для Заказчика",PM+Алексей,alexey-master-plan.html
REQ19,Автономная работа PM,зеленый,"Эскалации; daily/weekly/monthly cycle; proof-приемка","Автономность не заменяет внешние proof/decisions","PM закрывает подготовку сам",PM,pm-daily-operating-cycle.html
