"Work","Hours","Purpose","Result","Proof","Status"
"Email-шаблоны, уведомления и рассылки","18","Управление ожиданием клиента и работой эксперта","Пакет шаблонов, события, no-send QA","notification-nosend-proof-register.html","в работе"
"Чат в админке для экспертов","20","Эксперт работает внутри платформы","Контур для передачи Игорю","admin-chat-workspace-v2 external","на согласовании"
"Доступ эксперта и рабочие вкладки","14","5 экспертов видят свои задачи и начисления","Карта вкладок, прав, назначений","expert-runtime-proof-register.html","в работе"
"Панель обучения экспертов","16","Обучить 5 экспертов и масштабировать набор","Структура школы, уроки, тест, допуск","expert-training-source-register.html","нужно собрать"
"Регламент работы эксперта","12","Контроль качества и SLA","Регламент и критерии проверки","first-five-expert-admission-proof-contract.html","нужно закрыть"
"Контрольный заказ от клиента до ответа","22","Доказать, что можно покупать трафик","Proof-реестр и QA-отчет","runtime-proof-master-register.html","ждет теста"
"Support и проблемные ситуации","10","Процесс решения проблем после оплаты","Failure states, кейсы, статусы","support-problem-proof-register.html","в работе"
"Реестр страниц, экранов и связей с бекендом","16","Понять готовность front/design/backend/content","Таблица зеленый/желтый/красный","screen-backend-content-control.html","в работе"
"Маркетинг и первый трафик","12","Понять экономику и stop rules","CAC/LTV preflight","first-traffic-cac-ltv-calculator.html","в работе"
"Документы сайта и дисклеймеры","10","Подготовить сайт к прозрачному запуску","HTML-ready пакет документов","legal-documents-control.html","нужно закрыть"
"Стратегия и мастер-план для Заказчика","12","Понятная витрина без технического склада","Стратегия, мастер-план, вкладка для Алексея","strategy-board.html","обновляется"
"Стандарт передачи задач команде","8","Игорь, Антон, Ксения и QA получают готовый пакет","co2p стандарт постановки и приемки","co2p-delivery-standard.html","нужно обновить"
