"ID","Area","Status","Evidence","Missing","Next","Owner","Proof"
"REQ01","Доказательная база текущего состояния","Желтый","Собраны proof ledger, аудит PM-цели, индекс покрытия, source gap summary, аудит ссылок.","Нет runtime-фактов по рабочему сайту: контрольный заказ, QA-скрины, no-send log, support-case.","Продолжать добавлять только проверяемые proof-страницы и не считать документы runtime-готовностью.","PM/Codex","pm-current-state-proof-ledger.html; pm-launch-coverage-index.html; stakeholder-link-audit.html"
"REQ02","Backend Confideline","Желтый","Backend/admin принят как база; есть admin/backend maps, runtime gaps и контракт Игорю.","Не доказан сквозной путь order -> question -> session -> assignment -> answer -> support -> events.","Закрыть AC01-AC09 на контрольном заказе.","Игорь + QA + PM","backend-admin-readiness-map.html; admin-control-order-gate.html; igor-test-order-acceptance-contract.html"
"REQ03","Frontend/design Oracle/Nebula","Желтый","Есть screen/backend/content gate и карта критичных экранов.","Нет proof, что ключевые экраны сверстаны и связаны с backend на рабочем пути.","Сначала связать offer, order, question, answer, support с backend/content/QA.","Антон + Игорь + PM","frontend-screen-backend-content-gate.html; screen-backend-content-control.html"
"REQ04","Trello и план июня","Желтый","Есть снимок Trello, план июня, правило не менять названия без команды, факт-статусы.","Не все карточки имеют внедренный результат и proof-ссылку.","После каждого результата вставлять Blue Panel proof в карточку, не перетирая постановку.","PM/Codex","trello-current-source-snapshot.html; june-card-fact-readiness.html; june-execution-control.html"
"REQ05","Blue Panel как инфраструктура контроля","Зеленый","Главная панель, страница для Алексея, индекс покрытия, автономность PM, аудит ссылок опубликованы.","Нужно поддерживать актуальность после новых фактов.","Каждый новый proof публиковать и проверять внешний доступ.","PM/Codex","index.html; alexey-master-plan.html; pm-launch-coverage-index.html; pm-autonomous-workstream.html; stakeholder-link-audit.html"
"REQ06","Документы, legal, policy, disclaimer, checkout","Желтый","PM-пакет public docs и checkout wording подготовлен.","Финал зависит от seller/payment/descriptor/refund/geography/legal review.","Держать HTML-ready пакет без финальной публикации до legal/payment gate.","PM + founder/legal","legal-public-docs-checkout-pack.html"
"REQ07","Обучение и школа экспертов","Желтый","Материалы обучения, школа v1, регламент и gate допуска собраны.","Нет ревизии Ксении и фактических результатов обучения первых экспертов.","Провести ревизию и проверить пробные ответы.","PM + Ксения","expert-training-materials-register.html; first-five-expert-admission-gate.html"
"REQ08","Первые 5 экспертов","Красный","Есть gate и журнал допуска.","Нет заполненного допуска каждого эксперта: тест, пробный ответ, SLA, ручное решение.","Заполнить статус готов/доработка/не допущен по каждому из 5 экспертов.","PM + Ксения","first-five-expert-admission-gate.html"
"REQ09","Экспертский/агентский контур","Красный","Workspace handoff и PF05-PF07 proof register подготовлены.","Не доказано, что исполнитель получает задачу и отвечает внутри системы.","Проверить workspace на контрольном заказе.","Игорь + QA","expert-runtime-proof-register.html; expert-agent-workspace-handoff.html"
"REQ10","Клиентский путь платной консультации","Красный","PF00-PF12 и test order route описаны.","Нет фактического прохода offer -> checkout -> question -> answer -> support/follow-up.","После READY gate провести безопасный контрольный заказ.","Игорь + QA + PM","runtime-proof-master-register.html; test-order-readiness-gate.html"
"REQ11","Админка и операционная видимость","Красный","Admin control gate и backend/admin maps подготовлены.","Нет скриншотов/логов, что админ видит весь заказ без ручного поиска.","Показать order, question, assignment, events, support в admin route.","Игорь + QA","admin-control-order-gate.html"
"REQ12","Support, тикеты, просрочки, возвраты","Красный","Failure states и support gate описаны.","Нет runtime support-case, связанного с order/session/chat/expert.","Включить один problem state в контрольный заказ.","Игорь + QA + Support","support-failure-state-gate.html"
"REQ13","Email, уведомления, рассылки, no-send","Желтый","События и no-send gate подготовлены.","Нет no-send event log на тестовом заказе.","Проверить order/question/assignment/answer/support/follow-up events.","Игорь + QA","notification-event-nosend-gate.html"
"REQ14","QA перед трафиком","Красный","QA brief, public report shell и proof naming есть.","Нет PASS/WARN/STOP по рабочему сайту.","После READY от Игоря запустить QA и опубликовать отчет.","QA + PM","qa-test-order-execution-brief.html; test-order-runtime-public-report-shell.html"
"REQ15","Маркетинг, экономика, первый трафик и запуск","Красный","Go/no-go, capacity/economy gate и CAC/LTV preflight есть.","Нет QA PASS, capacity proof, legal/payment решений и фактической экономики.","Готовить материалы, но не покупать трафик до runtime proof.","PM + founder","first-traffic-capacity-economy-gate.html"
"REQ16","Классификация красный/желтый/зеленый","Зеленый","Светофор есть в readiness, coverage, objective audit, autonomy matrix.","Статусы должны обновляться только по фактам.","После каждого runtime proof пересчитывать связанные страницы.","PM/Codex","launch-readiness-master-control.html; pm-launch-coverage-index.html"
"REQ17","Пробелы, блокеры и владельцы","Зеленый","Есть owner map, team queue, handoff queue, autonomy boundaries.","Красные блокеры остаются до external/runtime proof.","Двигаться по current next action board.","PM/Codex + owners","red-blockers-owner-map.html; team-action-queue.html; pm-autonomous-workstream.html"
"REQ18","Понятный мастер-план с proof-ссылками и next steps","Зеленый","Есть страница для Алексея, план июня, индекс покрытия, очереди и проверенные ссылки.","После runtime QA нужно обновить месяцы, Trello-факт и go/no-go.","Использовать мастер-план как основу разговора с Заказчиком.","PM/Codex","alexey-master-plan.html; june-execution-control.html; pm-launch-coverage-index.html"
"REQ19","Автономная работа PM","Зеленый","Матрица автономности показывает, что PM закрывает сам, что готовит для команды и где нужен внешний proof.","Автономность не заменяет действия Игоря, QA, Ксении и решений основателя.","Продолжать автономно по желтым PM-пакетам, не закрывая красный runtime без фактов.","PM/Codex","pm-autonomous-workstream.html"
