"priority","template_key","event_name","condition_id","delay","missing_variables","implementation_task"
"P1","chat_sla_delay","message.answer_delayed","0","0","answerDueAt, chatUrl, consultationId, legalMerchantName, privacyUrl, refundPolicyUrl, siteName, siteUrl, supportCaseId, supportCaseUrl, termsUrl, updatedAnswerEta, userName","Добавить event/trigger/queue-binding или согласовать замену на существующее событие. После этого передать missing_variables в render context."
"P1","paid_chat_no_message_reminder","message.no_first_chat_message","5","2","chatUrl, legalMerchantName, orderId, privacyUrl, refundPolicyUrl, siteName, siteUrl, supportUrl, termsUrl, userName","Добавить event/trigger/queue-binding или согласовать замену на существующее событие. После этого передать missing_variables в render context."
"P1","refund_case_update","payment.refund.update","0","0","legalMerchantName, privacyUrl, refundPolicyUrl, siteName, siteUrl, supportCaseId, supportCaseUrl, supportUpdatedAt, termsUrl, userName","Добавить event/trigger/queue-binding или согласовать замену на существующее событие. После этого передать missing_variables в render context."
"P1","review_request","review.request","0","24","emailPreferencesUrl, legalMerchantName, privacyUrl, refundPolicyUrl, reviewUrl, siteName, siteUrl, termsUrl, unsubscribeUrl, userName","Добавить event/trigger/queue-binding или согласовать замену на существующее событие. После этого передать missing_variables в render context."
"P1","security_change_alert","security.security_change","0","0","accountSecurityUrl, legalMerchantName, privacyUrl, refundPolicyUrl, securityChangedAt, siteName, siteUrl, supportEmail, termsUrl, userName","Добавить event/trigger/queue-binding или согласовать замену на существующее событие. После этого передать missing_variables в render context."
"P1","safety_notice","support.safety_notice","0","0","legalMerchantName, privacyUrl, refundPolicyUrl, siteName, siteUrl, supportEmail, supportUrl, termsUrl, userName","Добавить event/trigger/queue-binding или согласовать замену на существующее событие. После этого передать missing_variables в render context."
"P1","support_ticket_opened","support.ticket.opened","0","0","legalMerchantName, privacyUrl, refundPolicyUrl, siteName, siteUrl, supportCaseId, supportCaseUrl, supportEmail, termsUrl, userName","Добавить event/trigger/queue-binding или согласовать замену на существующее событие. После этого передать missing_variables в render context."
"P1","minor_or_age_restriction_notice","user.age_restricted","0","0","legalMerchantName, privacyUrl, refundPolicyUrl, siteName, siteUrl, supportEmail, supportUrl, termsUrl, userName","Добавить event/trigger/queue-binding или согласовать замену на существующее событие. После этого передать missing_variables в render context."
"P1","password_reset","user.password_recovery","0","0","legalMerchantName, privacyUrl, refundPolicyUrl, resetExpiresAt, resetUrl, siteName, siteUrl, supportEmail, termsUrl, userName","Добавить event/trigger/queue-binding или согласовать замену на существующее событие. После этого передать missing_variables в render context."
"P2","same_advisor_followup_offer","advisor.followup.offer","0","72","advisorName, chatUrl, emailPreferencesUrl, followupOfferUrl, legalMerchantName, privacyUrl, refundPolicyUrl, siteName, siteUrl, termsUrl, unsubscribeUrl, userName","Добавить event/trigger/queue-binding или согласовать замену на существующее событие. После этого передать missing_variables в render context."
"P2","d2_chat_reflection","message.chat_saved","0","48","chatUrl, emailPreferencesUrl, legalMerchantName, privacyUrl, refundPolicyUrl, siteName, siteUrl, termsUrl, unsubscribeUrl, userName","Добавить event/trigger/queue-binding или согласовать замену на существующее событие. После этого передать missing_variables в render context."
