"Event","Why","Recipient","Visible","Proof","Status","Next"
"order created","client confirmation/admin visibility","client/admin","order id, amount/test mode, service, created status","event screenshot + email preview","red","run safe test order"
"question accepted","client knows question entered workflow","client/admin","question id/text, order id, topic, timestamp","event log screenshot","red","check question binding"
"expert assigned","performer receives task","expert/agent/admin","assignee, profile, deadline, order id","no-send assignment event screenshot","red","assign test expert"
"expert opened task","admin knows performer saw order","admin/ops","viewed/accepted state, performer, timestamp","status/log screenshot","red","check workspace state"
"deadline warning","prevent overdue before complaint","expert/admin","deadline warning, remaining time, order id","preview/log screenshot","yellow","confirm reminder MVP scope"
"answer sent","client receives consultation result","client/admin","answer id, author, timestamp, delivery status","no-send preview + order card","red","send trial answer"
"order completed","final order state","client/admin","closed/completed status, order id, outcome","final event screenshot","red","close test order"
"support case created","problem becomes managed case","support/admin/client","case id, order id, reason, owner","support case event screenshot","red","create problem state"
"support case resolved","client receives resolution status","client/support","resolution type, owner, comment, no-send preview","resolution event screenshot","red","close test case"
"refund/credit review","money decision process","support/PM/founder","review status, owner, reason, no real refund flag","review event without real refund","red","approve refund/credit policy"
