"ID","Block","Status","Owner","What","Accept","Proof"
"EP01","Паспорт эксперта","red","PM","Код, имя, роль, язык, часовой пояс, специализация, контакт, анкета/profile_id.","Понятно, кто работает, под какой ролью и каким профилем.","Строка в журнале допуска."
"EP02","Выдача школы v1 и регламента","red","PM","Ссылка/скрин выдачи материалов, дата, версия, список модулей.","Эксперт получил актуальную версию школы и регламента.","Отметка выдачи в журнале."
"EP03","Подтверждение прохождения","red","Эксперт + PM","Форма/отметка, что эксперт прошел материалы.","Нет устного “прочитал”; есть фиксированный факт прохождения.","Скрин/форма/отметка."
"EP04","Тест правил и безопасности","red","PM + Ксения reviewer","SLA, границы сервиса, запреты, escalation, dangerous wording.","Нет критичных ошибок; проходной результат зафиксирован.","Результат теста."
"EP05","Пробный ответ","red","Эксперт","Ответ на тестовый клиентский кейс с marker.","Ответ персональный, структурный, безопасный, с next step.","Текст ответа."
"EP06","Оценка качества ответа","red","PM / Answer Quality","Scorecard: эмпатия, персонализация, структура, ясность, безопасность, next step.","Verdict ready / minor fixes / blocked с причиной.","Заполненный scorecard."
"EP07","SLA и график","red","PM + эксперт","Доступность, максимальное время ответа, дневной лимит, что делать при просрочке.","Можно рассчитать безопасную capacity и escalation.","SLA-поля в журнале."
"EP08","Support/failure понимание","red","PM + Ксения reviewer","Сценарии: жалоба, просрочка, опасный запрос, конфликт, refund/escalation.","Эксперт знает, когда отвечать, когда остановиться и когда эскалировать.","Сценарный мини-тест/feedback."
"EP09","Решение PM о допуске","red","PM","Допущен / условно для test order / доработка / не допущен; дата и причина.","Есть явный verdict по каждому эксперту.","Журнал допуска."
"EP10","Привязка к test order роли","red","PM + Игорь + QA","Роль, доступ, profile_id/anketa_id, workspace, назначение в контрольный заказ.","QA знает, кого проверять; исполнитель видит задачу.","Скрин/лог assignment/workspace."
