ID,Экран,Что обязательно связать,Что сейчас известно,Следующий контракт,Статус,Связка
SCR01,Главная / оффер,"CTA; service promise; trust; FAQ; route to order",Дизайн-источники и контентные заготовки есть runtime CTA не доказан,Offer screen contract,частично,page-content-backend-readiness-map-2026-06-06.html
SCR02,Выбор услуги и цены,"service_id; package_id; price; SLA; что входит",Модель известна order draft не доказан,Pricing/order contract,нет proof,paid-client-flow-proof-contract-2026-06-06.html
SCR03,Checkout/consent,"Цена; terms; refund; disclaimer; payment/safe order",Trust/checkout пакет готов как PM approval gate открыт,Checkout screen contract,gate,public-docs-checkout-trust-proof-contract-2026-06-06.html
SCR04,Форма вопроса,"question_id; order_id; подсказки; ограничения; validation",Критичный gap без binding ломается paid-flow,Question screen contract,нет binding,paid-client-flow-proof-contract-2026-06-06.html
SCR05,Статус заказа,"SLA; ожидание; support; overdue; owner",SLA требование есть runtime status screen не доказан,Order status contract,нет proof,admin-operational-visibility-proof-contract-2026-06-06.html
SCR06,Ответ в кабинете клиента,"answer_id; transcript; repeat CTA; support/report issue",Ответ runtime не доказан,Answer view contract,нет answer,expert-runtime-proof-register.html
SCR07,Рабочее место эксперта,"assignment; question; SLA; answer form; rules; earnings preview",Handoff есть E01/runtime нет,Expert workspace contract,пакет,expert-agent-workspace-handoff.html
SCR08,Очередь админки,order/question/expert/SLA/support/analytics в одной картине,Admin proof contract есть runtime queue не доказан,Admin queue contract,нет runtime,admin-operational-visibility-proof-contract-2026-06-06.html
SCR09,Support case,"problem reason; owner; decision; refund handoff; client message",Support proof нужен на одном order_id,Support screen contract,нет case,communications-support-analytics-execution-board-2026-06-06.html
SCR10,Email/no-send preview,"event_id; template; variables; recipient; external_send=false",Email-пакет есть order-bound no-send proof нет,Notification preview contract,нет event,communications-support-analytics-execution-board-2026-06-06.html
SCR11,Документы/FAQ,"Terms; Privacy; Refund; disclaimer; FAQ; footer links",PM может готовить HTML-ready approval gate открыт,Docs screen contract,gate,public-docs-checkout-trust-proof-contract-2026-06-06.html
SCR12,Аналитика заказа,source/session/order/value/service/expert/support/repeat,Purchase analytics proof не получен,Analytics screen/report contract,нет row,purchase-analytics-proof-acceptance-board.html
