Работа,Плановый результат,Как засчитывать,Текущий proof,Если не закрыто,Следующий шаг,Статус на 06.06
Email уведомления и рассылки,"Пакет событий шаблонов переменных и no-send проверки","Пакет готов + no-send proof на safe order",communications-support-analytics-execution-board-2026-06-06.html,"Нет runtime no-send proof","Ждать R01/QA и принять event proof","пакет есть/runtime нет"
Чат и рабочее место эксперта,"Пакет для Игоря по задаче вопросу статусам ответу начислениям","Пакет готов + назначение/ответ в контрольном заказе",expert-agent-workspace-handoff.html,"Нет факта работы эксперта на заказе","Проверить на R01 + QA","пакет есть/proof нет"
Школа и допуск первых 5 экспертов,"Школа v1 критерии допуска журнал E01-E05","Accepted E01 для QA и E01-E05 перед трафиком",first-five-expert-admission-execution-board-2026-06-06.html,"0/5 accepted","Получить R02 от Ксении/E01","0/5 accepted"
Регламент работы экспертов,"Регламент v1 scorecard правила качества/SLA/эскалаций","Документ опубликован + применен к пробному ответу",expert-work-regulation-v1.html,"Нет proof применения к E01","Применить scorecard к пробному ответу","документ есть/применение нет"
Backend и админка контрольного заказа,"Safe order proof: order question session performer answer events support","Accepted R01 от Игоря",first-two-proof-response-capture-sheet-2026-06-06.html,"Ответ еще не получен","Получить R01 и классифицировать","pending R01"
Путь клиента и экраны Nebula/Oracle,"Карта экран backend-функция текст ошибки QA proof","Screen contract accepted + связан с контрольным заказом",page-content-backend-readiness-map-2026-06-06.html,"Не все состояния подтверждены runtime","Сверить paid flow после R01/QA","карта есть/runtime нет"
Support и проблемные ситуации,"Проблемный заказ владелец статус решение закрытие refund review path","support_case_id + closure proof по safe order",support-problem-control-order-capture-sheet-2026-06-06.html,"Нет support runtime proof","Проверить в R01/QA","runtime нет"
Документы и checkout,"HTML-ready пакет и список мест размещения","Пакет готов + founder/legal/payment approval",public-docs-checkout-execution-board-2026-06-06.html,"Нет legal/payment/founder decisions","Держать gate до решений","founder gate"
QA перед рекламой,"QA-runbook и отчет PASS/WARN/STOP","QA report опубликован после READY",prelaunch-qa-runbook-2026-06-06.html,"QA не может стартовать без R01/R02","Запустить после READY","ждет READY"
Маркетинг и первый трафик,"Preflight офферы UTM daily report лимиты stop-сигналы","Пакет готов; запуск после QA/capacity/docs/analytics proof",first-traffic-execution-board-2026-06-06.html,"Бюджет рекламы 0","Готовить материалы не запускать","traffic stop"
PM-панель и управление задачами,"Blue Panel светофор июньский план proof-ссылки Trello без переименования","Страницы опубликованы и связаны",launch-layer-readiness-map-2026-06-06.html,"Требует регулярного обновления","Вести daily/weekly cycle","собрано"
Стандарт передачи работ команде,"Задача смысл макет/страница backend-связь acceptance criteria QA-документ","Для каждой передаваемой задачи есть co2p-пакет",co2p-runtime-implementation-handoff-index.html,"Нужно применять к каждой задаче","Держать как стандарт передачи","стандарт есть/применять"
