"id","area","status","owner","proof","ready","missing","next"
"M01","Запрет внешнего paid traffic до QA","red","PM + основатель","qa-test-order-execution-brief.html","Есть правило go/no-go и stop-сигналы.","Нет QA PASS/WARN/STOP по контрольному заказу.","Не покупать трафик до safe test order и QA verdict."
"M02","Оффер первой покупки","yellow","PM + Антон","co2p-legal-checkout-public-docs.html","Описана разовая консультация, срок ответа, формат результата и disclosure.","Нужна финальная связка LP/checkout/email и legal/payment decisions.","Собрать один основной offer pack: цена, срок, формат, FAQ, ограничения, CTA."
"M03","LTV/CAC модель первого теста","yellow","PM + основатель","first-sales-economics.html","Определены CAC, первый чек, маржа, refund/dispute, repeat 7/14/30.","Нет фактических оплат, расхода, repeat и refund данных.","До теста задать таблицу, после теста считать только по фактам."
"M04","Capacity первых 5 экспертов","red","PM + Ксения + Игорь","first-five-expert-admission-journal.html","Есть школа v1 и журнал допуска.","Нет допуска 5 экспертов и доказанной дневной мощности.","До рекламы определить дневной лимит заявок и SLA по реальным экспертам."
"M05","События и аналитика покупки","red","Игорь + QA","events-notifications-launch-control.html","События и no-send подход подготовлены.","Нет purchase event с value/currency/order/session/source на test order.","Снять event log на safe test order."
"M06","Support/refund readiness","red","Игорь + QA + PM","support-problem-acceptance-matrix.html","Problem states описаны.","Нет support case на контрольном заказе.","Смоделировать просрочку или плохой ответ до трафика."
"M07","Email и retention","yellow","PM + Игорь","email-notifications-handoff.html","Transactional/retention события и шаблоны подготовлены.","Нет no-send proof и consent/отписки для маркетинговых писем.","Разделить service emails и marketing emails, проверить no-send."
"M08","TikTok как канал","yellow","PM","https://ads.tiktok.com/help/article/tiktok-ads-policy-other-products-and-services?lang=en","Официальная policy допускает horoscope/fortune-telling в US/UK при условиях, но запрещает exact predictions/guaranteed outcomes/definitive solutions.","Нет конкретных креативов и LP preflight под policy.","Готовить креативы без гарантий результата, “точных предсказаний” и окончательных решений личных ситуаций."
"M09","Google Ads как канал","yellow","PM","https://support.google.com/adspolicy/answer/143465?hl=en","Есть official personalized advertising policy по sensitive interests/personal hardships.","Нет keyword/creative/landing preflight.","Не использовать персонализированные claims вокруг одиночества, расставаний, кризиса, здоровья, религии или личных трудностей."
"M10","Influencers/UGC/размещения","yellow","PM + основатель","https://www.ftc.gov/business-guidance/advertising-marketing/endorsements-influencers-reviews","FTC guidance по endorsements/reviews зафиксирована.","Нет whitelist, disclosure template, запрета fake reviews и brief для Ксении/инфлюенсеров.","Подготовить influencer brief: honest review, paid/gift disclosure, no fake testimonials."
"M11","Подписка и negative option","yellow","PM + founder/legal","https://www.ftc.gov/node/86541","Понимаем риск скрытых подписок; стартовая рекомендация — разовая покупка.","Нет subscription checkout/cancel flow, поэтому подписку не запускать.","Если подписка появится позже: upfront terms, consent, easy cancellation."
"M12","SEO/контент/авторитетные размещения","yellow","PM + Ксения","strategy-board.html","Можно готовить без трафика: FAQ, статьи, explainers, партнерские публикации, trust content.","Нет контент-календаря, списка площадок и связки с оффером.","После offer pack собрать 10 тем и 10 площадок/каталогов для безопасного organic/PR размещения."
"M13","Отчет первого рекламного теста","yellow","PM","pm-daily-operating-cycle.html","Есть daily PM-cycle и report standard.","Нет шаблона итогового traffic report с spend, orders, CAC, refund, SLA, repeat.","Подготовить шаблон отчета до запуска первого трафика."
