"case","status","owner","must","proven","missing","next","proof"
"Эксперт не ответил в срок","red","Support / админ / supervisor","Система показывает просрочку, support видит заказ, вопрос, исполнителя, обещанный срок и может эскалировать или переназначить.","Просрочка выделена в support, admin, events и expert-картах.","Нет runtime proof overdue state и тикета по test order.","Смоделировать просрочку на test order: очередь, уведомление, ticket, решение.","support-refund-readiness.html|admin-operations-control-map.html|events-notifications-launch-control.html"
"Ответ плохого качества","red","Support / PM / Ксения как ревизор","Плохой ответ проверяется по quality rubric, фиксируется решение: доработка, компенсация, замечание, ограничение видимости.","Есть экспертский регламент и quality moderation.","Нет proof оценки реального/тестового ответа и последствия для эксперта.","Оценить 1 тестовый плохой ответ по рубрике и создать support decision.","expert-quality-moderation.html|first-five-experts-launch-control.html|support-refund-readiness.html"
"Платеж прошел, услуга не создана","red","Support / Игорь / админ","Support видит payment/order, отсутствие consultation/session, вручную запускает услугу или фиксирует решение.","Order/payment база найдена; test payment сценарий описан.","Нет proof failure state payment success without session.","В test mode создать состояние “заказ есть, consultation не создана” и проверить обработку.","backend-code-evidence-map.html|paid-consultation-launch-control.html"
"Оплата не прошла или зависла","red","Support / админ","Клиент получает понятный статус; эксперт не получает задачу; support видит failed/pending/canceled.","Failure states зафиксированы в paid flow и events map.","Нет proof failed/pending/canceled статусов и уведомлений.","Проверить 3 payment states без реального списания и без создания работы эксперту.","paid-consultation-test-flow.html|events-notifications-launch-control.html"
"Клиент оплатил, но не написал вопрос","red","Support / админ","Заказ попадает в очередь “без вопроса”, клиент получает no-send reminder, support видит следующий шаг.","Сценарий выделен в admin/events maps.","Нет proof очереди и напоминания.","На test order проверить статус “ожидает вопроса” и reminder preview.","admin-operations-control-map.html|events-notifications-launch-control.html"
"Чат завис или сообщение не доставлено","red","Support / Игорь","Support видит статус сообщения, ошибку, участников, связанную консультацию и может повторить/эскалировать.","Messages/chat база найдена; admin chat workspace есть.","Нет proof failed message state внутри paid consultation.","Проверить sending/sent/failed состояния сообщения в test consultation.","backend-code-evidence-map.html|admin-operations-control-map.html"
"Клиент просит возврат или компенсацию","red","Support / админ / founder/legal gate","Запрос связан с заказом, оплатой, чатом, причиной, сроком, решением и no-send уведомлением клиенту.","Операционный refund path описан, но legal/payment decisions отложены.","Нет proof refund review карточки и решения без реального движения денег.","Создать test refund review: approved/declined/credit/manual review без реального refund.","support-refund-readiness.html|co2p-support-refund-service-session.html|legal-docs-readiness.html"
"Попытка увести клиента вне платформы","yellow","Модератор / админ","Сообщение флагируется, проверяется модератором, влияет на видимость, предупреждение или бан.","Report/Block/Ban база найдена в backend/admin.","Нет proof связи нарушения с paid consultation и санкцией эксперту.","Смоделировать flagged message и решение: warning/hide/ban.","backend-code-evidence-map.html|confideline-admin-route-evidence-map.html"
"Клиент не может войти после оплаты","red","Support / админ","Support видит аккаунт, email, последние письма, связанный заказ и может восстановить доступ.","Auth/user/email база есть.","Нет support route “access issue linked to paid order”.","Проверить сценарий: клиент не вошел, support находит заказ и отправляет no-send recovery.","client-journey-readiness-map.html|email-notifications-handoff.html"
"Email/уведомление не сформировалось","yellow","Support / Игорь / QA","Ошибка видна в журнале, есть повтор/ручное действие, клиент или эксперт не остаются без статуса.","Notification/email база и no-send approach есть.","Нет proof failed notification log на test order.","Смоделировать ошибку шаблона/переменной и проверить лог/повтор.","events-notifications-launch-control.html|email-notifications-handoff.html"
"Решение влияет на эксперта","red","PM / админ / финансы","Support decision меняет качество, видимость, обучение, начисление или удержание исполнителя.","Quality/compensation пакеты есть.","Нет proof связи support decision -> quality/compensation.","На test case плохого ответа показать remark + hold/adjustment без реальной выплаты.","expert-agent-compensation.html|first-five-experts-launch-control.html"
"Support dashboard и отчет PM","red","PM / support lead","PM видит количество обращений, причины, решения, возвраты, влияние на экспертов и запусковый риск.","Events/admin/marketing карты требуют dashboard.","Нет фактического отчета по support на test order.","После problem scenarios собрать PASS/WARN/STOP support report.","pre-traffic-paid-consultation-control.html|admin-operations-control-map.html"
