"id","layer","status","owner","pm","proof","source","trigger","output","link"
"E01","Backend Confideline / админка","red","Игорь + PM","Подготовить acceptance criteria, тестовый сценарий и список обязательных скринов.","Order id, session id, question id, assignment, workspace, event log, support case на одном тестовом заказе.","Confideline admin runtime, screenshots/logs","После подтверждения safe test mode и no-send.","QA-ready backend proof page","igor-test-order-acceptance-contract.html"
"E02","Frontend Oracle/Nebula","yellow","PM + Антон + Игорь","Свести каждый ключевой экран с backend-функцией, контентом, ошибочными состояниями и QA-критерием.","Для экрана есть макет/верстка, связанная backend-функция, текст, пустое/ошибочное состояние и проверка.","Figma/Oracle/Nebula design, implemented pages, screen map","Параллельно с контрольным заказом, начиная с checkout/question/chat/result.","Screen contract per scenario","screen-backend-content-control.html"
"E03","Trello и задачи месяца","yellow","PM","Сохранять текущие названия карточек, фиксировать факт выполнения, не подменять постановку результатом.","В карточке есть исходная постановка, результат, ссылка Blue Panel, статус и при необходимости комментарий причины остановки.","Trello board План на июнь","После фактического результата по карточке.","Trello result link + Blue Panel proof","trello-june-fact-status.html"
"E04","Документы и checkout wording","yellow","PM + основатель/legal","Подготовить HTML-ready документы, дисклеймеры, refund wording, места показа и переменные.","HTML-ready пакет готов к ревизии, но помечен как не финальный до legal/payment решений.","Local docs package, checkout/public pages","До публикации LP/checkout, но без финального включения.","Legal/public docs package","co2p-legal-checkout-public-docs.html"
"E05","Обучение и школа экспертов","yellow","PM + Ксения","Собрать программу, регламент, тестовые кейсы, задачу Ксении и критерии проверки.","Материалы извлечены, уроки привязаны к программе, Ксения дала ревизию, есть правки.","Trello обучение, extracted lessons, school pack","До допуска первых 5 экспертов.","Expert school v1 review result","expert-school-v1-operational-pack.html"
"E06","Первые 5 экспертов","red","PM + Ксения","Подготовить журнал допуска и единый тестовый кейс для пробного ответа.","По каждому эксперту: тест, пробный ответ, оценка качества, SLA, решение готов/доработка/не допущен.","Admission journal, expert answers, Ksenia review","После готовности школы v1.","Filled first-five admission journal","first-five-expert-admission-journal.html"
"E07","Рабочее место эксперта/агента","red","Игорь + QA + PM","Зафиксировать минимальный набор полей и действий рабочего места.","Исполнитель видит задачу, срок, вопрос, контекст, чат, ответ, статус, начисление/preview.","Confideline admin role workspace runtime","Во время контрольного заказа.","Workspace runtime proof","expert-agent-workspace-handoff.html"
"E08","Клиентский путь","red","QA + PM + Игорь","Подготовить сценарий клиента, ожидаемые экраны, тексты и failure states.","Скрины и лог пути: оффер, safe checkout, вопрос, ожидание, ответ, support/follow-up.","Runtime browser QA session","После READY gate.","Public QA PASS/WARN/STOP report","qa-test-order-execution-brief.html"
"E09","Support и проблемные ситуации","red","Игорь + QA + PM","Выбрать один безопасный problem state и критерии приемки.","Support case связан с order/session/chat/expert, имеет статус, решение и no-send event.","Support/admin runtime","В рамках контрольного заказа.","Failure-state proof block in QA report","support-refund-launch-control.html"
"E10","Email, события, уведомления","yellow","Игорь + QA + PM","Список событий, получателей, preview, suppression и ошибок уже держать готовым.","No-send event log на одном тестовом заказе: order, question, assignment, deadline, answer, support, follow-up.","Event log / email preview / no-send mode","Во время контрольного заказа, без реальной отправки.","No-send event proof matrix filled","nosend-event-proof-matrix.html"
"E11","QA перед трафиком","red","QA + PM","Подготовить brief, evidence naming, публичную страницу отчета и критерии PASS/WARN/STOP.","Опубликованный QA report с verdict и скринами.","Runtime QA result","После снятия STOP gate.","Runtime QA report","test-order-runtime-public-report-shell.html"
"E12","Маркетинг и первый трафик","red","PM + основатель","Подготовить go/no-go критерии, stop-сигналы, гипотезы офферов, CAC/LTV поля.","QA PASS/WARN, capacity 5 экспертов, legal/payment gate, support readiness, расчет допустимого теста.","QA report, expert capacity, legal/payment decisions","Только после контрольного заказа и QA.","First traffic go/no-go decision","co2p-marketing-first-traffic-gonogo.html"
"E13","Blue Panel и proof-публикация","green","PM","Создавать human-readable page + CSV, проверять внутренние ссылки, публиковать на GitHub Pages.","Страница открывается публично, CSV доступен, аудит ссылок 0 ошибок.","Local Blue Panel + GitHub Pages","После каждого завершенного PM-пакета.","Public proof URL","blue-panel-link-audit.html"
"E14","Мастер-план и светофор","green","PM","Синхронизировать для Алексея, план июня, readiness, proof ledger и матрицу цели.","Одинаковая логика статусов на ключевых страницах, без противоречий “готово” vs “не доказано”.","Blue Panel pages","После каждого нового proof или изменения Trello.","Updated launch readiness snapshot","launch-readiness-master-control.html"
