Карточка;Состояние запуска;Зачем в июне;PM делает сам;Нужен вход от команды;Что будет доказанным результатом;Следующее действие;Blue Panel;Trello
JUN-01 Codex plan;желтый - процесс ведется;Держать план proof Blue Panel и Trello-связку;Обновлять Blue Panel и короткий план;Факты от команды когда влияют на статус;Ссылки на результат статус и следующий владелец;Использовать страницу PM-контроля без переименования карточек;pm-daily-control-room.html;https://trello.com/c/gJnFd2wT/298-codex-plan
JUN-02 Прогнать все макеты готовых ТЗ через Codex;желтый - разбор нужен;Отделить готовые ТЗ от устаревших;Классифицировать наработки;Подтверждения Антона/Игоря по экранам и backend если нужно;Реестр со статусом владельцем ссылкой и решением;Добить triage готовых ТЗ;jun-02-ready-tz-triage.html;https://trello.com/c/awgleR9M/290-%D0%BF%D1%80%D0%BE%D0%B3%D0%BD%D0%B0%D1%82%D1%8C-%D0%B2%D1%81%D0%B5-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82%D1%8B-%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D1%8B%D1%85-%D1%82%D0%B7-%D1%87%D0%B5%D1%80%D0%B5%D0%B7-codex
JUN-03 Email tempates;красный - не доказано на заказе;Без уведомлений и no-send нельзя безопасно тестировать;Поддерживать карту событий и шаблонов;Игорь показывает event log/no-send QA проверяет;Есть event recipient template preview status no-send proof;Включить no-send в запрос Игорю и QA;notification-nosend-proof-acceptance-board.html;https://trello.com/c/e8aFOO8G/299-email-tempates
JUN-04 Регламент Nebula/PbExpert;желтый - нужна ревизия;Единый стандарт ответа SLA запретов продаж;Собрать и связать регламент с допуском;Ксения ревизор эксперты подтверждают пробным ответом;Регламент принят и минимум один эксперт проверен;Связать с журналом допуска;expert-work-regulation-v1.html;https://trello.com/c/oZYN15XV/292-%D0%BE%D0%BF%D0%B8%D1%81%D0%B0%D1%82%D1%8C-%D1%80%D0%B5%D0%B3%D0%BB%D0%B0%D0%BC%D0%B5%D0%BD%D1%82-%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%8B-%D0%BD%D0%B0-%D0%BE%D1%81%D0%BD%D0%BE%D0%B2%D0%B5-nebula-pbexpert
JUN-05 Продумать ЗП для сотрудников;желтый - ждет решений;Управление мотивацией и качеством первых продаж;Подготовить варианты риски формулы;Основатель утверждает ставки валюту период выплаты удержания;Утвержденная модель для админки и тестового заказа;Держать как founder-decision gate;founder-compensation-decisions.html;https://trello.com/c/bNsEmcDz/291-%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BC%D0%B0%D1%82%D1%8C-%D0%B7%D0%BF-%D0%B4%D0%BB%D1%8F-%D1%81%D0%BE%D1%82%D1%80%D1%83%D0%B4%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2
JUN-06 Школа экспертов для первых 5 экспертов;красный - 0 из 5 доказано;Для QA нужен минимум один эксперт для трафика все пять;Поддерживать школу тест scorecard журнал;Ксения/эксперты дают факты прохождения;По E01-E05 есть статус и причина;Принять ответ Ксении через proof-inbox;expert-admission-proof-acceptance-board.html;https://trello.com/c/36nRKvdb/302-%D1%88%D0%BA%D0%BE%D0%BB%D0%B0-%D1%8D%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D1%82%D0%BE%D0%B2-%D0%B4%D0%BB%D1%8F-%D0%BF%D0%B5%D1%80%D0%B2%D1%8B%D1%85-5-%D1%8D%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D1%82%D0%BE%D0%B2
JUN-07 Пакет рабочего места эксперта и агента в админке;красный - runtime не доказан;Исполнитель должен получить заказ и ответить;Держать требования сценарий acceptance criteria;Игорь показывает связь заказа вопроса исполнителя ответа;Safe order проходит через workspace и админку;Принять ответ Игоря только с proof;expert-runtime-proof-register.html;https://trello.com/c/bRjDaHwL/303-%D0%BF%D0%B0%D0%BA%D0%B5%D1%82-%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B5%D0%B3%D0%BE-%D0%BC%D0%B5%D1%81%D1%82%D0%B0-%D1%8D%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D1%82%D0%B0-%D0%B8-%D0%B0%D0%B3%D0%B5%D0%BD%D1%82%D0%B0-%D0%B2-%D0%B0%D0%B4%D0%BC%D0%B8%D0%BD%D0%BA%D0%B5
JUN-08 Проверка страниц и функций перед запуском рекламы;красный - реклама запрещена;Доказать путь до трафика;Поддерживать экранный реестр QA brief failure states;Игорь дает READY QA проходит заказ Антон закрывает экраны;Публичный QA отчет PASS/WARN/STOP;Не запускать QA до READY рекламу до verdict;qa-start-readiness-checklist.html;https://trello.com/c/A4zqo2EI/304-%D0%BF%D1%80%D0%BE%D0%B2%D0%B5%D1%80%D0%BA%D0%B0-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86-%D0%B8-%D1%84%D1%83%D0%BD%D0%BA%D1%86%D0%B8%D0%B9-%D0%BF%D0%B5%D1%80%D0%B5%D0%B4-%D0%B7%D0%B0%D0%BF%D1%83%D1%81%D0%BA%D0%BE%D0%BC-%D1%80%D0%B5%D0%BA%D0%BB%D0%B0%D0%BC%D1%8B
JUN-UX Работа с Антоном / дизайн;желтый - параллельный контур;Фронт должен соответствовать paid-flow доверию и backend;Формировать сценарные правки;Антон дает обновленные макеты;Screen contract по ключевым экранам;Вести параллельно не как замену proof;anton-oracle-nebula-design-fixes.html;https://trello.com/c/rlMQoaVy/301-%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%B0-%D1%81-%D0%B0%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%BC-%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD
GEO Новый макет страны / города;серый - отдельный поток;Confideline geo не ядро Nebula;Не смешивать без решения;Нужен отдельный owner если делать;Отдельный geo-пакет;Держать отдельно;trello-current-source-snapshot.html;https://trello.com/c/PrkrhWqN/297-%D0%BD%D0%BE%D0%B2%D1%8B%D0%B9-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D1%8B-%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%B0
