"id","group","fact","required","status","owner"
"CSA-R01","Заказ","Создан безопасный тестовый заказ","test_run_id, order_id, client_id, safe/test marker, no real charge","красный","Игорь + QA"
"CSA-R02","Вопрос","Вопрос клиента привязан к заказу","question_id, order_id, session/task_id","красный","Игорь + QA"
"CSA-R03","Назначение","Эксперт/анкета назначены","performer_id/profile_id, deadline, assignment event","красный","Игорь + E01"
"CSA-R04","Ответ","Ответ эксперта создан и связан с заказом","answer_id, order_id, session/task_id, answer preview","красный","Игорь + QA"
"CSA-R05","No-send","Событие заказа не ушло наружу","event_id, template, variables, preview, external_send=false","красный","Игорь + QA"
"CSA-R06","No-send","Событие вопроса не ушло наружу","question event_id, order_id, preview, external_send=false","красный","Игорь + QA"
"CSA-R07","No-send","Событие назначения не ушло наружу","assignment event_id, performer/profile, deadline, external_send=false","красный","Игорь + QA"
"CSA-R08","No-send","Событие готового ответа не ушло наружу","answer event_id, answer_id, preview, external_send=false","красный","Игорь + QA"
"CSA-R09","Support","Создан проблемный кейс","support_case_id, order_id, reason, owner, priority","красный","Support + QA"
"CSA-R10","Support","Кейс получил решение","decision_type, decision_reason, closed_at, owner","красный","Support + PM"
"CSA-R11","Support","Решение support не ушло реальным письмом","support event_id, preview, external_send=false","красный","Игорь + QA"
"CSA-R12","Analytics","Источник связан с сессией и заказом","source, medium/campaign or source_id, session_id, client_id, order_id","красный","Игорь + PM"
"CSA-R13","Analytics","Сумма и услуга связаны с заказом","value, currency, service_id/package_id, payment_test_status","красный","Игорь + PM"
"CSA-R14","Analytics","Эксперт и support попали в аналитику","expert/profile_id, support_case_id, result/refund-risk status","красный","PM + QA"
"CSA-R15","Отчет","QA и daily report видят одну цепочку","QA report URL, daily row, proof links, PASS/WARN/STOP","красный","QA + PM"
