"Area","Status","Evidence","Link","Proven","Missing","Next"
"Публичные Terms of Service","Красный","Есть legal readiness и HTML-пакет как заготовка","legal-docs-readiness.html","Структура документа нужна и уже выделена","Юрлицо, seller, payment provider, geography, final approval","Подготовить HTML-ready Terms, но не публиковать как финальные до решений"
"Privacy Policy","Красный","Есть Privacy в макетах и legal package","legal-content-package.html","Privacy входит в обязательный пакет","Фактические категории данных, processor/provider list, cookie/analytics stack, GDPR/UK/EU/US scope","Собрать privacy inventory после выбора analytics/payment/email providers"
"Cookie/analytics consent","Красный","Events map требует UTM, analytics, conversions","events.html","Аналитика нужна до рекламы","Consent mode/cookie banner/marketing consent rule не подтверждены","Определить analytics stack и режим согласия до трафика"
"Refund Policy","Красный","Support/refund handoff и readiness описывают жалобы/возвраты","support-refund-handoff.html","Refund-сценарии определены как критичные","Refund window, reasons, decision owner, legal/payment approval","Сформировать refund rules draft и привязать к support workflow"
"Дисклеймер эзотерической услуги","Желтый","Legal docs readiness включает disclaimers","legal-docs-readiness.html","Нужен честный дисклеймер: entertainment/insight, no guarantees, no medical/legal/financial advice","Финальный текст на страницах, checkout и письмах","Разнести disclaimer по offer, checkout, FAQ, Terms и email"
"Правила рекламы и обещаний","Желтый","Marketing readiness содержит правила Meta/Google/FTC","marketing-traffic-readiness.html","Опасные обещания и давление на страх запрещены в PM-контуре","Creative review checklist и утвержденные примеры креативов","Создать чек-лист креативов и stop-words до первого теста"
"Инфлюенсеры, отзывы, testimonials","Желтый","FTC endorsements/reviews источники учтены","marketing-economics-readiness-map.html","Нужно раскрытие рекламы и запрет fake/incentivized reviews без disclosure","Disclosure шаблон, правила отзывов, запрет фейковых отзывов","Собрать influencer/review policy до UGC-кампаний"
"Checkout disclosures","Красный","Client journey и pre-traffic control требуют понятный заказ","pre-traffic-paid-consultation-control.html","Клиент должен понимать цену, формат, срок ответа, ограничения, refund до оплаты","Checkout copy, consent checkboxes, refund/disclaimer placement","Сделать checkout legal copy для test order/real order"
"Подписки и negative option","Желтый","Стратегически выбрана честная модель без скрытой подписки","first-sales-economics.html","Разовая покупка/Starter Package снижает риск скрытых списаний","Если появится subscription, нужны отдельные disclosure/consent/cancel правила","Для MVP явно зафиксировать: без скрытой подписки"
"EU/UK consumer rights","Красный","Launch geography пока не утверждена, EU/UK требуют consumer/refund/privacy учета","legal-docs-readiness.html","US-only vs US+UK/EU влияет на документы и checkout","Launch geography decision и адаптация refund/withdrawal/digital service wording","Не финализировать документы до geography decision"
"Email: сервисные и маркетинговые письма","Желтый","Email handoff разделяет события и no-send proof","email-notifications-handoff.html","Сервисные уведомления нужны до запуска","Marketing consent, unsubscribe, PECR/GDPR/US CAN-SPAM подход","Разделить transactional и marketing email в шаблонах и настройках"
"Support terms и complaint path","Желтый","Support/refund пакет описывает карточку обращения","support-refund-readiness.html","Путь жалобы нужен до рекламы","Публичная инструкция клиента: куда писать, сроки, что считается проблемой","Добавить support policy в FAQ/checkout/email"
"Эксперты и статус исполнителей","Желтый","Expert contour и workspace handoff описывают роли эксперта/агента","expert-contour-readiness-map.html","Нужно объяснить роль эксперта и платформы","Юридическая модель contractors/employees/agency, payout/tax treatment","Держать как founder/legal/payment gate до реальных выплат"
"Публикация документов на сайте","Красный","Current live Confideline legal является legacy/dating слоем, Nebula требует адаптацию","legal-content-package.html","Нужен HTML-ready пакет с переменными и правильными страницами","Final approval, routes, CMS placement, QA screenshots","Готовить пакет, затем передать Игорю и проверить live pages"
