Очередь;Работа;Кто ведет;Что должно получиться;Почему сейчас;Статус;Ссылка
1;Проверить и актуализировать текущие июньские карточки Trello без переименования;PM;Список карточек: что в работе, что частично, что требует правок, где результат уже есть;Заказчик должен видеть понятный план месяца;в процессе;trello-source-map.html
2;Дособрать стратегические источники и закрытые ссылки;PM;Стратегия с доказательствами;Мастер-план должен опираться на источники;частично;strategy-board.html
3;Собрать offer-proof для публичной части;PM + Антон;Что клиент видит до оплаты и почему доверяет;Оффер должен быть понятен до рекламы;нужно собрать;oracle-nebula-design-backend-content-qa.html
4;Передать Игорю тестовый заказ без реального платежа;PM -> Игорь;Заказ, вопрос, консультация, назначение, чат, события, поддержка;Первый красный блокер запуска;критично;igor-test-order-consultation-handoff.html
5;Передать Игорю рабочее место эксперта и агента;PM -> Игорь;Роли, вкладки, задачи, сроки, чат, качество, начисления;Без этого 5 экспертов не работают управляемо;критично;expert-agent-workspace-handoff.html
6;Передать Игорю поддержку, жалобы и возвраты;PM -> Игорь;Карточка обращения, связь с заказом/клиентом/чатом/экспертом;Проблемные сценарии будут сразу после первых клиентов;критично;support-refund-handoff.html
7;Передать Игорю email и события без реальной отправки;PM -> Игорь;События, шаблоны, переменные, получатели, no-send проверка;Без уведомлений путь заказа неуправляем;пакет готов;email-notifications-handoff.html
8;Собрать регламент экспертов v1;PM;Сроки ответа, тон, качество, продажи, запреты, эскалации, санкции;Эксперты должны работать одинаково;нужно собрать;expert-quality-moderation.html
9;Собрать школу первых 5 экспертов в рабочий маршрут;PM + Ксения;Уроки, тест, практика ответа, журнал допуска;5 экспертов уже есть;частично;expert-school-first-five-launch-package.html
10;Подготовить legal-ready пакет к согласованию;PM + основатель/legal;Terms, Privacy, Refund, FAQ, дисклеймеры;До трафика нужны честные правила;решение позже;legal-docs-readiness.html
11;Подготовить сценарий QA после внедрения;PM -> тестировщик;Проверка клиент, заказ, эксперт, админ, support, уведомления, отчет;После внедрения нужен воспроизводимый сценарий;методика есть;launch-test-scenario.html
12;Подготовить условия первого малого рекламного теста;PM + основатель;Go/no-go, бюджет, каналы, метрики, стоп-сигналы;Трафик только после proof;после proof;marketing-traffic-test-handoff.html
