"id","area","status","owner","proof","proven","missing","next"
"L01","Стратегия платформы","green","PM + основатель","strategy-board.html","Платформа сначала: универсальная paid P2P-система, Nebula/Oracle как первая коммерческая ниша.","Стратегия не доказывает, что текущий сайт готов к клиентам.","Держать все июньские задачи привязанными к универсальному пути услуги."
"L02","Мастер-план и управление месяцем","green","PM","june-execution-control.html","Есть план июня, execution-маршрут, backlog блокеров, очередь команды и публичные proof-ссылки.","Нужно поддерживать актуальность после каждого результата команды.","Каждый факт обновлять в Blue Panel и ссылать из Trello."
"L03","Trello как доска согласования","yellow","PM","june-plan.html","Текущие названия карточек сохраняются как источник истины; карточки июня связаны с Blue Panel.","Не все карточки доказывают внедренную функцию, часть — подготовленные PM-пакеты.","Не менять названия; результат задачи фиксировать ссылкой на Blue Panel."
"L04","Backend Confideline и админка","yellow","Игорь + PM","backend-admin-readiness-map.html","Confideline принят как backend/admin база; есть карты заказов, ролей, chat/admin/email/support.","Нет runtime proof единого пути: заказ → вопрос → исполнитель → ответ → события → support.","Передать Игорю safe test order и получить admin route proof."
"L05","Frontend Oracle/Nebula и дизайн","yellow","PM + Антон + Игорь","screen-backend-content-control.html","Есть карта экранов и сценариев: frontend/design, backend, контент, QA, владелец.","0 зеленых paid-flow; дизайн не доказан как работающая платная услуга.","Закрывать экранные контракты вокруг контрольного заказа."
"L06","Контент страниц, оффер и FAQ","yellow","PM + Антон","co2p-legal-checkout-public-docs.html","Структура оффера, услуги, disclosure, FAQ и checkout wording подготовлена.","Финальный текст зависит от legal/payment/founder решений и экранной сверки.","Подготовить HTML-ready тексты, но не считать финальными до решений."
"L07","Клиентский путь платной консультации","red","Игорь + QA + PM","test-order-readiness-gate.html","Путь описан: оффер → test checkout → вопрос → ожидание/чат → ответ → support.","Нет полного прохода мышкой и QA verdict.","Закрыть gate и провести безопасный контрольный заказ."
"L08","Платежный/тестовый заказ","red","Игорь","test-order-runtime-cockpit.html","Подготовлены gate, cockpit, acceptance contract и QA brief.","Нет order id в test/sandbox/mock режиме без реального списания.","Получить safe order proof до любых QA/трафика."
"L09","Рабочее место эксперта/агента","red","Игорь + QA","expert-agent-workspace-handoff.html","Пакет рабочего места описан: задача, вопрос, срок, чат/ответ, статус, начисления.","Не доказано, что исполнитель реально получает и закрывает задачу в админке.","Проверить workspace на контрольном заказе."
"L10","Первые 5 экспертов и школа","yellow","PM + Ксения","first-five-expert-admission-journal.html","Материалы обучения извлечены, школа v1 и журнал допуска опубликованы.","Нет ревизии Ксении, тестов, пробных ответов и статуса допуска каждого эксперта.","Заполнить журнал допуска по 5 реальным экспертам."
"L11","Регламент качества экспертов","yellow","PM + Ксения + QA","expert-work-regulation-v1.html","Регламент v1 собран: SLA, тон, качество, запреты, эскалация, санкции.","Не проверен на реальном/пробном ответе.","Оценить пробный ответ по регламенту и внести правки."
"L12","Модерация, баны, качество и видимость экспертов","yellow","PM + Игорь + QA","support-refund-launch-control.html","Область описана через quality/support/failure state и экспертский регламент.","Не доказаны admin-инструменты: предупреждения, скрытие, теневой/явный бан, ручное поднятие/понижение.","Сформировать отдельный admin-quality package после test order workspace."
"L13","Ранжирование и поднятие экспертов","yellow","PM + Игорь","screen-backend-content-control.html","Потребность зафиксирована: сильные эксперты должны быть выше, видимость должна управляться.","Нет формулы ранжирования, admin override, правил promo/boost и защиты от серой накрутки.","Добавить ranking/visibility model после подтверждения экспертского workspace."
"L14","Email, уведомления и события","red","Игорь + QA","events-notifications-launch-control.html","Пакет событий/no-send/preview подготовлен.","Нет no-send event log на одном контрольном заказе.","Проверить события заказа, вопроса, назначения, дедлайна, ответа, support и follow-up."
