"ID","Зона","Статус","Что можно делать сейчас","Что запрещено","Что открывает следующий шаг","Владелец","Proof-ссылка"
"TRG01","QA безопасного заказа","Красный","Готовить runbook, capture sheet, R01/R02 запросы","Покупать трафик до QA PASS/WARN","QA PASS/WARN по одному safe order","Игорь + QA + PM","prelaunch-qa-runbook-2026-06-06.html"
"TRG02","Готовность экспертов","Красный","Вести допуск E01-E05, SLA, scorecard","Открывать поток заявок при 0/5 accepted","E01-E05 accepted или founder-approved hard capacity limit","PM + Ксения","first-five-expert-admission-execution-board-2026-06-06.html"
"TRG03","Документы и checkout","Красный","Готовить HTML-ready пакет, wording, FAQ","Публиковать checkout без legal/payment/founder decisions","Decision log по seller/provider/descriptor/refund/geography","Founder/legal/payment + PM","public-docs-checkout-execution-board-2026-06-06.html"
"TRG04","Support и no-send","Красный","Готовить no-send events, support case, refund path","Отправлять реальные письма и принимать реальные жалобы без proof","CSA accepted на одном order_id","Игорь + QA + PM","communications-support-analytics-execution-board-2026-06-06.html"
"TRG05","Аналитика покупки","Красный","Готовить UTM и source/session/order/value модель","Считать CAC/LTV вручную или по предположениям","source → session → order → value → support row","Игорь + PM","purchase-analytics-proof-acceptance-board.html"
"TRG06","Оффер первой покупки","Желтый","Готовить one-time offer, CTA, FAQ, ограничения","Обещать гарантии, точные предсказания, скрытую подписку","LP/CTA/checkout copy accepted","PM + Антон","launch-content-source-register-2026-06-06.html"
"TRG07","Креативы и policy","Желтый","Готовить safe creative rules и forbidden claims","Публиковать без свежей policy/legal проверки","Approved creative set + source links","PM + founder/legal","first-traffic-marketing-preflight-package-2026-06-06.html"
"TRG08","UTM и daily report","Желтый","Готовить UTM naming, daily report, evening decision","Запускать день без владельца отчета и stop-rules","Daily report template accepted","PM","first-traffic-daily-report-template.html"
"TRG09","Бюджет и лимит заказов","Красный","Готовить черновик max spend, max orders, stop-loss","Назначать реальный бюджет до всех gates","Founder-approved cap after QA/capacity/docs/analytics","Founder + PM","first-traffic-cac-ltv-calculator.html"
"TRG10","SEO/PR/UGC","Желтый","Готовить whitelist, disclosure, темы, brief","Внешние публикации без approval","Whitelist + approval log","PM + founder","organic-pr-ugc-trust-content-control.html"
