id,name,status,visible_to_client,proven,missing,proof_needed,owner,link
"CJ01","Понять оффер","yellow","Клиент понимает, что это платная текстовая консультация с экспертом, какой формат ответа и какие ограничения.","Есть стратегия, офферные выводы, дизайн-контур Oracle/Nebula и экранный контракт.","Нет runtime proof, что CTA ведет в правильный заказ и не вводит клиента в заблуждение.","Скрин оффера + CTA → выбранная услуга/заказ + checkout/disclaimer copy.","PM + Антон","test-order-screen-contract.html"
"CJ02","Выбрать услугу или эксперта","red","Клиент выбирает тему, услугу, эксперта или категорию и понимает, кто/когда ответит.","Есть dating-база профилей и PM-решение, что Nebula строится поверх универсальной P2P-платформы.","Не доказана модель выбора: конкретный эксперт, очередь, категория, ручное назначение или гибрид.","Выбранная услуга/эксперт связаны с order/session/assignment в админке.","PM + Игорь + Антон","admin-control-order-gate.html"
"CJ03","Зарегистрироваться или продолжить заказ","yellow","Клиент не теряет путь после регистрации/логина.","Auth-база Confideline существует как часть универсальной платформы.","Не доказан guest → signup/login → continue order flow для Nebula paid path.","Скрин/QA шаг: после входа клиент возвращается к тому же заказу/вопросу.","Игорь + QA","qa-test-order-execution-brief.html"
"CJ04","Создать безопасный тестовый заказ","red","В QA-режиме создается заказ без реального списания, но с понятным статусом.","Есть test order gate, fixture sheet и handoff Игорю.","Нет order id с no-charge proof на рабочем сайте.","Order id + admin card + no real charge marker + success/fail state.","Игорь + PM","test-order-readiness-gate.html"
"CJ05","Задать вопрос","red","Клиент вводит вопрос, видит подсказки качества и срок ожидания.","Question binding описан в runtime proof PF03.","Нет доказанной связи order → question → consultation/session.","Один marker вопроса виден клиенту, админу и исполнителю.","Игорь + QA","test-order-client-order-proof-register.html"
"CJ06","Ждать назначения и статуса","red","Клиент понимает, что заказ принят, кто отвечает и когда ждать результат.","Есть expert workspace handoff, events/no-send и SLA-логика в PM-пакетах.","Нет assignment/SLA/status proof на контрольном заказе.","Assignment id, исполнитель, deadline, статус клиента, no-send событие.","Игорь + QA","expert-runtime-proof-register.html"
"CJ07","Получить ответ эксперта","red","Клиент получает ответ в чате/кабинете, видит результат, следующий шаг и support link.","Есть admin chat/workspace наработки и screen contract result state.","Нет единого proof: клиентский экран ответа + workspace исполнителя + admin status.","Скрин ответа у клиента, workspace после ответа, admin delivered status.","Игорь + QA + эксперт","expert-runtime-proof-register.html"
"CJ08","Получить уведомления без реальной отправки","red","Клиент/эксперт/админ получают статусы, но в тесте ничего реально не отправляется.","Есть email handoff, notification gate и no-send proof register.","Нет no-send timeline по одному контрольному заказу.","Event log: order, question, assignment, deadline, answer, support, follow-up с no-send flag.","Игорь + QA","notification-nosend-proof-register.html"
"CJ09","Решить проблему через support","red","Если эксперт опоздал или ответ плохой, клиент может открыть проблему и получить решение.","Есть support/failure gate и support problem proof register.","Нет support-case, связанного с order/session/chat/expert/reason/decision.","Support case id + связь с заказом + решение + уведомление/no-send событие.","Support + QA + PM","support-problem-proof-register.html"
"CJ10","Понимать правила, документы и refund boundary","yellow","Клиент видит Terms, Privacy, disclaimer, refund/support rules и checkout consent.","Есть legal/checkout evidence inventory и public docs pack.","Финальные seller/payment/descriptor/refund/geography решения не утверждены.","HTML-ready документы + founder/legal/payment decisions перед финальным checkout.","PM + основатель/legal","legal-checkout-docs-evidence-inventory.html"
"CJ11","Вернуться повторно","yellow","Клиент получает понятную причину вернуться: follow-up, новый вопрос, письмо, новый эксперт.","Есть first traffic/economics и events-контур.","Нет фактического repeat/LTV после первого заказа.","Follow-up event + repeat CTA + tracked next action после контрольного заказа.","PM + маркетинг + QA","marketing-launch-evidence-inventory.html"
"CJ12","Попасть в аналитику запуска","yellow","Клиент этого не видит, но PM видит путь: источник, заказ, вопрос, ответ, проблема, итог.","Есть daily report template, proof capture sheet и readiness logic.","Нет фактического отчета по одному runtime заказу.","QA report + updated launch readiness + captured order/session/event/support IDs.","PM + QA","test-order-proof-capture-sheet.html"
