ID;Зона;Тип;Статус;PM-решение;Чего не хватает;Следующее действие;Proof
"SEO01";"SEO-аудит от Оли";"Источник backlog";"желтый";"Использовать как вход для списка технических/контентных улучшений, но не как доказательство readiness.";"Текст/выводы аудита, список рекомендаций, связь с текущими страницами.";"PM извлекает в backlog; не меняет launch go/no-go.";"marketing-ltv-acquisition-control.html"
"SEO02";"SEO core hygiene";"Подготовка сайта";"желтый";"Title/description, indexability, canonical, sitemap, robots, базовая скорость и ошибки страниц.";"Доступ к live/front pages и QA/technical check после верстки.";"Готовить checklist для Игоря/Антона после screen contract.";"page-content-backend-readiness-map-2026-06-06.html"
"SEO03";"Trust pages";"Доверие до трафика";"желтый";"FAQ, how it works, experts, support/refund, safety/disclaimer pages как доверительный слой.";"Legal/founder approval и связь с checkout/public docs.";"Готовить структуру; публиковать только после legal/payment gates.";"public-docs-checkout-capture-sheet-2026-06-06.html"
"SEO04";"Content clusters";"Organic content";"желтый";"Темы: отношения, самоанализ, совместимость, tarot/astrology explainers, без обещаний точных исходов.";"Контент-план и policy-safe wording.";"Собрать 10-20 тем после offer pack; не делать medical/legal/financial claims.";"nebula-content-knowledge-gap-register-2026-06-06.html"
"SEO05";"Authority placements";"Внешние размещения";"желтый";"Список площадок, каталогов, блогов, комьюнити, где можно разместить объяснительный/trust content.";"Whitelist площадок, правила disclosure, запрет fake reviews.";"Готовить shortlist; не публиковать без approval.";"organic-pr-ugc-trust-content-control.html"
"SEO06";"UGC / influencer brief";"Внешний рост";"желтый";"Brief для честных обзоров/историй без fake reviews и без скрытых связей.";"Disclosure template, список авторов, owner approval.";"Готовить brief и правила; внешние публикации не запускать.";"organic-pr-ugc-trust-content-control.html"
"SEO07";"TikTok policy preflight";"Paid/organic creative policy";"желтый";"TikTok: horoscope/fortune-telling в US/UK допускается при условиях; нельзя exact predictions, guaranteed outcomes, definitive solutions.";"Конкретные креативы, LP, market selection, review перед launch.";"Готовить запретные формулировки и safe examples; paid traffic still 0.";"https://ads.tiktok.com/help/article/tiktok-ads-policy-other-products-and-services?lang=en"
"SEO08";"Google Ads / personalized ads preflight";"Paid search/display policy";"желтый";"Google: sensitive interest categories ограничивают advertiser-curated audiences; нужно аккуратно с targeting/content.";"Keyword/ad/LP preflight, исключение sensitive claims и PII/data issues.";"Готовить safe keyword/creative rules; не запускать кампании до gates.";"https://support.google.com/adspolicy/answer/143465?hl=en"
"SEO09";"Negative option / subscriptions";"Монетизация и доверие";"желтый";"FTC: negative option/subscriptions требуют clear material terms, consent proof, easy cancellation.";"Subscription flow отсутствует; стартовая рекомендация remains one-time purchase.";"Не планировать subscription launch в MVP без отдельного legal/product flow.";"https://www.ftc.gov/business-guidance/blog/2024/10/click-cancel-ftcs-amended-negative-option-rule-what-it-means-your-business"
"SEO10";"Tracking / UTM / analytics";"Измерение organic/paid";"красный";"Нужны source/session/order/value/service/support fields, иначе CAC/LTV и channel performance невалидны.";"PAC proof на safe order.";"До paid/organic tests подготовить UTM conventions, но данные считать только после proof.";"purchase-analytics-control-order-capture-sheet-2026-06-06.html"
"SEO11";"Pre-traffic go/no-go";"Запрет запуска";"красный";"SEO/UGC/PR можно готовить; paid traffic нельзя до QA/capacity/docs/payment/analytics.";"QA PASS/WARN, E01-E05/capacity, docs/payment, analytics.";"Держать budget=0 до accepted proof.";"first-traffic-economy-launch-gate-2026-06-06.html"
"SEO12";"First report template";"Отчетность роста";"желтый";"Отчет должен разделять organic prep, paid prep, actual spend, orders, CAC, refund, SLA, repeat.";"Нет фактического первого traffic day.";"Готовить шаблон, заполнять только после разрешенного теста.";"first-traffic-daily-report-template.html"
