"name","url","descChars","comments","attachments","checklists","links"
"ТЗ. Авто продвижение анкет агентов на сайте","https://trello.com/c/bAu5gL1l","0","1","0","0","0"
"seo-аудит от Оли","https://trello.com/c/OoNR6BFT","184","1","0","0","0"
"AI-ассистент по сводке диалога для экспертов и советы","https://trello.com/c/lj6vnWeG","511","0","0","0","0"
"AI-ассистент на сайт (сбор инфы)","https://trello.com/c/egrNDweI","611","1","0","0","0"
"1.0 Составление стратегии продвижении и рекламы","https://trello.com/c/W5Ov5djR","446","5","2","2","4"
"1.1 Анализ рынка и целевой аудитории","https://trello.com/c/6VTMTt7b","3090","1","0","1","1"
"1.2. Анализ конкурентов","https://trello.com/c/zQW2Htac","860","1","0","1","2"
"1.4. Поиск и работа с астрологами","https://trello.com/c/Y5rPcPMI","439","1","0","1","0"
"1.5. Техническая часть","https://trello.com/c/K7Sn0ey2","880","2","0","1","0"
"1.6. Юридические вопросы","https://trello.com/c/9mcDFqLL","908","2","0","0","1"
"1.7. Маркетинг и привлечение клиентов","https://trello.com/c/VSVUXCqe","488","1","0","1","0"
"Стратегия. Свод этапа 1","https://trello.com/c/r1VjcfBi","0","1","0","0","0"
"2. Подготовительный этап","https://trello.com/c/YA7p0sIh","722","1","0","1","0"
"3. Готовность MVP","https://trello.com/c/Mqfr0f8w","496","1","0","1","0"
"4. Подготовка к запуску (параллельно с разработкой)","https://trello.com/c/ySCW17BG","538","1","0","1","0"
"5. Запуск и первые продажи","https://trello.com/c/wIZiE0NL","464","1","0","0","0"
"6. Масштабирование и улучшение","https://trello.com/c/WNvUTUqx","375","0","0","0","0"
