ID,Слой,Экран/функция,Что должно быть,Доказательство сейчас,Статус PM,Следующее действие
P0-01,Клиент,Главная/оффер,Платная текстовая консультация с экспертом и trust-layer,Live Confideline = backend/legacy; Nebula frontend требует связки,частично,Сделать proof legacy->Nebula
P0-02,Клиент,Регистрация/вход,Безошибочный вход и восстановление доступа,Full QA audit отмечает public login/signup как риск,не доказано,Pre-traffic QA guest/auth
P0-03,Клиент,Каталог экспертов,Рейтинг доступность специализация язык цена,Dating user foundation есть; Nebula ranking не доказан,частично,Задача по ранжированию экспертов
P0-04,Клиент,Профиль эксперта,Доверие до оплаты и дисклеймер,Admin profile fields есть,частично,Сверить поля с frontend
P0-05,Оплата,Checkout,Понятная цена и пост-оплатный путь,Orders/balance/payment routes есть; real payment не запускать,частично,No-real-payment QA сценарий
P0-06,Услуга,Paid chat lifecycle,Оплата->сессия->эксперт->SLA->ответ->история,Admin chat route есть; workspace v2 опубликован,готовится,co2p Игорю после согласования
P0-07,Эксперт,Рабочее место эксперта,Сессии SLA подсказки начисления правила,Единый кабинет не доказан,не доказано,JUN-07 роль эксперт/агент
P0-08,Обучение,Школа экспертов,Уроки тест симуляция допуск журнал,Материалы есть в Trello/индексе,частично,JUN-06 школа v1
P0-09,Support,Тикеты/refund,Кейс по заказу и решению,Support route есть; refund flow не доказан,частично,Support/refund QA
P0-10,Коммуникации,Email/уведомления,События шаблоны retry no-send QA,Email-template route есть; email web-контур есть,частично,JUN-03 event map
P0-11,Админка,Операционный центр,Все проблемы без ручного поиска,54 admin routes доказаны; ops dashboard не доказан,частично,P0 admin visibility matrix
P0-12,Юридическое,Terms Privacy Refund Disclaimer,Pages route есть; Nebula legal package требует сверки,частично,HTML-ready legal package без публикации
P0-13,Языки,Переводы,Клиент и эксперт могут работать на разных языках,Language routes есть,требует проверки,Добавить в email/QA matrix
P0-14,Модерация,Баны/запрет контактов,Контроль нарушений и off-platform попыток,Bans/reports/messages/logs есть,частично,Admin ops + регламент
P0-15,Аналитика,Эксперт/агент/admin/LTV,Метрики SLA качество выручка refund repeat,Dashboard/orders/logs есть; Nebula metrics не доказаны,не доказано,Analytics requirements task
P0-16,QA,Pre-launch cockpit,Сценарии PASS/FAIL proof retest owner,QA reports есть; текущий full audit FAIL,частично,Pre-traffic QA checklist
