"Id","Area","Status","PlatformBase","NebulaNeed","RuntimeProof","Owner","Next","Proof"
"BA01","QA-инфраструктура и публичные отчеты","Зеленый","Есть публичный каталог QA-отчетов Confideline и подход proof-публикаций","Использовать как формат доказательств для Nebula, но не как доказательство запуска Nebula","Публичный QA-отчет контрольного заказа PASS/WARN/STOP","PM + QA","Привязывать новые тесты к QA reports / Blue Panel","https://cutthreat.github.io/confideline/web/qa-reports/"
"BA02","Пользователи, роли, доступ","Желтый","User/auth/admin база есть; роли платформы можно использовать как foundation","Роли эксперт, агент, модератор, support, admin с нужными вкладками","Скрины входа под ролями и видимость только нужных заказов/задач","Игорь + QA","Проверить роли на test order и expert workspace","backend-admin-readiness-map.html"
"BA03","Каталог людей/экспертов и профили","Желтый","Dating discovery/profile база подходит как универсальный P2P-каталог","Availability, language, ranking, moderation, price/package, экспертная анкета","Выбор эксперта/анкеты приводит к checkout/session/assignment","PM + Игорь + Антон","Связать profile card с package/order/assignment","frontend-design-backend-evidence-inventory.html"
"BA04","Заказ услуги и безопасный checkout","Красный","Order/payment поля и admin order foundation есть, но Nebula paid consultation не доказана","Safe test order без реального списания, test marker, package, сумма, валюта","order_id + test marker + no real charge proof","Игорь + QA","Закрыть AC01 до QA","igor-test-order-acceptance-contract.html"
"BA05","Вопрос клиента как часть заказа","Красный","Message/Conversation можно переиспользовать, но связка question/order/session не доказана","question_id, order_id, session_id, client_id, language, topic, текст вопроса","Один marker виден в клиентском пути, админке и workspace исполнителя","Игорь","Закрыть AC02 и EV02","runtime-evidence-capture-kit.html"
"BA06","Service session / task консультации","Красный","Order statuses есть, но доменный слой консультации не доказан","Единая карточка консультации: order, question, client, status, deadline, performer, chat, support","Admin card/session с общим marker и всеми связями","Игорь","Закрыть AC03","igor-test-order-acceptance-contract.html"
"BA07","Назначение эксперта/агента/анкеты","Красный","User/profile/admin база есть","Manual assignment, performer_id, profile_id, who/when, SLA, history","Скрин назначения + задача видна исполнителю","Игорь + QA","Закрыть AC04 и EV04","admin-control-order-gate.html"
"BA08","Рабочее место эксперта/агента","Красный","Admin chat workspace/handoff есть как подготовленный контур","Вопрос, контекст, срок, история, поле ответа, подсказки, статус, начисления preview","Исполнитель отвечает внутри системы, ответ связан с session","Игорь + QA","Закрыть AC05 и PF06-PF07","expert-runtime-proof-register.html"
"BA09","Сообщения, чат, доставка ответа","Красный","Messages/thread lifecycle тестировался как dating/platform база","Paid consultation lifecycle: submitted/preparing/answered/delivered/follow-up","answer_id, client view, admin view, transcript/history","Игорь + QA","Связать chat answer с order/session","qa-test-order-execution-brief.html"
"BA10","Email, уведомления, no-send события","Красный","NotificationManager/mailer/template контур подготовлен","Order/question/assignment/deadline/answer/support/follow-up events с no-send marker","Event log/preview без реальной отправки","Игорь + QA","Закрыть AC06 и EV07","notification-event-nosend-gate.html"
"BA11","Support, жалоба, проблемный сценарий","Красный","Report/ban/moderation foundation есть","Support case linked to order/session/chat/expert, reason, decision, status","support_case_id + карточка решения по test order","Игорь + QA + Support","Закрыть AC07 и EV08","support-failure-state-gate.html"
"BA12","Модерация, теневые/явные баны, видимость","Желтый","Bans/moderation/shadow-ban база есть","Rules for boost/freeze/hide/ban, quality impact, audit log, manual override","Admin action меняет видимость эксперта и оставляет audit log","PM + Игорь + QA","Сделать P0 policy до первого трафика, runtime можно после core order","expert-visibility-moderation-control.html"
"BA13","Начисления эксперту/агенту","Желтый","Order/balance/user foundation и compensation handoff есть","Test compensation preview, rates, holds, status, no real payout","Начисление preview связано с session и quality note","PM + Игорь","Зафиксировать как желтый долг, если не входит в первый QA","expert-agent-compensation-handoff.html"
"BA14","Языки и переводы","Желтый","Languages/translation foundation есть как платформа","language fields for client/expert/answer, translation/review marker, support-risk","Language fields видны на test order/session/answer","PM + Игорь + QA","Проверить в контрольном заказе или явно ограничить MVP English-first","language-translation-ops-control.html"
"BA15","Аналитика, SLA, качество, экономика","Красный","Dashboard/metrics идеи и first traffic gate есть","Order source, revenue/test status, answer time, support, repeat, expert capacity, CAC/LTV","Daily report по test order и first traffic после QA","PM + QA + Игорь","После test order собрать report source/order/answer/support","first-traffic-capacity-economy-gate.html"
"BA16","Test data isolation и rollback","Красный","Order.data/tagged users могут быть основой","test_run_id across order/session/events/support, filter, cleanup/keep-as-proof rule","test_run_id виден во всех ключевых сущностях","Игорь + QA","Закрыть AC08 до runtime QA","igor-test-order-acceptance-contract.html"
