"Card","Trello","Layer","NebulaPriority","Backend","Frontend","Admin","Proof","Status","Next"
"ТЗ аналитика на Дашборде","https://trello.com/c/whZiCsxv","Админка / аналитика","После базового запуска","Нужны события и агрегаты: регистрация, оплата, консультация, ответ, refund, повторный заказ.","Не основной публичный фронт; нужен admin/dashboard экран.","Дашборд владельца/PM: продажи, активность экспертов, SLA, возвраты, LTV/CAC.","Есть Trello-карточка с вложением; в Blue Panel LTV/экономика частично отражены.","Желтый","Включить в пакет аналитики после фиксации событий платной консультации."
"Статистика / аналитика","https://trello.com/c/hFPIK4R5","Админка / аналитика","После базового запуска","Нужна единая модель событий и отчетов.","Для клиента не требуется; для админа нужен отчетный UI.","Отчеты по клиентам, экспертам, агентам, платежам, retention.","Есть Trello-карточка с вложением.","Желтый","Объединить с dashboard analytics, не делать вторым разрозненным ТЗ."
"Макеты для почтовых рассылок (ИИ)","https://trello.com/c/RX4P6jw5","Email / retention","Ядро июня","События отправки, шаблоны, переменные, язык, no-send тест.","Клиент видит письма; public UI не нужен, но нужен стиль Nebula/Oracle.","Управление шаблонами и журнал отправки.","email-notifications-igor-qa-package.html; существующий email admin upload QA.","Зеленый как PM-пакет","Передать Игорю вместе с email-notifications package."
"ТЗ по тех поддержке на сайте (суппорт)","https://trello.com/c/IRQiN429","Support / failure states","Ядро перед рекламой","Тикеты, причина обращения, связь с платежом/консультацией, статус, SLA.","Клиенту нужен понятный путь: проблема с оплатой, нет ответа, плохой ответ, refund/review.","Очередь обращений, модерация, эскалация, видимость истории.","support-refund-igor-qa-package.html; pre-traffic QA package.","Желтый","Сформировать отдельный support co2p-пакет из старого ТЗ + текущего paid consultation flow."
"Переводчик в чате (пользователь/агент)","https://trello.com/c/5cU9gpqd","Chat / multilingual","Не блокер MVP, но важен для масштабирования","Хранение оригинала и перевода, язык клиента/эксперта, история, стоимость API.","В чате нужны переключатели: оригинал/перевод, пометка AI translation.","Настройки языков, контроль ошибок перевода, лимиты.","Есть Trello comments; в текущих PM-пакетах языки учтены частично в email/notifications.","Желтый","Вынести как P1 после проверки англоязычного MVP или включить минимальную ручную модель."
"ТЗ Ограничение отправки контактов в чате","https://trello.com/c/LYz7x7QS","Chat safety / moderation","Ядро запуска","Фильтр контактов, лог срабатываний, исключения, теневые/явные санкции.","Сообщение пользователю/эксперту должно быть понятным, без раскрытия всех правил обхода.","Модерация нарушений, история, бан/теневой бан, ручное снятие.","Учтено в регламенте экспертов и admin/moderation обсуждениях, но нужен отдельный co2p proof.","Желтый","Сформировать компактный пакет модерации чата для Игоря и QA."
"ТЗ. Отзывы и рейтинг специалистов","https://trello.com/c/GVvW2vR6","Trust / ranking","Ядро доверия, можно упрощенно","Отзывы, рейтинг, жалобы, антинакрутка, связь с завершенной консультацией.","Карточка эксперта: рейтинг, количество консультаций, отзывы, бейджи.","Модерация отзывов, ручная корректировка, выявление фрода.","Есть Trello-вложения/комментарии; PM уже выделял expert ranking/visibility как важную механику.","Желтый","Сделать MVP-правило рейтинга: подтвержденные консультации + ручная модерация, без сложной накрутки."
"ТЗ по управлению email-рассылки из админки","https://trello.com/c/tHaAg57o","Admin email / campaigns","Ядро коммуникаций","Шаблоны, сегменты, события, очередь отправки, unsubscribe, лог.","Публично видны письма и unsubscribe; клиентский кабинет может показывать настройки уведомлений.","UI управления шаблонами/рассылками и preview.","email-notifications-igor-qa-package.html; email admin upload QA.","Зеленый как PM-пакет","Не плодить отдельную задачу: включить как админский слой email package."
"Отрисовка страницу Города","https://trello.com/c/CxEVl1q3","GEO / SEO","Вне ядра Nebula MVP","Гео-страницы, CMS, контент, перелинковка.","Страница города, SEO-контент.","CMS управление городами/странами.","Есть Trello-вложения/комментарии; отдельный GEO поток уже выделен.","Серый","Не включать в Nebula launch readiness; вести отдельным GEO-пакетом."
"Переделать диалоговые окна","https://trello.com/c/PiXjxgGt","UI dialogs / conversion","Ядро UX, но после критичного платного пути","Зависит от конкретного dialog action: оплата, подтверждение, жалоба, блокировка, refund.","Модальные окна Oracle/Nebula должны поддерживать paid flow, failure states, trust и подсказки.","Если dialog связан с moderation/support, нужен admin event/log.","Есть 12 вложений и 9 комментариев; нужно разложить по сценариям.","Желтый","Разобрать модалки как часть платной воронки и support/failure states, не отдельной косметикой."
