area,id,item,required_before_traffic,current_status,proof_needed,decision_rule
Заказ,ECO-ORDER-01,Оплата создает заказ и сессию,Да,Красный,Контрольный заказ с order_id/session_id,Без proof внешний трафик запрещен
Аналитика,ECO-AN-01,Источник клиента связан с заказом,Да,Красный,UTM/source/campaign в заказе,Без source CAC невалиден
Аналитика,ECO-AN-02,Сумма покупки связана с order_id,Да,Красный,purchase value + order_id,Без value LTV не считается
Эксперты,ECO-CAP-01,Дневная емкость 5 экспертов,Да,Красный,Журнал допуска и лимитов,Без capacity дневной лимит заказов равен 0
Поддержка,ECO-SUP-01,Support видит заказ клиента и проблему,Да,Красный,Support problem state proof,Без support proof трафик stop
Экономика,ECO-FORMULA-01,Маржа первой покупки,Да,Желтый,Цена минус комиссии/эксперт/support/refund/ops,До repeat CAC сравнивается только с первой маржей
Экономика,ECO-FORMULA-02,Фактический CAC,После теста,Нет данных,Расход рекламы / оплаченные клиенты,Считать только paid customers
Экономика,ECO-FORMULA-03,Фактический LTV,После D7/D14/D30,Нет данных,Маржа первой покупки + повторы - возвраты - споры,Repeat не учитывать до фактов
Решение,ECO-GATE-01,Go/no-go первого трафика,Да,Красный,QA PASS/WARN + capacity + analytics + support + legal/payment,Если хотя бы один gate красный - трафик запрещен
Решение,ECO-DAILY-01,Ежедневный отчет первого трафика,Да,Желтый,Daily report: spend/orders/CAC/SLA/support/stop signals,Без ежедневного вердикта тест не продолжается
