key,liveLabel,moduleRu,actionRu,meaning,routes,risk,paidChatNote,selectedOnRole2
partners-all,Партнеры-all,Агенты / legacy Partners,Полный доступ к модулю,"Агентский список, агентские балансы и legacy partner-контур. Обычно включает просмотр, создание/изменение, удаление и специальные действия модуля. Точный набор зависит от controller actions.",/admin/partner/index,high,Оценивать по роли и необходимости в paid chat lifecycle.,no
partners-view,Партнеры-view,Агенты / legacy Partners,Просмотр,"Агентский список, агентские балансы и legacy partner-контур. Открытие списка/карточки/деталей без изменения. Если есть чужие/свои объекты, нужен row-level scope.",/admin/partner/index,high,Оценивать по роли и необходимости в paid chat lifecycle.,no
partners-update,Партнеры-update,Агенты / legacy Partners,Изменение,"Агентский список, агентские балансы и legacy partner-контур. Создание/редактирование/approve/toggle/status-actions в рамках модуля. Требует audit log.",/admin/partner/index,high,Оценивать по роли и необходимости в paid chat lifecycle.,no
partners-delete,Партнеры-delete,Агенты / legacy Partners,Удаление,"Агентский список, агентские балансы и legacy partner-контур. Удаление или необратимые действия. Для операционных ролей давать осторожно.",/admin/partner/index,critical,Оценивать по роли и необходимости в paid chat lifecycle.,no
partners-balance,Партнеры-balance,Агенты / legacy Partners,Балансовые операции,"Агентский список, агентские балансы и legacy partner-контур. Доступ к финансовым/балансовым данным выбранной сущности.",/admin/partner/index,critical,Оценивать по роли и необходимости в paid chat lifecycle.,no
users-all,Пользователи-all,Пользователи,Полный доступ к модулю,"Пользователи, профили, экспертные анкеты, статусы и балансы. Обычно включает просмотр, создание/изменение, удаление и специальные действия модуля. Точный набор зависит от controller actions.","/admin/user/index, /admin/user/update, /admin/user/info",high,Оценивать по роли и необходимости в paid chat lifecycle.,no
users-view,Пользователи-view,Пользователи,Просмотр,"Пользователи, профили, экспертные анкеты, статусы и балансы. Открытие списка/карточки/деталей без изменения. Если есть чужие/свои объекты, нужен row-level scope.","/admin/user/index, /admin/user/update, /admin/user/info",high,Оценивать по роли и необходимости в paid chat lifecycle.,no
users-update,Пользователи-update,Пользователи,Изменение,"Пользователи, профили, экспертные анкеты, статусы и балансы. Создание/редактирование/approve/toggle/status-actions в рамках модуля. Требует audit log.","/admin/user/index, /admin/user/update, /admin/user/info",high,Оценивать по роли и необходимости в paid chat lifecycle.,no
users-delete,Пользователи-delete,Пользователи,Удаление,"Пользователи, профили, экспертные анкеты, статусы и балансы. Удаление или необратимые действия. Для операционных ролей давать осторожно.","/admin/user/index, /admin/user/update, /admin/user/info",critical,Оценивать по роли и необходимости в paid chat lifecycle.,no
users-agent,Пользователи-agent,Пользователи,Агентский доступ,"Пользователи, профили, экспертные анкеты, статусы и балансы. Специальный users-key для агентского контура. Не заменяет проверку assigned expert ids.","/admin/user/index, /admin/user/update, /admin/user/info",critical,Оценивать по роли и необходимости в paid chat lifecycle.,no
users-balance,Пользователи-balance,Пользователи,Балансовые операции,"Пользователи, профили, экспертные анкеты, статусы и балансы. Доступ к финансовым/балансовым данным выбранной сущности.","/admin/user/index, /admin/user/update, /admin/user/info",critical,Оценивать по роли и необходимости в paid chat lifecycle.,no
groups-all,Группы-all,Группы,Полный доступ к модулю,"Группы пользователей: просмотр, блокировка, верификация, удаление. Обычно включает просмотр, создание/изменение, удаление и специальные действия модуля. Точный набор зависит от controller actions.",/admin/group/index,high,Оценивать по роли и необходимости в paid chat lifecycle.,no
groups-view,Группы-view,Группы,Просмотр,"Группы пользователей: просмотр, блокировка, верификация, удаление. Открытие списка/карточки/деталей без изменения. Если есть чужие/свои объекты, нужен row-level scope.",/admin/group/index,medium,Оценивать по роли и необходимости в paid chat lifecycle.,no
groups-update,Группы-update,Группы,Изменение,"Группы пользователей: просмотр, блокировка, верификация, удаление. Создание/редактирование/approve/toggle/status-actions в рамках модуля. Требует audit log.",/admin/group/index,high,Оценивать по роли и необходимости в paid chat lifecycle.,no
groups-delete,Группы-delete,Группы,Удаление,"Группы пользователей: просмотр, блокировка, верификация, удаление. Удаление или необратимые действия. Для операционных ролей давать осторожно.",/admin/group/index,critical,Оценивать по роли и необходимости в paid chat lifecycle.,no
messages-all,Сообщения-all,Сообщения,Полный доступ к модулю,"Список сообщений, conversation data, перевод, удаление, связь с user/profile views. Обычно включает просмотр, создание/изменение, удаление и специальные действия модуля. Точный набор зависит от controller actions.","/admin/message/index, /admin/message/*",critical,Критично для agent scope: нужен backend guard по assigned expert/session.,no
messages-view,Сообщения-view,Сообщения,Просмотр,"Список сообщений, conversation data, перевод, удаление, связь с user/profile views. Открытие списка/карточки/деталей без изменения. Если есть чужие/свои объекты, нужен row-level scope.","/admin/message/index, /admin/message/*",critical,Критично для agent scope: нужен backend guard по assigned expert/session.,no
