step,area,start_status,what_to_check,evidence_required,pass,warn,stop
QAR00,"QA-ready gate","closed","R01 accepted + R02 accepted + no-charge/no-send + admin route + workspace","links to accepted R01/R02","All required gates accepted","Minor PM-approved warning","Any required gate missing"
QAR01,"Offer and trust","waiting","Landing/CTA/docs/disclaimer before payment","screenshots","Client understands service, price and limitations","Text needs improvement but not blocking test","Dating legacy or no disclaimer/docs on paid path"
QAR02,"Safe checkout/test order","waiting","Create test order without real charge","order_id,test marker,no-charge proof","Order created safely","Minor UX issue","Risk of real payment or no order_id"
QAR03,"Client question binding","waiting","Question linked to order/session","question_id,client/admin screens","Question tied to order_id","UI confusing","Question detached from order"
QAR04,"Expert assignment","waiting","Expert/profile/SLA assigned","performer_id,profile_id,deadline","Owner and deadline visible","SLA wording unclear","No performer or no SLA"
QAR05,"Expert workspace","waiting","Expert sees task/question/answer form","workspace screenshot","Expert can answer inside platform","Minor UX issue","Answer outside platform or no task"
QAR06,"Answer visibility","waiting","Answer visible to client and admin","answer_id,client/admin screens","Answer tied to consultation","Formatting issue","Answer lost or not linked"
QAR07,"No-send events","waiting","Events and previews without sending","event ids,template preview,external_send=false","Events exist and no real send","Template copy needs fixes","Real send or no logs"
QAR08,"Support/problem case","waiting","Complaint/overdue/bad answer route","support_case_id,owner,decision","Case tied to order/session","SLA unclear","No owner or no link"
QAR09,"Admin visibility","waiting","Admin lifecycle/order timeline","admin screenshots","Admin sees path without manual search","Needs UX improvement","State must be assembled manually"
QAR10,"Analytics minimum","waiting","Source/session/order/value/service/support","analytics row/report","Minimum purchase analytics trace exists","Missing non-critical field","No source->order->value trace"
QAR11,"Failure states","waiting","Payment/order/support/empty/timeout states","screenshots,next actions","User never hits dead end","Some copy weak","Error without explanation/action"
QAR12,"Public report","waiting","Publish QA report","GitHub Pages URL","Report has proof, defects, owners, verdict","Report needs formatting update","Screens in chat only/no report"
QAR13,"PM readiness update","waiting","Map QA verdict to Blue Panel readiness","updated readiness links","Status updated by proof","Needs PM review","Verdict without gate mapping"
