id,step,design,backend,content,qa,status,decision,next_step
"SC01","Вход с рекламы и коммерческая страница","Найдены публичные страницы: Home, Psychic/Tarot/Palm/Phone/Cheap/Love Reading, Ask Psychic, Psychic Chat.","Нужна связка CTA с регистрацией, выбором эксперта/темы и созданием заказа.","Оффер, trust-блок, FAQ, правила, цена/формат, дисклеймер.","Нет proof сквозного клика до тестового заказа.","yellow","Можно готовить и править, но нельзя запускать рекламу.","Сопоставить каждый CTA с backend-действием и test-order маршрутом."
"SC02","Регистрация, вход и восстановление доступа","Есть login, signup-step-1, signup-step-2, forgot password в публичной верстке.","Confideline имеет user/auth базу; нужно доказать возврат клиента к покупке после входа.","Сервисные письма, privacy note, тексты ошибок, языки.","Нужна проверка guest/auth и возврат к покупке.","yellow","База есть, но покупательский путь не доказан.","Включить signup/login/forgot в контрольный заказ."
"SC03","Онбординг после регистрации","Есть HTML prototype: post-signup onboarding modal; production Figma desktop frame не подтвержден.","Нужны сохранение intent, тема, формат, вопрос, match экспертов.","Вопросы анкеты, подсказки, birth data по необходимости, privacy text.","Нет proof, что intent переносится в кабинет/заказ.","yellow","Нужен как мост между рекламой и оплатой.","Антону: production onboarding frame; Игорю: хранение intent и связь с заказом."
"SC04","Подбор и каталог экспертов","Есть psychics dashboard, all-psychic, advisor cards, favorites, expert sidebar variants.","Dating-поиск можно использовать как универсальную базу, но нужны availability, ranking, language, price/package.","Профили экспертов, специализации, рейтинг, trust, языки, дисклеймеры.","Нет proof, что выбранный эксперт связан с платной консультацией.","yellow","Каталог готов как база, не готов как коммерческий выбор услуги.","Описать правила ранжирования, видимости и fallback при offline/busy."
"SC05","Профиль эксперта","Есть expert-page-new, psychic profile page, modal profile card.","Есть profile/user foundation; нужны поля эксперта, модерация, verified/status, availability.","Описание, опыт, темы, отзывы, цена, доступность, что будет после оплаты.","Нет proof, что профиль ведет в конкретный checkout/session.","yellow","Можно наполнять профили, но продажа через профиль не доказана.","Сверить поля профиля с админкой и регламентом эксперта."
"SC06","Пакет услуги и checkout","Есть generic payment modal/terms/refund, но нет полноценного starter package внутри кабинета.","Найдены orders/payment settings/balance база; реальные платежи не трогать.","Цена, что входит, срок ответа, refund note, legal microcopy, descriptor позже.","Нет контрольного заказа без списания и нет purchase event proof.","red","Блокер запуска трафика.","Сделать безопасный test order и checkout handoff без реального платежа."
"SC07","Вопрос клиента к эксперту","Частично есть в onboarding prototype; production question intake после/до оплаты отсутствует.","Нужна связь order → question → consultation/session → expert task.","Topic chips, вопрос, подсказки, ограничения, attachments, privacy.","Нет proof, что вопрос не теряется и виден эксперту/админу.","red","Блокер платной услуги.","Сделать карточку консультации, где вопрос является частью заказа."
"SC08","Платный чат и жизненный цикл консультации","Есть chatroom empty/thread/reply/search/saved/video/expert sidebar; нет полной paid lifecycle полосы.","Есть messages/admin chat база; service session lifecycle не доказан.","Статусы free/paid/waiting/ended, low credits, delayed expert, failed message.","Нет proof client/expert/admin в одном заказе.","red","Чат UI есть, платная консультация не доказана.","Связать chat с заказом, дедлайном, назначением, событиями и support."
"SC09","Асинхронный ответ, результат, transcript, follow-up","Coverage register прямо отмечает missing design для async reading / transcript / follow-up.","Нужны статусы submitted/preparing/ETA/delivered/follow-up/repeat.","Итог ответа, оценка, продолжить с тем же экспертом, email result.","Нет экрана результата и repeat proof.","red","Нельзя считать retention/LTV готовым.","Антону: result/transcript/follow-up states; PM: контент и сценарий repeat."
"SC10","Support, жалоба, возврат внутри кабинета","Есть public legal/FAQ/refund; in-cabinet support/refund/report states не покрыты.","Есть Report/Block/Ban база и support foundation; paid support case с order/chat/payment не доказан.","Причины обращения, SLA support, refund window later, шаблоны ответов.","Нет проблемного сценария на test order.","red","Блокер доверия и платежной безопасности.","Сделать support case, связанный с заказом, чатом, платежом и решением."
"SC11","Email, уведомления и возврат клиента","UI должен показывать статусы; отдельные return states в LK missing/weak.","Notification model, manager, queue, mailer найдены; service_session события не доказаны.","Transactional и operational шаблоны: заказ, вопрос, назначение, ответ, просрочка, support.","Нужен no-send proof по контрольному заказу.","yellow","Техническая база есть, запусковый сценарий не закрыт.","Собрать event map вокруг test order без реальных отправок."
"SC12","Операционная админка, эксперт, агент, модератор","Это backend/admin слой; для эксперта можно стартовать через вкладки по роли, не отдельный кабинет.","Есть users, roles, messages/chat, orders, reports, bans, dashboard; unified operations center не доказан.","Названия статусов, причины действий, регламент, подсказки, база знаний.","Нет proof, что админ/эксперт видят весь путь без ручного поиска.","red","Блокер операционного запуска с 5 экспертами.","Собрать role-based admin view: expert/agent/moderator/support/admin."
"SC13","Документы, FAQ, правила и переводы","Найдены FAQ, Terms, Privacy, Refund pages в Nebula public; live Confideline docs legacy.","Pages/languages/seo-translate есть как база.","HTML-ready Nebula Terms/Privacy/Refund/FAQ/disclaimer/checkout copy; финальные legal/payment решения позже.","Нужна сверка публичных страниц и checkout disclosure.","yellow","Готовить можно, финально публиковать нельзя без approval.","Собрать HTML-ready legal/content package с переменными и ссылками."
"SC14","Аналитика запуска, качество и экономика","Админка должна показывать события, SLA, качество, refunds, repeat, LTV/CAC.","Dashboard содержит funnel/revenue/expert/minute/repeat/LTV rows, но они не доказаны live-данными.","Названия метрик, объяснение статусов, weekly/monthly отчет.","Нет сквозного отчета по test order и источнику трафика.","red","Реклама запрещена до proof-аналитики.","После test order собрать отчет: source, order, payment status, answer, support, repeat."
