Область;Статус PM;Что PM делает сам;Какое доказательство нужно;Кого ждать;Когда дергать Алексея;Связь
Blue Panel и мастер-план;вести автономно;Убирать шум, добавлять понятные маршруты, связывать задачи с proof, публиковать результат;Опубликованная страница и рабочая ссылка;Никого;Если нужно изменить бизнес-приоритет;alexey-master-plan.html
Trello;read-only без команды;Читать карточки, комментарии, вложения, фиксировать текущие названия как источник истины;Ссылка на result/proof в Blue Panel после выполнения;PM, затем владелец карточки;Если карточка противоречит Blue Panel или стоит метка обновить;trello-june-fact-status.html
Источники и исследования;вести автономно;Извлекать доступные Google/Trello/локальные материалы, классифицировать надежность;Локальный артефакт, ссылка на оригинал, статус доступа;Никого пока ссылка открыта;Если доступ закрыт или источник нельзя распознать;pm-source-coverage-current-2026-06-06.html
Frontend/design Oracle/Nebula;готовить автономно;Делать screen contract: страница, действие, backend, контент, ошибка, QA;Источник дизайна и связка с backend/контентом;Антон/Игорь;Если Figma закрыта или дизайн-решение спорное;oracle-nebula-screen-contract-2026-06-06.html
Backend Confideline;нужен внешний proof;Формировать BA-пакеты, acceptance criteria, QA route, capture sheet;Safe order id, question id, assignment, answer, events, support, admin timeline;Игорь;Если Игорь не дает accepted proof или route невозможен;backend-admin-safe-order-execution-board-2026-06-06.html
Эксперты и обучение;готовить автономно;Собирать регламент, школу, scorecard, sample answers, журнал E01-E05;Анкета, пробный ответ, SLA, доступ, verdict по каждому эксперту;Ксения/E01-E05;Если эксперт не проходит или нужен founder decision по качеству;expert-training-to-admission-map-2026-06-06.html
Рабочее место эксперта;нужен runtime;Описать роли, вкладки, статусы, начисления, контроль качества и handoff Игорю;Эксперт видит задачу, отвечает, админ видит timeline и начисление;Игорь + E01;Если текущая админка не позволяет закрыть сценарий без разработки;expert-agent-workspace-handoff.html
Клиентский путь;нужен runtime;Собрать путь, тексты, ошибки, acceptance criteria и QA route;Один ID связывает оффер, заказ, вопрос, эксперта, ответ и support;Игорь + QA;Если клиентский путь противоречит дизайну/checkout/legal;paid-client-flow-proof-contract-2026-06-06.html
Уведомления, support, аналитика;нужен runtime;Собрать события, no-send, support states, purchase analytics acceptance;event_id, support_case_id, analytics row на одном order_id;Игорь + QA;Если нельзя доказать без реальной отправки или production;communications-support-analytics-execution-board-2026-06-06.html
QA перед трафиком;ждет READY;Готовить runbook, expected result, report shell, stop/warn/pass критерии;Публичный QA-отчет после accepted R01/R02;QA;Если QA не может воспроизвести путь или proof неполный;prelaunch-qa-proof-contract-2026-06-06.html
Маркетинг и первый трафик;готовить без запуска;Готовить оффер, UTM, stop-rules, daily report, CAC/LTV gate, channel policy checks;Go-decision после QA/capacity/docs/payment/analytics;Founder + PM;Перед любым бюджетом, публикацией или внешним трафиком;first-traffic-execution-board-2026-06-06.html
Legal/payment/founder decisions;PM не утверждает;Готовить варианты, риски, HTML-ready тексты, decision sheet;Утвержденные seller/provider/descriptor/refund/geography и path оплаты;Founder/legal/payment;Всегда, когда решение влияет на публичную продажу;public-docs-checkout-execution-board-2026-06-06.html
