"ID";"Операционный слой";"Статус";"Что должно происходить";"Что уже есть";"Что не доказано";"Кто следующий";"Accepted proof";"Ссылка"
"OPS01";"Заказ создан и виден админу";"красный";"После safe checkout появляется order_id, клиент, пакет, статус, следующий шаг";"Admin capture sheet AOC01-AOC02";"Нет runtime admin proof по safe order";"Игорь";"Скрин/route order card с test marker";"admin-operations-capture-sheet-2026-06-06.html"
"OPS02";"No-send события заказа";"красный";"Создаются события order/payment/question/assignment/answer/support без реальной отправки";"No-send sheet NSC01-NSC10";"Нет event_id/preview/external_send=false proof";"Игорь + QA";"NSC01-NSC10 accepted или WARN по вторичным событиям";"nosend-control-order-capture-sheet-2026-06-06.html"
"OPS03";"Клиент задал вопрос";"красный";"question_id связан с order_id/session/task_id и виден админу";"Screen contract SCR06, QA sheet";"Нет question runtime proof";"Игорь + QA";"Скрин order → question → task";"prelaunch-qa-capture-sheet-2026-06-06.html"
"OPS04";"Эксперт назначен и видит задачу";"красный";"performer/profile назначены, эксперт видит вопрос, SLA и поле ответа";"Expert contour, AOC03-AOC04";"Нет E01 accepted и workspace proof";"Игорь + PM/Ксения";"E01 accepted + workspace screenshot";"expert-launch-admission-control-2026-06-06.html"
"OPS05";"SLA и просрочки контролируются";"красный";"deadline виден, soon/overdue запускает owner/escalation/no-send preview";"Regulation v1, AOC05, NSC06";"Нет SLA runtime proof";"Игорь + Support";"Скрин deadline/overdue owner и event preview";"admin-operations-capture-sheet-2026-06-06.html"
"OPS06";"Ответ эксперта попадает клиенту";"красный";"answer_id связан с order/session, клиент видит результат, админ видит timeline";"QA sheet, screen contract SCR08";"Нет answer visibility proof";"Игорь + QA";"Скрин клиента + admin answer link";"prelaunch-qa-capture-sheet-2026-06-06.html"
"OPS07";"Support case создается по проблеме";"красный";"support_case_id связан с order, question/answer, performer, reason, owner";"Support capture sheet SPC01-SPC10";"Нет support_case runtime proof";"Support + Игорь + QA";"SPC01-SPC10 или accepted WARN";"support-problem-control-order-capture-sheet-2026-06-06.html"
"OPS08";"Support decision и closure";"красный";"Решение problem-case фиксируется, закрывается, влияет на quality/readiness";"Support sheet, AOC06";"Нет closure proof";"Support + PM";"resolution/closed screenshot + readiness impact";"support-problem-control-order-capture-sheet-2026-06-06.html"
"OPS09";"Качество и последствия для эксперта";"желтый";"Проблемный ответ должен влиять на scorecard, warning, hold или no-action reason";"Regulation v1, expert quality logic, AOC08-AOC09";"Нет test answer score и moderation proof";"PM + Ксения + QA";"Quality verdict tied to answer_id/performer_id";"expert-work-regulation-v1.html"
"OPS10";"Начисления/удержания preview";"желтый";"По test order видно earning preview/hold/deduction reason без реальной выплаты";"AOC12, compensation package";"Нет payout preview proof";"PM + Founder + Игорь";"Скрин preview начисления по order_id";"admin-operations-capture-sheet-2026-06-06.html"
"OPS11";"Daily dashboard PM/Admin";"красный";"Утром видно новые/без вопроса/без назначения/просрочено/жалобы/ответы/выручка/нагрузка";"AOC14 критерий";"Нет daily dashboard/report row";"PM + Игорь";"Один daily status screenshot/report row";"admin-operations-capture-sheet-2026-06-06.html"
"OPS12";"QA принимает весь post-payment путь";"красный";"QA проходит клиент/эксперт/админ/support/no-send и ставит PASS/WARN/STOP";"Prelaunch QA sheet QAC01-QAC15";"QA нельзя стартовать без safe order + E01 + no-send/admin/support READY";"QA + PM";"Published QA report with screenshots and verdict";"prelaunch-qa-capture-sheet-2026-06-06.html"
