ID;Экран/участок пути;Дизайн;Backend/админка;Контент;QA proof;Статус;Следующий шаг
CS01;Landing / вход с рекламы;Макеты/публичные страницы есть частично;CTA должен вести в регистрацию/услугу/заказ с source tracking;Оффер, FAQ, trust, disclaimer, UTM-ready ссылки;Клик до checkout/order не доказан;Желтый;Сверить каждый CTA с действием backend
CS02;Регистрация / вход;Login/signup/forgot есть в источниках;Auth база есть, но нужен возврат в коммерческий путь;Ошибки, privacy note, service emails;Guest -> signup -> продолжить покупку не доказано;Желтый;Включить auth в safe test order
CS03;Выбор услуги / эксперта;Каталог/карточки экспертов есть частично;Нужны visibility, availability, language, manual assignment;Профиль, темы, цена, срок ответа, ограничения;Выбор эксперта -> заказ не доказан;Красный;Закрыть правила видимости 5 экспертов
CS04;Checkout / пакет первой консультации;Есть элементы payment/terms, но starter package не доказан;Нужен safe order без реального платежа и payment status;Цена, что входит, refund review, descriptor later, disclaimer;Safe checkout/order proof отсутствует;Красный;Игорь показывает safe test order
CS05;Форма вопроса клиента;Есть частичные onboarding/intake идеи;Вопрос должен стать частью order/session/expert task;Подсказки хорошего вопроса, категории, ограничения, privacy;Question binding не доказан;Красный;Сделать question -> order -> admin proof
CS06;Кабинет клиента / статус консультации;ЛК/чат макеты есть, paid states не закрыты;Нужен единый status lifecycle: created/assigned/answered/issue/closed;Статусы ожидания, результата, support, follow-up;Клиентский статус после заказа не доказан;Красный;Собрать status screen contract
CS07;Чат / ответ эксперта;Messenger/chat screens есть как база;Messages база есть, но paid consultation lifecycle не доказан;SLA, transcript, ограничения, failed/sending states;Client/expert/admin в одном заказе не доказаны;Красный;Связать chat с order, expert, SLA и no-send
CS08;Support / жалоба / refund review;Клиентский support экран первой версии не выделен полностью;Нужен support case, связанный с order/session/expert;Причины обращения, сроки, статусы, правила review;Problem-state proof отсутствует;Красный;Пройти один problem-state сценарий
CS09;Email / уведомления / no-send;Не отдельный экран, но часть пользовательского пути;Notification events должны писаться без реальной отправки;Service и retention шаблоны, переменные, отписка/consent;No-send event log отсутствует;Красный;Снять no-send log на safe order
CS10;Админка / рабочее место эксперта;Admin/workspace контуры есть частично;Нужны очередь задач, назначение, SLA, ответ, support, начисления;Регламент, подсказки, база знаний, quality scorecard;Runtime под ролью эксперта/агента не доказан;Красный;Показать роль исполнителя на test order
CS11;Документы / FAQ / дисклеймеры;FAQ/privacy/terms pages есть частично;Нужно место управления/размещения на сайте;HTML-ready Terms/Privacy/Disclaimer/Refund/FAQ;Финальные public docs не утверждены;Желтый;Готовить пакет, не утверждать legal
CS12;Аналитика / отчет запуска;Dashboard как клиентский экран не нужен, но нужен PM/admin report;Нужны source/order/value/expert/support/repeat поля;Daily report, CAC/LTV, stop signals;Purchase analytics proof отсутствует;Красный;Снять purchase event на safe order
