"Code","Block","Status","Meaning","Decision","Proof","Missing","Next","Link"
"S0","Платформа сначала","Зеленый","Мы строим не отдельный эзотерический сайт, а универсальную платформу платного общения и консультаций.","Confideline используется как backend/админка, Oracle/Nebula — как первый тематический фронт.","Есть мастер-план, реестр доказательств и июньский план на 160 часов.","Не доказан полный контрольный заказ на рабочем сайте.","Закрывать универсальный путь услуги до нишевой полировки.","alexey-master-plan.html"
"S1","Рынок и аудитория","Желтый","Запусковая аудитория покупает не “астрологию как теорию”, а понятный ответ и эмоциональную поддержку.","Оффер строить вокруг платной текстовой консультации, ответа эксперта, follow-up и доверия.","Собраны Google/Trello источники по рынку и конкурентам.","Нет фактического рекламного теста, CAC/LTV и первого retention proof.","Использовать выводы в экранах, email и первом go/no-go маркетинговом плане.","google-strategy-sources.html"
"S2","Конкуренты и УТП","Желтый","Конкуренты сильны в воронке и эмоции, но часто слабы после оплаты: шаблонность, мутные подписки, падение доверия.","Не копировать темные механики. Делать честный платный текстовый ответ, контроль качества и понятные правила.","Есть выводы по AskNebula/PbExpert/Kasamba/Purple Garden и карта стратегии → июнь.","Оффер и paid-flow не подтверждены на рабочем клиентском пути.","Сверить Oracle/Nebula экраны с backend, контентом и состояниями.","strategy-june-execution-map.html"
"S3","Главный продукт запуска","Красный","Запусковый продукт — не портал и не просто чат, а оплаченный запрос с результатом.","Минимальная услуга: клиент оплачивает, задает вопрос, исполнитель отвечает, support видит проблему, события фиксируются.","PM-пакеты test order, QA и handoff подготовлены.","Нет runtime proof одного полного заказа.","Закрыть gate и провести контрольный заказ без реального списания и писем.","test-order-readiness-gate.html"
"S4","Универсальное ядро сайта","Желтый","Dating-наследие полезно как универсальные кирпичи: профили, поиск, чат, роли, админка, платежи.","Не выкидывать dating-базу, а отделять универсальное от того, что мешает платной консультации.","Есть backend/admin readiness, code evidence и карта админских маршрутов.","Единый путь консультации в админке не доказан.","Игорю передавать только конкретные пакеты: заказ, вопрос, исполнитель, support, события.","backend-admin-readiness-map.html"
"S5","Фронт Nebula / Oracle","Желтый","Фронт — не просто дизайн. Он должен вести клиента к покупке, вопросу, ожиданию, ответу и поддержке.","Каждый экран оценивать по трем слоям: макет есть, backend-функция есть, контент/состояния есть.","Есть карта экранов и дизайн-function-content crosswalk.","Не все paid-flow состояния подтверждены как сверстанные и связанные с backend.","Антону и Игорю давать правки по конкретным сценариям, а не по вкусу.","nebula-design-function-content-crosswalk.html"
"S6","Эксперты и школа","Желтый","Первые 5 экспертов — операционный ресурс, который нужно обучить и контролировать.","На старте достаточно школы v1: материалы, регламент, тест, симуляция ответа, ручной допуск.","Материалы обучения извлечены, школа v1 и журнал допуска созданы.","Нет финальной ревизии Ксении и фактического допуска каждого из 5 экспертов.","Дать Ксении ревизорскую задачу и обновить журнал допуска.","expert-school-v1-operational-pack.html"
"S7","Рабочее место эксперта и агента","Красный","Исполнитель должен закрывать консультацию внутри сайта, а не через внешние ручные процессы.","Нужны задача, вопрос, срок, чат, статус, начисление, quality link и видимость админа.","Пакет рабочего места собран как ТЗ.","Не доказано назначение и ответ исполнителя на реальном test order.","Проверить рабочее место на контрольном заказе.","expert-agent-workspace-handoff.html"
"S8","Support, уведомления и проблемные ситуации","Красный","Первые клиенты неизбежно создадут просрочки, жалобы, недовольство и вопросы по оплате.","Support и уведомления считать частью MVP, а не второстепенной доработкой.","Есть пакеты events/no-send и support/refund.","Нет проблемного сценария и no-send timeline на контрольном заказе.","Включить support и уведомления в test order QA.","co2p-support-refund-service-session.html"
"S9","Документы и checkout","Красный","Перед оплатой клиент должен понимать условия, дисклеймеры, возвраты и кто продает услугу.","Готовить HTML-ready пакет, но финал держать за legal/payment/founder gate.","Есть co2p legal checkout public docs.","Не утверждены юрлицо, payment provider, descriptor, refund window, geography.","Не публиковать финальные документы и checkout без этих решений.","co2p-legal-checkout-public-docs.html"
"S10","Маркетинг и первый трафик","Красный","Трафик без доказанной услуги, support и уведомлений создаст хаос и сожжет доверие.","Маркетинг готовим, но первый трафик включаем только после QA по контрольному заказу.","Есть go/no-go логика, stop-сигналы и маркетинговый пакет.","Нет QA PASS/WARN, capacity proof 5 экспертов и финальных legal/payment gates.","Держать рекламу запрещенной до proof.","co2p-marketing-first-traffic-gonogo.html"
"S11","Масштабирование","Желтый","AI, приложение, SEO, инфлюенсеры и подписки имеют смысл только после подтвержденной базовой услуги.","Не расширять хаотично функции до доказанного заказ→ответ→support→repeat пути.","Есть стратегия октября+ и светофор готовности.","Нет данных первых продаж, экономики, качества, repeat и загрузки экспертов.","Вернуться к масштабированию после контрольного запуска и первых метрик.","launch-readiness-master-control.html"
