"N","Source","Status","Proof","Accept","Changes","Reject","Next","Link"
"1","Игорь","Красный","AC01-AC09 по безопасному контрольному заказу","Ссылки/скрины admin route, order_id, session/task id, assignment, workspace, event log, support case, no real charge/no real send","Backend/admin, клиентский путь, рабочее место, уведомления, support","Устное “работает”, один скрин без ID, реальный платеж, реальная отправка писем","Передать/принять контракт Игорю и собрать proof по test order","igor-test-order-acceptance-contract.html"
"2","QA / тестировщик","Красный","PASS/WARN/STOP по полному контрольному заказу","Публичный отчет, скрины по шагам, дефекты, severity, raw evidence, итоговый verdict","Launch readiness, PM objective audit, Trello result links после приемки","Чек-лист без скринов, переписка вместо отчета, отчет без order/session marker","Запустить только после READY gate от Игоря","qa-test-order-execution-brief.html"
"3","Ксения","Желтый","Ревизия школы и регламента + пробный экспертный ответ","Замечания по понятности, оценка уроков, тестовый ответ, scorecard, рекомендации по допуску","Обучение, регламент, допуск первых 5 экспертов","Общее “нормально”, без замечаний и без тестового ответа","Дать пакет ревизии и заполнить admission journal","first-five-expert-admission-execution-pack.html"
"4","Первые 5 экспертов","Красный","Фактическое прохождение допуска каждым экспертом","Expert id/profile, уроки/тест, пробный ответ, SLA, PM verdict, capacity","Expert readiness, first traffic capacity, assignment readiness","Список имен, устное “готовы”, отсутствие пробного ответа","Заполнить E01-E05 / EP01-EP10","first-five-expert-admission-journal.html"
"5","Антон","Желтый","Обновленные экраны/состояния платной воронки","Ссылки/скрины Figma или опубликованный дизайн-пакет: оффер, checkout, вопрос, чат, support, FAQ, error states","Frontend/design, screen/backend/content control","Красивый макет без сценария, без backend/action states, без ошибок","Сверить экранные контракты с paid-flow","frontend-design-backend-evidence-inventory.html"
"6","Основатель / legal / payment","Желтый","Решения по seller/provider/descriptor/refund/geography и legal review","Явное решение/документ/ссылка, что можно ставить в checkout и public docs","Legal/checkout, launch geography, payment readiness","Неопределенное “позже решим”, решение без refund/payment boundary","Держать gate видимым, финал не публиковать до решения","legal-checkout-docs-evidence-inventory.html"
"7","PM / Codex","Зеленый","Proof-страница Blue Panel + CSV + link audit","Публичная страница, CSV, статус, что доказано/не доказано, следующий шаг","PM-контур, мастер-план, handoff, readiness","Текст в чате без страницы, CSV без понятного UI, ссылка 404","Поддерживать и публиковать каждый завершенный результат","pm-evidence-trust-standard.html"
"8","Trello","Желтый","Карточка как постановка/план и ссылка на результат после выполнения","Оригинальная постановка сохранена, результат добавлен ссылкой на Blue Panel, статус/чеклист обновлены по факту","План июня, согласование с Заказчиком, команда","Карточка как доказательство внедрения, перетирание постановки результатом, технический шум","Не редактировать без команды, при результате добавлять proof-ссылку","trello-current-source-snapshot.html"
"9","Confideline backend/admin runtime","Красный","Фактические страницы/логи/ID на рабочем или test/local контуре","Admin URL/скрины/логи с единым marker, test isolation, no-send/no-charge","Backend readiness, admin visibility, runtime proof","Кодовая гипотеза без запуска, старый 404 route, скрин без данных заказа","Принимать через AC01-AC09 и PF01-PF12","backend-admin-function-evidence-inventory.html"
"10","GitHub Pages / QA reports","Зеленый","Публичная ссылка на результат или отчет","200 OK, актуальный контент, версия/commit, нет 404","Доступность proof для Заказчика, Игоря, QA, Ксении","Raw-only без Pages после задержки, 404, stale content","После публикации проверять Pages и фиксировать commit","stakeholder-link-audit.html"
