layer,status,proven_or_collected,missing,next_proof,link
Backend Confideline,частично,"заказы платежи сообщения уведомления reports users roles","paid consultation lifecycle","снять STOP Игорю",igor-gate-red-conditions-handoff.html
Frontend/design Oracle/Nebula,частично,"source contract screen contract crosswalk","P0 paid states связка с backend","screen-by-screen сверка",screen-backend-content-control.html
Trello,рабочий контур,"план июня fact status update pack","карточки не обновлены в этом проходе","добавить proof-ссылки после согласования",trello-june-status-update-pack.html
Blue Panel,готова,"публичная панель мастер-план readiness proof-ledger","нужно поддерживать актуальность","обновлять после каждого proof",../index.html
Документы/legal/checkout,approval gate,"структура документов disclosure refund boundary","seller payment descriptor refund geography approval","HTML-ready пакет после decisions",co2p-legal-checkout-public-docs.html
Обучение экспертов,методика есть,"материалы школа v1 журнал задача Ксении","нет допуска 5 экспертов","заполнить admission journal",first-five-expert-admission-journal.html
Экспертский контур,runtime нет,"workspace quality compensation regulation","эксперт не доказан на consultation task","проверить assignment/workspace/answer",expert-agent-workspace-handoff.html
Клиентский путь,runtime нет,"путь описан test order package QA route","нет offer checkout question answer support proof","QA после READY gate",test-order-handoff-bundle.html
Админка,база есть,"admin maps dashboard reports orders messages","нет admin route по заказу","FX11 admin URL и QA доступ",qa-test-order-preflight.html
Support,runtime нет,"support/refund packages failure states","нет ticket linked to order/session/chat/expert","support case на test_run_id",support-refund-launch-control.html
Email/уведомления,пакет есть,"email handoff events templates variables","no-send timeline не доказан","FX09/AC06 event preview",nosend-event-proof-matrix.html
QA,главный отчет отсутствует,"QA brief preflight shell evidence naming","нет QA PASS/WARN/STOP","runtime QA после READY",qa-test-order-execution-brief.html
Маркетинг/экономика,готовить можно,"go/no-go economics stop signals","нет QA PASS legal/payment capacity","не покупать трафик",marketing-traffic-launch-control.html
Запуск MVP,запуск нельзя,"мастер-план execution co2p-пакеты","test order expert support no-send legal/payment","снять STOP пройти QA",launch-readiness-master-control.html
Мастер-план,готов как PM-слой,"план для Алексея июнь fact status update pack","обновлять после runtime","фокус контрольный заказ",alexey-master-plan.html
