"ID","Scenario","Status","Design","Backend","Content","Missing","Next","Owner","Proof"
"SC01","Вход с рекламы и коммерческая страница","Желтый","Публичные Nebula pages есть: Home, Tarot, Palm, Love, Ask Psychic, Psychic Chat и другие.","Нужна связка CTA с регистрацией, выбором услуги/эксперта и созданием заказа.","Оффер, trust, FAQ, цена/формат, дисклеймер, правила.","Нет proof сквозного клика до контрольного заказа.","Сопоставить каждый CTA с backend-действием и test-order маршрутом.","PM + Антон + Игорь","frontend-design-readiness-map.html"
"SC02","Регистрация, вход и восстановление доступа","Желтый","Есть login, signup-step-1, signup-step-2, forgot password.","Confideline имеет user/auth базу.","Сервисные письма, privacy note, тексты ошибок, языки.","Не доказан возврат клиента к покупке после входа/регистрации.","Включить guest/auth/forgot в сценарий контрольного заказа.","Игорь + QA","client-journey-readiness-map.html"
"SC03","Онбординг после регистрации","Желтый","Есть HTML prototype post-signup onboarding modal; production Figma frame не подтвержден.","Нужны сохранение intent, тема, формат, вопрос и match экспертов.","Вопросы анкеты, подсказки, birth data при необходимости, privacy text.","Нет proof, что intent переносится в кабинет/заказ.","Антону production frame, Игорю хранение intent и связь с заказом.","PM + Антон + Игорь","nebula-design-function-content-crosswalk.html"
"SC04","Подбор и каталог экспертов","Желтый","Есть psychics dashboard, all-psychic, advisor cards, favorites, expert sidebar variants.","Dating-поиск можно использовать как базу, но нужны availability, ranking, language, price/package.","Профили, специализации, рейтинг, trust, языки, дисклеймеры.","Нет proof, что выбранный эксперт связан с платной консультацией.","Описать ранжирование, видимость и fallback при offline/busy.","PM + Игорь + Антон","backend-frontend-proof-map.html"
"SC05","Профиль эксперта","Желтый","Есть expert-page-new, psychic profile page, modal profile card.","Есть profile/user foundation; нужны expert fields, moderation, verified/status, availability.","Описание, опыт, темы, отзывы, цена, доступность, что будет после оплаты.","Нет proof, что профиль ведет в конкретный checkout/session.","Сверить поля профиля с админкой и регламентом эксперта.","PM + Игорь","expert-contour-readiness-map.html"
"SC06","Пакет услуги и checkout","Красный","Есть generic payment modal/terms/refund, но нет полноценного starter package внутри кабинета.","Найдены orders/payment settings/balance база; реальные платежи не трогать.","Цена, что входит, срок ответа, refund note, legal microcopy, descriptor позже.","Нет контрольного заказа без списания и нет purchase event proof.","Сделать safe test order и checkout handoff без реального платежа.","Игорь + PM + QA","test-order-readiness-gate.html"
"SC07","Вопрос клиента к эксперту","Красный","Частично есть в onboarding prototype; production question intake после/до оплаты отсутствует.","Нужна связь order → question → consultation/session → expert task.","Topic chips, вопрос, подсказки, ограничения, attachments, privacy.","Нет proof, что вопрос не теряется и виден эксперту/админу.","Сделать карточку консультации, где вопрос является частью заказа.","Игорь + QA","test-order-runtime-cockpit.html"
"SC08","Платный чат и жизненный цикл консультации","Красный","Есть chatroom screens, но нет полной paid lifecycle полосы.","Есть messages/admin chat база; service session lifecycle не доказан.","Статусы free/paid/waiting/ended, low credits, delayed expert, failed message.","Нет proof client/expert/admin в одном заказе.","Связать chat с заказом, дедлайном, назначением, событиями и support.","Игорь + QA","co2p-expert-agent-workspace-service-session.html"
"SC09","Асинхронный ответ, результат, transcript, follow-up","Красный","Missing design для async reading / transcript / follow-up.","Нужны статусы submitted/preparing/ETA/delivered/follow-up/repeat.","Итог ответа, оценка, продолжить с тем же экспертом, email result.","Нет экрана результата и repeat proof.","Антону result/transcript/follow-up states; PM контент и сценарий repeat.","PM + Антон + Игорь","client-journey-readiness-map.html"
"SC10","Support, жалоба, возврат внутри кабинета","Красный","Есть public legal/FAQ/refund; in-cabinet support/refund/report states не покрыты.","Есть Report/Block/Ban база и support foundation; paid support case не доказан.","Причины обращения, SLA support, refund window later, шаблоны ответов.","Нет проблемного сценария на test order.","Сделать support case, связанный с заказом, чатом, платежом и решением.","Игорь + QA + PM","support-refund-launch-control.html"
"SC11","Email, уведомления и возврат клиента","Желтый","UI должен показывать статусы; return states в LK weak/missing.","Notification model, manager, queue, mailer найдены; service_session события не доказаны.","Transactional и operational шаблоны: заказ, вопрос, назначение, ответ, просрочка, support.","Нужен no-send proof по контрольному заказу.","Собрать event map вокруг test order без реальных отправок.","Игорь + QA","events-notifications-launch-control.html"
"SC12","Операционная админка, эксперт, агент, модератор","Красный","Можно стартовать через вкладки админки по роли, не обязательно отдельный кабинет.","Есть users, roles, messages/chat, orders, reports, bans, dashboard; unified operations center не доказан.","Названия статусов, причины действий, регламент, подсказки, база знаний.","Нет proof, что админ/эксперт видят весь путь без ручного поиска.","Собрать role-based admin view: expert/agent/moderator/support/admin.","Игорь + QA + PM","backend-admin-readiness-map.html"
"SC13","Документы, FAQ, правила и переводы","Желтый","FAQ, Terms, Privacy, Refund pages найдены в Nebula public; live Confideline docs legacy.","Pages/languages/seo-translate есть как база.","HTML-ready Nebula Terms/Privacy/Refund/FAQ/disclaimer/checkout copy; финальные legal/payment решения позже.","Нужна сверка публичных страниц и checkout disclosure.","Собрать HTML-ready legal/content package с переменными и ссылками.","PM + основатель/legal","co2p-legal-checkout-public-docs.html"
"SC14","Аналитика запуска, качество и экономика","Красный","Админка должна показывать события, SLA, качество, refunds, repeat, LTV/CAC.","Dashboard содержит funnel/revenue/expert/minute/repeat/LTV rows, но они не доказаны live-данными.","Названия метрик, объяснение статусов, weekly/monthly отчет.","Нет сквозного отчета по test order и источнику трафика.","После test order собрать отчет: source, order, payment status, answer, support, repeat.","PM + QA + Игорь","marketing-economics-readiness-map.html"
