"id","req","label","evidence","gap","next","proof"
"R01","Автономно собрать доказательную базу текущего состояния","желтый","Есть Blue Panel, реестр доказательств, аудит PM-цели, screen/backend/content map, gate контрольного заказа, owner map.","Доказательная база еще не полная: runtime proof сайта, реальные QA-скрины, no-send log и допуск экспертов отсутствуют.","Продолжать сбор только через proof-страницы: каждый новый факт получает ссылку, статус и владельца.","pm-current-state-proof-ledger.html; pm-objective-completion-audit.html"
"R02","Backend Confideline","желтый","Backend/admin принят как база проекта; есть карты admin/backend readiness и контракт контрольного заказа Игорю.","Нет доказанного end-to-end пути order -> question -> session -> assignment -> answer -> support -> events.","Закрыть AC01-AC09 на контрольном заказе.","backend-admin-readiness-map.html; igor-test-order-acceptance-contract.html"
"R03","Frontend/design Oracle/Nebula","желтый","Есть карта экранов/сценариев и понимание frontend поверх Confideline backend.","Не все макеты и сверстанные страницы сопоставлены с backend-функцией, контентом, пустыми/ошибочными состояниями и QA.","Довести каждый ключевой экран по формуле: экран -> backend -> контент -> состояние -> proof.","screen-backend-content-control.html; anton-oracle-nebula-design-fixes.html"
"R04","Trello как источник задач месяца","желтый","Есть план июня, факт-статус Trello и правило: текущие названия карточек не менять без команды.","Не все карточки имеют фактический результат внедрения; часть является постановкой или PM-пакетом.","После выполнения карточки добавлять ссылку на Blue Panel, не подменяя исходную постановку.","june-plan.html; trello-june-fact-status.html; june-card-fact-readiness.html"
"R05","Blue Panel как инфраструктура контроля","зеленый","Панель опубликована, есть главный маршрут, страницы для Алексея, стратегии, июня, готовности, доказательств, аудит ссылок.","Требуется поддерживать актуальность после каждого изменения, иначе панель снова станет устаревшей.","Каждый PM-результат публиковать как страницу/CSV и проверять ссылки перед внешней ссылкой.","index.html; alexey-master-plan.html; blue-panel-link-audit.html"
"R06","Документы, legal, policy, disclaimer, checkout wording","желтый","Есть структура public docs и legal/checkout пакета.","Финальные тексты зависят от legal seller, payment provider, descriptor, refund window и launch geography.","Готовить HTML-ready пакет, но не публиковать финал до founder/legal/payment gate.","legal-docs-readiness.html; legal-content-package.html; co2p-legal-checkout-public-docs.html"
"R07","Обучение и школа экспертов","желтый","Материалы обучения извлечены, собраны школа v1, регламент и задача Ксении на ревизию.","Нет финальной ревизии, тестовых результатов и подтверждения, что обучение применимо на ответах первых экспертов.","Провести ревизию, проверить пробные ответы и обновить регламент по факту.","expert-training-materials-register.html; expert-school-v1-operational-pack.html; ksenia-expert-school-review-task.html"
"R08","Первые 5 экспертов","красный","Есть журнал допуска и процесс ручного допуска.","Нет заполненного допуска каждого эксперта: тест, пробный ответ, качество, SLA, решение о допуске.","Заполнить журнал по каждому из 5 экспертов и присвоить готов/доработка/не допущен.","first-five-expert-admission-journal.html"
"R09","Экспертский/агентский контур","красный","Есть handoff рабочего места эксперта/агента.","Нет доказательства, что исполнитель реально получает задачу, видит вопрос/срок и отправляет ответ в системе.","Проверить workspace на контрольном заказе.","expert-agent-workspace-handoff.html; co2p-expert-agent-workspace-service-session.html"
"R10","Клиентский путь платной консультации","красный","Путь описан и есть QA/handoff для контрольного заказа.","Нет фактического прохода: оффер -> checkout -> вопрос -> ожидание -> ответ -> support/follow-up.","Запускать контрольный заказ только после READY gate.","test-order-readiness-gate.html; qa-test-order-execution-brief.html"
"R11","Админка и операционная видимость","красный","Есть admin/backend maps и список обязательных proof-точек.","Не доказано, что админ видит один заказ во всех нужных местах без ручного поиска.","Снять proof по order, question, session, assignment, chat, events, support.","backend-admin-runtime-gap-matrix.html; backend-admin-readiness-map.html"
"R12","Support, тикеты, просрочки, возвраты","красный","Есть support/refund launch control и problem acceptance matrix.","Нет рабочего support-case, связанного с заказом, чатом, экспертом и решением.","Смоделировать просрочку или недовольство клиента в рамках test order.","support-refund-launch-control.html; support-problem-acceptance-matrix.html"
"R13","Email, уведомления, рассылки, no-send","желтый","Есть пакет событий, уведомлений и no-send proof matrix.","Нет журнала событий на одном контрольном заказе; реальные письма запрещены.","Проверить no-send события order/question/assignment/answer/support/follow-up.","events-notifications-launch-control.html; nosend-event-proof-matrix.html; email-notifications-handoff.html"
"R14","QA перед трафиком","красный","Есть QA brief, template, public report shell и evidence naming.","Нет фактического QA PASS/WARN/STOP по рабочему сайту.","После READY gate провести QA и опубликовать отчет.","qa-test-order-execution-brief.html; test-order-runtime-public-report-shell.html"
"R15","Маркетинг, первый трафик, LTV/CAC","красный","Есть go/no-go логика, stop-сигналы и рамка первого теста.","Нет QA PASS, capacity proof 5 экспертов, legal/payment решений и подтвержденной экономики.","Готовить материалы, но не покупать трафик до контрольного заказа и пересчета готовности.","co2p-marketing-first-traffic-gonogo.html; launch-before-traffic-action-plan.html"
"R16","Классификация красный/желтый/зеленый","зеленый","Светофор есть в PM audit, launch readiness, proof ledger, этой матрице и CSV.","Статусы должны меняться только по новым фактам, а не по ожиданиям.","После каждого proof обновлять все связанные светофоры.","pm-objective-completion-audit.html; launch-readiness-master-control.html"
"R17","Выявить пробелы и блокеры","зеленый","Есть red route, owner map, current next action board, team action queue.","Часть блокеров требует runtime-доказательств от Игоря/QA, PM не может закрыть их только документами.","Двигаться по красному маршруту до снятия STOP gate.","red-route-execution-plan.html; red-blockers-owner-map.html; current-next-action-board.html; team-action-queue.html"
"R18","Понятный мастер-план с proof-ссылками и next steps","зеленый","Есть страница для Алексея, план июня, готовность запуска, ближайшие действия и proof ledger.","Мастер-план остается живым: после runtime QA нужно пересчитать месяцы и статусы.","После контрольного заказа обновить мастер-план и Trello-факт.","alexey-master-plan.html; june-plan.html; launch-readiness-master-control.html"
