Зона;Статус;Почему полезно;Почему не сейчас;Условие входа;Что PM делает сейчас;Что считается proof
AI-ассистент на сайте;Будущее / проектировать можно;Может снизить нагрузку на support и помогать собрать вводные до консультации;Без core proof будет маскировать слабый основной путь услуги;Есть безопасный заказ, QA verdict, privacy/disclaimer wording и правила передачи человеку;Собрать mini-PRD и границы применения;Mini-PRD, сценарии, ограничения и approval gate
AI-сводка диалога для эксперта;Будущее / ближе к ops;Помогает эксперту быстрее понимать контекст и не терять важные детали;Нельзя заменять эксперта и нельзя внедрять без правил доступа к transcript;Есть рабочее место эксперта, runtime чат, правила качества и privacy;Описать helper-режим, запреты и acceptance criteria;Документ: где AI помогает, где запрещен, как эксперт подтверждает ответ
Автопродвижение анкет;Будущее / после базового ранжирования;Повышает видимость сильных экспертов и управляет supply;До метрик качества может создать несправедливость и абьюз;Есть scorecard качества, SLA, рейтинг, admin override и anti-abuse;Собрать концепцию ранжирования;Матрица факторов видимости и правил ручного override
Масштабирование команды экспертов;Будущее / после capacity proof;Позволяет обслуживать больше клиентов;5 экспертов еще не допущены proof-фактами;E01-E05 допущены, capacity подтвержден, quality control работает;Описать критерии набора следующей волны;Пороговые метрики для старта набора
Mobile app и push;Будущее;Улучшает удержание и возвращаемость;Web MVP и retention baseline еще не доказаны;Есть повторные покупки, notification proof и понятная unit-economy;Зафиксировать как post-MVP product track;Decision note: когда app имеет смысл
Подписка и repeat products;Будущее / founder/legal/payment gate;Увеличивает LTV;Подписки повышают юридические и платежные риски, а one-time flow не доказан;Доказана разовая покупка, refund/support, legal/payment path;Подготовить варианты repeat-offers без скрытой подписки;Сравнение моделей: one-time, package, voluntary subscription
Lifecycle CRM;Будущее / готовить можно;Возвращает пользователя после первой консультации;Без no-send и событий заказа рассылки опасны;Есть events/no-send proof, сегменты, opt-out и support handling;Собрать карту событий и сценарии возврата;Lifecycle map с событиями, текстами и запретами
AI quality control / moderation;Будущее / ops-помощник;Может подсвечивать плохие ответы, рисковые обещания и нарушения регламента;Нет достаточного массива ответов и scorecard;Есть регламент, примеры ответов, QA rubric и реальные ответы;Собрать rubric и правила ручной проверки;Quality rubric и пример разметки ответов
Мультиязычность и переводы;Будущее / после English MVP;Расширяет рынки и позволяет связывать клиентов/экспертов разных языков;До английского MVP добавит support/quality complexity;Есть English MVP proof, language support flow и translator fallback;Описать языковой gate и риски;Language readiness checklist
SEO/инфлюенсеры/внешние площадки;Готовить можно, запуск после gates;Создает поток заявок и доверие;Нельзя вести трафик на непроверенный paid flow;Есть QA PASS/WARN, docs checkout, analytics и capacity;Собрать pre-traffic backlog и policy constraints;Backlog внешнего роста с условиями go/no-go
