"Слой";"Статус";"Что уже есть";"Чего не хватает";"Следующий шаг";"Владелец";"Proof"
"Стратегия и PM-контур";"Зеленый";"Platform-first логика, Blue Panel, proof-index, dispatch, intake";"Поддерживать актуальность после proof";"Использовать как основу разговора";"PM";"launch-readiness-proof-index-2026-06-06.html"
"Текущий сайт и backend";"Красный";"Backend/admin база Confideline";"Safe order lifecycle proof";"Игорь показывает safe control order";"Игорь";"admin-operations-capture-sheet-2026-06-06.html"
"Дизайн Oracle/Nebula";"Желтый";"Макеты и screen contracts";"Связка экран-backend-content-error-QA";"Антон+Игорь screen contract";"Антон/Игорь";"screen-contract-capture-sheet-2026-06-06.html"
"Эксперты";"Красный";"5 экспертов, база обучения";"0/5 accepted admission";"Принять E01, затем E01-E05";"PM/Ксения";"first-five-expert-admission-capture-sheet-2026-06-06.html"
"Клиентский путь";"Красный";"Путь описан";"Нет safe order от клиента до ответа";"Контрольный заказ";"Игорь/QA";"prelaunch-qa-capture-sheet-2026-06-06.html"
"Email и уведомления";"Красный";"No-send sheet";"Нет event log proof";"No-send проверка";"Игорь/QA";"nosend-control-order-capture-sheet-2026-06-06.html"
"Support и проблемы";"Красный";"Support sheet";"Нет support case proof";"Safe problem-case";"Support/QA";"support-problem-control-order-capture-sheet-2026-06-06.html"
"Админка";"Красный";"Admin capture sheet";"Нет runtime admin proof";"Admin видит весь путь";"Игорь/QA";"admin-operations-capture-sheet-2026-06-06.html"
"Документы и checkout trust";"Красный";"PDC sheet";"Нет final legal/payment/founder approval";"HTML-ready пакет и founder decisions";"PM/founder";"public-docs-checkout-capture-sheet-2026-06-06.html"
"Аналитика CAC/LTV";"Красный";"PAC sheet";"Нет source/session/order/value связки";"PAC proof на safe order";"Игорь/PM";"purchase-analytics-control-order-capture-sheet-2026-06-06.html"
"QA перед трафиком";"Красный STOP";"QA sheet готов";"Нет READY для QA";"QA после safe order и accepted expert";"QA";"prelaunch-qa-capture-sheet-2026-06-06.html"
"Маркетинг и первый трафик";"Красный запрещен";"Traffic preflight есть";"Нет QA PASS/WARN, capacity, analytics, docs approval";"Трафик только после gates";"PM/founder";"first-traffic-preflight-operating-board.html"
