Приоритет;Контракт;Статус;Почему важен;Антону;Игорю;Контент;QA / proof;Следующий шаг PM;Связь с июнем
P0-01;Оффер → CTA → начало заказа;красный runtime не доказан;Без понятного оффера и рабочего CTA клиент не доходит до оплаты/заказа;Hero trust цена/формат CTA states mobile недоступность услуги;CTA ведет в route регистрации/выбора услуги/test order marker;Оффер срок ответа что входит disclaimer FAQ trust microcopy;Скрин CTA + route + created order marker or next state;Свести CTA каждой коммерческой страницы к test-order маршруту;JUN-08 + JUN-UX
P0-02;Checkout / safe test order;красный главный блокер;Без safe order невозможно проверить услугу админку уведомления QA;Checkout success fail cancel duplicate no-charge/test marker;Order id payment/test status service package amount/currency no real charge;Цена состав пакета refund note consent payment status wording;Order id + admin card + no-charge proof + success/fail screen;Держать как первый runtime-запрос Игорю;JUN-08 + JUN-07
P0-03;Вопрос клиента как часть заказа;красный binding не доказан;Если вопрос не связан с заказом эксперт и support не смогут работать;Question form topic chips examples privacy empty/too long/language;order_id question_id session/task client_id expert/queue marker;Подсказки ограничения примеры language/privacy text;Один marker виден клиенту админу исполнителю;Добавить question binding в приемку Игоря;JUN-08 + JUN-07
P0-04;Админская карточка заказа;красный не доказано;Админ должен видеть весь путь без ручного поиска;Если есть admin design сверить иначе задать поля;Order question assignment SLA answer events support audit log;Названия статусов причины действий подсказка next action;Скрин admin route по одному order marker;Включить в пакет Игорю;JUN-07 + JUN-08
P0-05;Рабочее место эксперта/агента;красный не доказано;Услуга не существует пока исполнитель не отвечает;Task list task card answer composer SLA warning submit states quality reminder;Assignment role access task status answer draft/final admin visibility compensation later;Регламент подсказки запреты quality checklist escalation;Скрины до ответа после submit admin status updated;Связать с допуском эксперта и runtime QA;JUN-06 + JUN-07
P0-06;Ответ клиенту / результат / follow-up;красный missing/weak;После оплаты клиент должен получить результат и путь продолжения;Result page transcript/history rating repeat CTA support link delayed state;Delivered status answer id transcript repeat/follow-up event log;Заголовок результата disclaimer next step оценка повторная продажа;Скрин результата + delivered event + follow-up/support CTA;Поставить Антону дочерний контракт result/transcript/follow-up;JUN-UX + JUN-08
P0-07;No-send события и уведомления;красный event log нет;Без событий теряется статус заказа;UI waiting assigned answered support opened email preview если есть;Notification queue/log/no-send marker/order/question/assignment/answer/support;Subjects templates variables language service boundaries;No-send log recipient template variables event marker suppressed=true;Включить в контрольный заказ как proof-блок;JUN-03 + JUN-08
P0-08;Support / problem state;красный runtime нет;Проблемы должны быть управляемы до трафика;Problem/report/refund-review states inside cabinet support entry status labels;support_case_id linked to order/session/chat/expert/payment owner resolution;Причины обращения SLA support шаблоны решения refund wording later;Скрин support case + связь с заказом + решение/закрытие;Выбрать один сценарий для QA;JUN-08
P0-09;Auth после CTA и возврат к покупке;желтый частично;Регистрация не должна ломать путь к заказу;Signup/login/forgot return to checkout/question errors;User/auth return URL email verification policy guest-to-user;Privacy note ошибки recovery emails consent;QA signup returns to exact buying path;Включить если checkout требует login до заказа;JUN-08
P0-10;Каталог/профиль эксперта и fallback;желтый частично;Нужно доверие к эксперту но можно category/queue P0;Advisor card/profile availability language verified busy/offline;Expert fields ranking/visibility price/package fallback;Био специализации рейтинг отзывы дисклеймер цена/срок;Selected expert or queue reflected in order/admin/assignment;Принять PM-решение expert vs category/queue;JUN-06 + JUN-UX
P0-11;Обучение/допуск эксперта в интерфейсе;желтый можно просто;Для первых 5 важнее доказанный допуск чем LMS;Минимальная панель уроки тест пробный ответ статус допуска;Role/access status profile assignment admission evidence links;Уроки регламент scorecard SLA правила качества;Журнал E01-E05 admitted/returned/rejected;Держать docs/forms как старт но проектировать панель;JUN-06
P0-12;Аналитика контрольного заказа;желтый после runtime;PM должен видеть факт заказа;Admin/report view simple;source/test marker/order/payment status/response time/support/expert/repeat;Названия метрик пояснение статусов daily report;QA report + readiness recalc + first data row;После test order заполнить первый отчетный ряд;JUN-08 + маркетинг позже
