id,gate,status,owner,evidence,acceptance,next
EP01,Личность и роль зафиксированы,red,PM,"Имя/код эксперта, роль, язык, часовой пояс, доступные профили/анкеты, доступы, канал связи.","Эксперт внесен в журнал, понятно где и под какой ролью он работает.",Заполнить по каждому из 5 экспертов.
EP02,Материалы школы v1 выданы,red,PM,"Ссылка/скрин выдачи материалов, список модулей, дата выдачи.",Эксперт получил актуальную версию школы и регламента.,Выдать пакет школы и регламент.
EP03,Прохождение обучения подтверждено,red,Эксперт + PM,"Отметка/форма/скрин, что эксперт прошел модули 1-6.",Нет устного “прочитал”; есть фиксированный факт прохождения.,Собрать подтверждение прохождения.
EP04,Тест по правилам и безопасности сдан,red,PM / Ксения как ревизор,"Результат теста: SLA, границы сервиса, запрещенные обещания, support escalation, no dangerous wording.",Минимальный проходной результат и нет критичных ошибок.,Подготовить/использовать тест и занести результат.
EP05,Пробный платный ответ написан,red,Эксперт,Текст ответа на тестовый клиентский кейс с marker.,"Ответ не шаблонный, персонализирован, структурирован, безопасен, имеет следующий шаг.",Дать каждому эксперту один одинаковый или сопоставимый кейс.
EP06,Ответ проверен по quality checklist,red,PM + Answer Quality Expert,"Оценка: эмпатия, персонализация, структура, ясность, безопасность, отсутствие опасных обещаний, next step.",Ответ получает ready/minor fixes/blocked.,Заполнить quality score и комментарии.
EP07,SLA и график подтверждены,red,PM + эксперт,"Часы доступности, максимальное время ответа, что делать при невозможности ответить.",Эксперт может выдержать тестовый режим и понимает deadline.,Зафиксировать график и SLA в журнале.
EP08,Support/failure правила понятны,red,PM + Ксения,"Эксперт отвечает, что делать при конфликте, жалобе, опасном запросе, просрочке, refund/escalation.",Нет критичных непониманий; эксперт знает когда эскалировать.,Проверить сценарными вопросами.
EP09,Ручное решение о допуске принято,red,PM,"Дата, статус: допущен / условно / доработка / не допущен, комментарий и ограничения.",Только допущенный или условно допущенный эксперт может участвовать в test order; для трафика нужны все 5 со статусом и capacity.,Принять решение по каждому эксперту.
EP10,Эксперт привязан к test order роли,red,PM + Игорь + QA,Эксперт/агент назначен как исполнитель для контрольного заказа; workspace доступен.,"QA знает, какого допущенного исполнителя проверять, и видит его задачу в системе; это закрывает RP05A.",Связать с runtime proof first sprint и RP05A.
