Сайт,Основной функционал,Формат консультаций,Монетизация,Целевая аудитория,Уникальные фишки,,
Astrology.com,"Гороскопы, натальные карты, совместимость","Автоматические расчеты, AI-интерпретации","Подписка, платные отчеты","Широкая аудитория (США, Европа)","Глубокая персонализация, AI-гороскопы",,
Astrology Answers,"Персональные прогнозы, консультации","Чат, e-mail консультации","Платные консультации, продажи курсов","Женщины 25-45, США, Канада",Консультации от экспертов,,
Astrology Zone,"Гороскопы, прогнозы на год, книги","Текстовые прогнозы, подписка","Книги, подписка","Любители прогнозов, США",Подписка на персональные прогнозы,,
AstroSage,"Астрологические инструменты, расчеты","Бесплатные расчеты, отчеты","Реклама, платные расширенные функции","Индия, практикующие астрологи",Обширная база бесплатных расчетов,,Очень похоже на Nebula
Astro-Seek,"Натальные карты, совместимость, форумы","Генерация данных, обсуждения на форуме","Бесплатный доступ, реклама","Международная аудитория, форумные пользователи",Обсуждения и анализ данных,,He подходит по концепции платных консультаций
Luna Astrology,"Персональные консультации, аналитика","Личная переписка, аналитические отчеты",Платные консультации,"Профессиональные астрологи, аналитики",Персональный разбор карт,,Программное обеспечение для облачной астрологии.
London Astrology,"Платные консультации, курсы, прогнозы","Индивидуальные сессии, Zoom, телефон","Платные сессии, обучение","Премиум-аудитория, Великобритания",Профессиональный уровень анализа,,Курсы по астрологии
Astrology Weekly,"Форумы, обсуждения, публикации",Публикации и обсуждения на форуме,"Реклама, платные публикации","Астрологи, любители астрологии",Популярное астрологическое сообщество,,Ведическая астрология
,,,,,,,
Выводы:,,,,,,,
"Разделение рынка на две группы
Массовые платформы (Astrology.com, Astrology Answers, Astrology Zone, AstroSage) ориентированы на широкую аудиторию и предлагают автоматизированные расчеты, AI-гороскопы и персонализированные прогнозы. Они зарабатывают на подписках, продаже книг, рекламных интеграциях.

Профессиональные и нишевые платформы (Astro-Seek, Luna Astrology, London Astrology, Astrology Weekly) предлагают углубленный анализ, консультации в формате переписки или индивидуальных сессий. Они ориентированы на профессиональных астрологов, аналитиков и серьезных клиентов.",,,,,,,
,,,,,,,
"Возможности для нишевого продукта:
Автоматизированные консультации в формате переписки (гибрид AI + живой астролог).
Астрологический сервис для определенного региона (например, СНГ) с локализацией.
Глубокая персонализация гороскопов на основе уникальных данных (более точные расчеты, включение психологии и личных данных пользователя).
Интерактивный сервис с рекомендациями, задачами, интеграцией с соцсетями.

Главный вывод: есть две сильные стратегии — либо массовый продукт с AI и автоматизацией, либо премиальный сервис с персонализированными консультациями. ",,,,,,,
